
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 82260  476365  7463301  14.4515  67.2854 1994                   7.3
 82260  476365  7463301  14.4515  67.2854 1995                   8.8
 82260  476365  7463301  14.4515  67.2854 1996                  10.2
 82260  476365  7463301  14.4515  67.2854 1997                   6.3
 82260  476365  7463301  14.4515  67.2854 1998                   6.1
 82260  476365  7463301  14.4515  67.2854 1999                   8.7
 82260  476365  7463301  14.4515  67.2854 2000                   5.8
 82260  476365  7463301  14.4515  67.2854 2001                   6.9
 82260  476365  7463301  14.4515  67.2854 2002                   8.3
 82260  476365  7463301  14.4515  67.2854 2003                  10.1
 82260  476365  7463301  14.4515  67.2854 2004                   8.8
 82260  476365  7463301  14.4515  67.2854 2005                   7.9
 82260  476365  7463301  14.4515  67.2854 2006                   8.9
 82260  476365  7463301  14.4515  67.2854 2007                  10.5
 82260  476365  7463301  14.4515  67.2854 2008                   9.8
 82260  476365  7463301  14.4515  67.2854 2009                   8.6
 82260  476365  7463301  14.4515  67.2854 2010                  10.0
 82260  476365  7463301  14.4515  67.2854 2011                  10.5
 82260  476365  7463301  14.4515  67.2854 2012                   6.5
