
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 39040   93495  6471890   8.0767  58.2000 1995                   5.9
 39040   93495  6471890   8.0767  58.2000 1996                   6.3
 39040   93495  6471890   8.0767  58.2000 1997                  17.7
 39040   93495  6471890   8.0767  58.2000 1998                   9.6
 39040   93495  6471890   8.0767  58.2000 1999                  11.6
 39040   93495  6471890   8.0767  58.2000 2000                  17.1
 39040   93495  6471890   8.0767  58.2000 2001                  10.8
 39040   93495  6471890   8.0767  58.2000 2002                  17.3
 39040   93495  6471890   8.0767  58.2000 2003                   9.4
 39040   93495  6471890   8.0767  58.2000 2004                  17.6
 39040   93495  6471890   8.0767  58.2000 2005                   8.8
 39040   93495  6471890   8.0767  58.2000 2006                  36.1
 39040   93495  6471890   8.0767  58.2000 2007                  12.2
 39040   93495  6471890   8.0767  58.2000 2008                  17.8
 39040   93495  6471890   8.0767  58.2000 2009                  14.3
 39040   93495  6471890   8.0767  58.2000 2010                  17.7
 39040   93495  6471890   8.0767  58.2000 2011                  16.1
 39040   93495  6471890   8.0767  58.2000 2012                  17.8
