
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 68860  273111  7039394  10.4539  63.4106 1996                   4.5
 68860  273111  7039394  10.4539  63.4106 1997                   5.5
 68860  273111  7039394  10.4539  63.4106 1998                   5.9
 68860  273111  7039394  10.4539  63.4106 1999                  10.8
 68860  273111  7039394  10.4539  63.4106 2000                   5.2
 68860  273111  7039394  10.4539  63.4106 2001                  14.9
 68860  273111  7039394  10.4539  63.4106 2002                   5.7
 68860  273111  7039394  10.4539  63.4106 2003                  12.8
 68860  273111  7039394  10.4539  63.4106 2004                   6.4
 68860  273111  7039394  10.4539  63.4106 2005                   9.5
 68860  273111  7039394  10.4539  63.4106 2006                   9.6
 68860  273111  7039394  10.4539  63.4106 2007                  11.0
 68860  273111  7039394  10.4539  63.4106 2008                  12.7
 68860  273111  7039394  10.4539  63.4106 2009                   6.6
 68860  273111  7039394  10.4539  63.4106 2010                   9.7
 68860  273111  7039394  10.4539  63.4106 2011                   7.1
 68860  273111  7039394  10.4539  63.4106 2012                  11.1
