
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 81620  513099  7427699  15.3000  66.9667 1967                   7.0
 81620  513099  7427699  15.3000  66.9667 1968                   2.2
 81620  513099  7427699  15.3000  66.9667 1969                   2.6
 81620  513099  7427699  15.3000  66.9667 1970                   7.2
 81620  513099  7427699  15.3000  66.9667 1971                   5.6
 81620  513099  7427699  15.3000  66.9667 1972                   9.2
 81620  513099  7427699  15.3000  66.9667 1973                   7.4
 81620  513099  7427699  15.3000  66.9667 1974                   6.6
 81620  513099  7427699  15.3000  66.9667 1975                   4.4
 81620  513099  7427699  15.3000  66.9667 1976                   5.4
 81620  513099  7427699  15.3000  66.9667 1977                  11.8
 81620  513099  7427699  15.3000  66.9667 1978                   5.2
 81620  513099  7427699  15.3000  66.9667 1979                   9.0
 81620  513099  7427699  15.3000  66.9667 1980                   6.6
 81620  513099  7427699  15.3000  66.9667 1981                   4.4
