
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
  3190  278719  6578319  11.1148  59.2857 1984                   2.4
  3190  278719  6578319  11.1148  59.2857 1985                  16.0
  3190  278719  6578319  11.1148  59.2857 1986                  11.2
  3190  278719  6578319  11.1148  59.2857 1987                  10.2
  3190  278719  6578319  11.1148  59.2857 1988                  19.6
  3190  278719  6578319  11.1148  59.2857 1989                  10.2
  3190  278719  6578319  11.1148  59.2857 1990                  10.6
  3190  278719  6578319  11.1148  59.2857 1991                   8.4
