
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 12290  287708  6746937  11.0977  60.8010 1968                   6.8
 12290  287708  6746937  11.0977  60.8010 1969                   6.9
 12290  287708  6746937  11.0977  60.8010 1970                  11.5
 12290  287708  6746937  11.0977  60.8010 1972                  14.4
 12290  287708  6746937  11.0977  60.8010 1973                  13.2
 12290  287708  6746937  11.0977  60.8010 1974                  10.0
 12290  287708  6746937  11.0977  60.8010 1975                  11.0
 12290  287708  6746937  11.0977  60.8010 1976                  16.2
 12290  287708  6746937  11.0977  60.8010 1977                   7.4
 12290  287708  6746937  11.0977  60.8010 1978                   8.0
 12290  287708  6746937  11.0977  60.8010 1979                   9.3
 12290  287708  6746937  11.0977  60.8010 1980                   8.8
 12290  287708  6746937  11.0977  60.8010 1981                   7.4
 12290  287708  6746937  11.0977  60.8010 1982                   7.6
 12290  287708  6746937  11.0977  60.8010 1984                   5.0
 12290  287708  6746937  11.0977  60.8010 1985                   8.3
 12290  287708  6746937  11.0977  60.8010 1986                   8.4
 12290  287708  6746937  11.0977  60.8010 1987                   5.0
 12290  287708  6746937  11.0977  60.8010 1988                   6.8
 12290  287708  6746937  11.0977  60.8010 1989                   3.6
 12290  287708  6746937  11.0977  60.8010 1990                   3.8
 12290  287708  6746937  11.0977  60.8010 1991                   6.9
 12290  287708  6746937  11.0977  60.8010 1992                   7.1
 12290  287708  6746937  11.0977  60.8010 1994                   5.0
 12290  287708  6746937  11.0977  60.8010 1995                  18.9
 12290  287708  6746937  11.0977  60.8010 1996                  10.4
 12290  287708  6746937  11.0977  60.8010 1998                   4.4
 12290  287708  6746937  11.0977  60.8010 1999                   8.6
 12290  287708  6746937  11.0977  60.8010 2000                  10.6
 12290  287708  6746937  11.0977  60.8010 2001                  12.4
 12290  287708  6746937  11.0977  60.8010 2002                  17.8
 12290  287708  6746937  11.0977  60.8010 2003                   5.0
 12290  287708  6746937  11.0977  60.8010 2004                   5.4
 12290  287708  6746937  11.0977  60.8010 2006                  10.4
 12290  287708  6746937  11.0977  60.8010 2007                  12.0
 12290  287708  6746937  11.0977  60.8010 2008                   6.8
 12290  287708  6746937  11.0977  60.8010 2009                   6.3
 12290  287708  6746937  11.0977  60.8010 2010                  14.5
 12290  287708  6746937  11.0977  60.8010 2011                  10.8
 12290  287708  6746937  11.0977  60.8010 2012                  14.0
