
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 40140   70940  6575336   7.5000  59.1000 1971                   5.6
 40140   70940  6575336   7.5000  59.1000 1972                  11.7
 40140   70940  6575336   7.5000  59.1000 1973                  14.9
 40140   70940  6575336   7.5000  59.1000 1974                   9.8
 40140   70940  6575336   7.5000  59.1000 1975                   6.4
 40140   70940  6575336   7.5000  59.1000 1976                   6.0
 40140   70940  6575336   7.5000  59.1000 1977                   6.0
 40140   70940  6575336   7.5000  59.1000 1978                  12.1
 40140   70940  6575336   7.5000  59.1000 1979                  12.8
 40140   70940  6575336   7.5000  59.1000 1980                  17.4
 40140   70940  6575336   7.5000  59.1000 1981                  10.6
