
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 15720  125425  6884414   7.8600  61.9067 1968                   3.6
 15720  125425  6884414   7.8600  61.9067 1969                   6.2
 15720  125425  6884414   7.8600  61.9067 1970                   3.8
 15720  125425  6884414   7.8600  61.9067 1971                   3.6
 15720  125425  6884414   7.8600  61.9067 1972                   6.0
 15720  125425  6884414   7.8600  61.9067 1973                   2.2
 15720  125425  6884414   7.8600  61.9067 1974                   3.4
 15720  125425  6884414   7.8600  61.9067 1975                   4.8
 15720  125425  6884414   7.8600  61.9067 1976                   4.0
 15720  125425  6884414   7.8600  61.9067 1977                   4.2
 15720  125425  6884414   7.8600  61.9067 1978                   6.8
 15720  125425  6884414   7.8600  61.9067 1979                   7.0
 15720  125425  6884414   7.8600  61.9067 1980                  10.4
 15720  125425  6884414   7.8600  61.9067 1982                   6.6
 15720  125425  6884414   7.8600  61.9067 1983                   4.4
 15720  125425  6884414   7.8600  61.9067 1984                   3.8
 15720  125425  6884414   7.8600  61.9067 1985                   6.4
 15720  125425  6884414   7.8600  61.9067 1986                   5.8
 15720  125425  6884414   7.8600  61.9067 1987                   4.4
