
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 18640  261209  6649095  10.7285  59.9100 1974                   8.6
 18640  261209  6649095  10.7285  59.9100 1975                  15.7
 18640  261209  6649095  10.7285  59.9100 1976                  17.0
 18640  261209  6649095  10.7285  59.9100 1977                   6.2
 18640  261209  6649095  10.7285  59.9100 1978                  28.3
 18640  261209  6649095  10.7285  59.9100 1979                   7.8
 18640  261209  6649095  10.7285  59.9100 1980                  10.6
 18640  261209  6649095  10.7285  59.9100 1981                  16.0
 18640  261209  6649095  10.7285  59.9100 1982                   9.9
 18640  261209  6649095  10.7285  59.9100 1983                   8.0
 18640  261209  6649095  10.7285  59.9100 1984                  15.9
 18640  261209  6649095  10.7285  59.9100 1985                   4.2
 18640  261209  6649095  10.7285  59.9100 1986                  10.3
 18640  261209  6649095  10.7285  59.9100 1987                   7.4
 18640  261209  6649095  10.7285  59.9100 1988                  15.6
