
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 50490  -36069  6723546   5.2798  60.2918 1982                  12.6
 50490  -36069  6723546   5.2798  60.2918 1983                   9.8
 50490  -36069  6723546   5.2798  60.2918 1984                   7.2
 50490  -36069  6723546   5.2798  60.2918 1985                  10.0
 50490  -36069  6723546   5.2798  60.2918 1997                   8.2
 50490  -36069  6723546   5.2798  60.2918 1998                   9.8
 50490  -36069  6723546   5.2798  60.2918 1999                  11.8
 50490  -36069  6723546   5.2798  60.2918 2000                   8.2
 50490  -36069  6723546   5.2798  60.2918 2001                  12.6
