
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 24880  178073  6729127   9.1220  60.5685 1977                   4.4
 24880  178073  6729127   9.1220  60.5685 1978                   4.0
 24880  178073  6729127   9.1220  60.5685 1979                  11.2
 24880  178073  6729127   9.1220  60.5685 1980                   7.6
 24880  178073  6729127   9.1220  60.5685 1981                   9.6
 24880  178073  6729127   9.1220  60.5685 1982                  10.4
 24880  178073  6729127   9.1220  60.5685 1983                   5.6
 24880  178073  6729127   9.1220  60.5685 1984                   5.8
 24880  178073  6729127   9.1220  60.5685 1985                   4.4
 24880  178073  6729127   9.1220  60.5685 1986                  12.4
