
  STNR    EAST    NORTH      LON      LAT YEAR                  RR_1
------ ------- -------- -------- -------- -------------------- -----
 44580  -35735  6571781   5.6697  58.9482 1983                   7.2
 44580  -35735  6571781   5.6697  58.9482 1984                   4.4
 44580  -35735  6571781   5.6697  58.9482 1985                  15.3
 44580  -35735  6571781   5.6697  58.9482 1986                   4.8
 44580  -35735  6571781   5.6697  58.9482 1987                   9.4
 44580  -35735  6571781   5.6697  58.9482 1988                  15.9
 44580  -35735  6571781   5.6697  58.9482 1989                   9.0
 44580  -35735  6571781   5.6697  58.9482 1990                   8.4
 44580  -35735  6571781   5.6697  58.9482 1991                   7.6
 44580  -35735  6571781   5.6697  58.9482 1993                   7.8
