
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 23500   180431  6790894   9.0630  61.1220 1987                   5.9
 23500   180431  6790894   9.0630  61.1220 1988                   6.2
 23500   180431  6790894   9.0630  61.1220 1989                 #####
 23500   180431  6790894   9.0630  61.1220 1990                  60.0
 23500   180431  6790894   9.0630  61.1220 1991                 #####
 23500   180431  6790894   9.0630  61.1220 1992                 #####
 23500   180431  6790894   9.0630  61.1220 1993                 #####
 23500   180431  6790894   9.0630  61.1220 1994                   8.7
 23500   180431  6790894   9.0630  61.1220 1995                  15.9
 23500   180431  6790894   9.0630  61.1220 1996                  14.1
 23500   180431  6790894   9.0630  61.1220 1997                  10.5
 23500   180431  6790894   9.0630  61.1220 1998                  28.9
 23500   180431  6790894   9.0630  61.1220 1999                  25.9
 23500   180431  6790894   9.0630  61.1220 2000                  25.2
 23500   180431  6790894   9.0630  61.1220 2001                  96.0
 23500   180431  6790894   9.0630  61.1220 2002                  27.7
 23500   180431  6790894   9.0630  61.1220 2003                   4.1
 23500   180431  6790894   9.0630  61.1220 2004                  49.0
 23500   180431  6790894   9.0630  61.1220 2005                  44.7
 23500   180431  6790894   9.0630  61.1220 2006                   5.2
 23500   180431  6790894   9.0630  61.1220 2007                   5.4
 23500   180431  6790894   9.0630  61.1220 2008                  13.8
 23500   180431  6790894   9.0630  61.1220 2009                   9.1
 23500   180431  6790894   9.0630  61.1220 2010                  12.2
 23500   180431  6790894   9.0630  61.1220 2011                  10.0
 23500   180431  6790894   9.0630  61.1220 2012                   8.9

26 rows selected.

