
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 10000   282129  6912559  10.7995  62.2810 1993                    .8
 10000   282129  6912559  10.7995  62.2810 1994                   7.2
 10000   282129  6912559  10.7995  62.2810 1995                   6.0
 10000   282129  6912559  10.7995  62.2810 1996                   5.3
 10000   282129  6912559  10.7995  62.2810 1997                  39.3
 10000   282129  6912559  10.7995  62.2810 1998                  26.7
 10000   282129  6912559  10.7995  62.2810 1999                   6.3

7 rows selected.

