
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 44080   -46825  6540733   5.5553  58.6592 1993                   4.6
 44080   -46825  6540733   5.5553  58.6592 1994                  12.0
 44080   -46825  6540733   5.5553  58.6592 1995                  35.3
 44080   -46825  6540733   5.5553  58.6592 1996                  25.5
 44080   -46825  6540733   5.5553  58.6592 1997                  11.6
 44080   -46825  6540733   5.5553  58.6592 1998                  12.7
 44080   -46825  6540733   5.5553  58.6592 1999                  39.7
 44080   -46825  6540733   5.5553  58.6592 2000                   5.8
 44080   -46825  6540733   5.5553  58.6592 2001                  13.1
 44080   -46825  6540733   5.5553  58.6592 2002                   1.7
 44080   -46825  6540733   5.5553  58.6592 2003                   4.8
 44080   -46825  6540733   5.5553  58.6592 2004                   6.8

12 rows selected.

