
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 12680   256243  6781518  10.4775  61.0925 1994                   2.7
 12680   256243  6781518  10.4775  61.0925 1995                   8.5
 12680   256243  6781518  10.4775  61.0925 1996                  27.5
 12680   256243  6781518  10.4775  61.0925 1997                  18.5
 12680   256243  6781518  10.4775  61.0925 1998                  15.7
 12680   256243  6781518  10.4775  61.0925 1999                  13.6
 12680   256243  6781518  10.4775  61.0925 2000                  27.8
 12680   256243  6781518  10.4775  61.0925 2001                  19.0
 12680   256243  6781518  10.4775  61.0925 2002                  15.2
 12680   256243  6781518  10.4775  61.0925 2003                  19.0
 12680   256243  6781518  10.4775  61.0925 2004                  33.3

11 rows selected.

