
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 18700   260970  6652718  10.7201  59.9423 1993                  19.5
 18700   260970  6652718  10.7201  59.9423 1994                  28.6
 18700   260970  6652718  10.7201  59.9423 1995                  35.0
 18700   260970  6652718  10.7201  59.9423 1996                  14.5
 18700   260970  6652718  10.7201  59.9423 1997                  14.7
 18700   260970  6652718  10.7201  59.9423 1998                  10.6
 18700   260970  6652718  10.7201  59.9423 1999                    .0
 18700   260970  6652718  10.7201  59.9423 2000                    .0
 18700   260970  6652718  10.7201  59.9423 2001                  16.5
 18700   260970  6652718  10.7201  59.9423 2002                  19.8
 18700   260970  6652718  10.7201  59.9423 2003                  16.5
 18700   260970  6652718  10.7201  59.9423 2004                  10.0
 18700   260970  6652718  10.7201  59.9423 2005                   4.9
 18700   260970  6652718  10.7201  59.9423 2010                  14.1
 18700   260970  6652718  10.7201  59.9423 2011                  20.6
 18700   260970  6652718  10.7201  59.9423 2012                  28.5

16 rows selected.

