
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
------ -------- -------- -------- -------- ------------ ------ ------ -----
 27580   228429  6563500  10.2535  59.1238 1973         09     22        .6
 27580   228429  6563500  10.2535  59.1238 1973         09     22        .8
 27580   228429  6563500  10.2535  59.1238 1973         09     22       1.2
 27580   228429  6563500  10.2535  59.1238 1973         09     22       1.4
 27580   228429  6563500  10.2535  59.1238 1973         09     22       1.8
 27580   228429  6563500  10.2535  59.1238 1973         09     22       2.2
 27580   228429  6563500  10.2535  59.1238 1973         09     22       2.4
 27580   228429  6563500  10.2535  59.1238 1973         09     22       2.8
 27580   228429  6563500  10.2535  59.1238 1973         09     22       3.0
 27580   228429  6563500  10.2535  59.1238 1973         09     22       3.2
 27580   228429  6563500  10.2535  59.1238 1973         09     22       3.8
 27580   228429  6563500  10.2535  59.1238 1973         09     22       4.0
 27580   228429  6563500  10.2535  59.1238 1973         09     22       4.2
 27580   228429  6563500  10.2535  59.1238 1973         09     22       4.8
 27580   228429  6563500  10.2535  59.1238 1973         09     22       5.2
 27580   228429  6563500  10.2535  59.1238 1973         09     22       5.8
 27580   228429  6563500  10.2535  59.1238 1973         09     23        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     23        .4
 27580   228429  6563500  10.2535  59.1238 1973         09     23        .6
 27580   228429  6563500  10.2535  59.1238 1973         09     23        .8
 27580   228429  6563500  10.2535  59.1238 1973         09     23       1.0
 27580   228429  6563500  10.2535  59.1238 1973         09     23       1.4
 27580   228429  6563500  10.2535  59.1238 1973         09     23       2.0
 27580   228429  6563500  10.2535  59.1238 1973         09     23       2.2
 27580   228429  6563500  10.2535  59.1238 1973         09     23       2.4
 27580   228429  6563500  10.2535  59.1238 1973         09     23       4.2
 27580   228429  6563500  10.2535  59.1238 1973         09     24        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     24        .4
 27580   228429  6563500  10.2535  59.1238 1973         09     24        .6
 27580   228429  6563500  10.2535  59.1238 1973         09     24       2.6
 27580   228429  6563500  10.2535  59.1238 1973         09     25        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     27        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     28        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     28        .6
 27580   228429  6563500  10.2535  59.1238 1973         09     28        .8
 27580   228429  6563500  10.2535  59.1238 1973         09     28       1.0
 27580   228429  6563500  10.2535  59.1238 1973         09     28       1.6
 27580   228429  6563500  10.2535  59.1238 1973         09     28       2.0
 27580   228429  6563500  10.2535  59.1238 1973         09     28       2.6
 27580   228429  6563500  10.2535  59.1238 1973         09     28       3.0
 27580   228429  6563500  10.2535  59.1238 1973         09     28       3.4
 27580   228429  6563500  10.2535  59.1238 1973         09     28       4.0
 27580   228429  6563500  10.2535  59.1238 1973         09     29        .2
 27580   228429  6563500  10.2535  59.1238 1973         09     29        .4
 27580   228429  6563500  10.2535  59.1238 1973         09     29       1.2
 27580   228429  6563500  10.2535  59.1238 1973         09     29       1.6
 27580   228429  6563500  10.2535  59.1238 1973         09     29       2.2
 27580   228429  6563500  10.2535  59.1238 1973         09     29       2.6
 27580   228429  6563500  10.2535  59.1238 1973         09     30        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     02        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     04        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     05        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     08        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     10        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     13        .6
 27580   228429  6563500  10.2535  59.1238 1973         10     14        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     17        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     18        .2
 27580   228429  6563500  10.2535  59.1238 1973         10     18        .6
 27580   228429  6563500  10.2535  59.1238 1973         10     18        .8
 27580   228429  6563500  10.2535  59.1238 1973         10     18       1.2
 27580   228429  6563500  10.2535  59.1238 1973         10     18       1.6
 27580   228429  6563500  10.2535  59.1238 1973         10     18       2.4
 27580   228429  6563500  10.2535  59.1238 1973         11     03        .2
 27580   228429  6563500  10.2535  59.1238 1973         11     04        .2
 27580   228429  6563500  10.2535  59.1238 1973         11     05        .2
 27580   228429  6563500  10.2535  59.1238 1973         11     05        .4
 27580   228429  6563500  10.2535  59.1238 1973         11     05        .8
 27580   228429  6563500  10.2535  59.1238 1973         11     05       1.4
 27580   228429  6563500  10.2535  59.1238 1973         11     05       1.8
 27580   228429  6563500  10.2535  59.1238 1973         11     05       2.8
 27580   228429  6563500  10.2535  59.1238 1973         11     05       3.6
 27580   228429  6563500  10.2535  59.1238 1973         11     06        .2
 27580   228429  6563500  10.2535  59.1238 1973         11     08        .2
 27580   228429  6563500  10.2535  59.1238 1973         11     08        .8
 27580   228429  6563500  10.2535  59.1238 1973         11     12        .6
