
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
------ -------- -------- -------- -------- ------------ ------ ------ -----
 19510   255499  6652819  10.6223  59.9400 1967         05     19        .2
 19510   255499  6652819  10.6223  59.9400 1967         05     19        .4
 19510   255499  6652819  10.6223  59.9400 1967         05     20        .2
 19510   255499  6652819  10.6223  59.9400 1967         05     20        .6
 19510   255499  6652819  10.6223  59.9400 1967         05     20        .8
 19510   255499  6652819  10.6223  59.9400 1967         05     20       1.2
 19510   255499  6652819  10.6223  59.9400 1967         05     20       2.0
 19510   255499  6652819  10.6223  59.9400 1967         05     20       2.6
 19510   255499  6652819  10.6223  59.9400 1967         05     21       1.0
 19510   255499  6652819  10.6223  59.9400 1967         05     21       2.2
 19510   255499  6652819  10.6223  59.9400 1967         05     23        .6
 19510   255499  6652819  10.6223  59.9400 1967         05     24        .2
 19510   255499  6652819  10.6223  59.9400 1967         05     24        .4
 19510   255499  6652819  10.6223  59.9400 1967         05     24        .6
 19510   255499  6652819  10.6223  59.9400 1967         05     24        .8
 19510   255499  6652819  10.6223  59.9400 1967         05     24       1.2
 19510   255499  6652819  10.6223  59.9400 1967         05     25        .2
 19510   255499  6652819  10.6223  59.9400 1967         05     25        .4
 19510   255499  6652819  10.6223  59.9400 1967         05     26        .2
 19510   255499  6652819  10.6223  59.9400 1967         05     27        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     04        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     04        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     04        .6
 19510   255499  6652819  10.6223  59.9400 1967         06     04        .8
 19510   255499  6652819  10.6223  59.9400 1967         06     04       1.4
 19510   255499  6652819  10.6223  59.9400 1967         06     04       2.0
 19510   255499  6652819  10.6223  59.9400 1967         06     04       2.2
 19510   255499  6652819  10.6223  59.9400 1967         06     04       2.6
 19510   255499  6652819  10.6223  59.9400 1967         06     06        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     07        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     07       1.0
 19510   255499  6652819  10.6223  59.9400 1967         06     07       1.2
 19510   255499  6652819  10.6223  59.9400 1967         06     07       1.8
 19510   255499  6652819  10.6223  59.9400 1967         06     07       2.0
 19510   255499  6652819  10.6223  59.9400 1967         06     08        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     08        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     09        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     09        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     09        .8
 19510   255499  6652819  10.6223  59.9400 1967         06     10        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     14       1.0
 19510   255499  6652819  10.6223  59.9400 1967         06     21        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     21        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     21        .8
 19510   255499  6652819  10.6223  59.9400 1967         06     21       2.0
 19510   255499  6652819  10.6223  59.9400 1967         06     21       2.6
 19510   255499  6652819  10.6223  59.9400 1967         06     21       3.4
 19510   255499  6652819  10.6223  59.9400 1967         06     22        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     22       1.0
 19510   255499  6652819  10.6223  59.9400 1967         06     22       1.4
 19510   255499  6652819  10.6223  59.9400 1967         06     23        .4
 19510   255499  6652819  10.6223  59.9400 1967         06     23        .8
 19510   255499  6652819  10.6223  59.9400 1967         06     23       1.2
 19510   255499  6652819  10.6223  59.9400 1967         06     23       1.4
 19510   255499  6652819  10.6223  59.9400 1967         06     26        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     26        .8
 19510   255499  6652819  10.6223  59.9400 1967         06     26       1.2
 19510   255499  6652819  10.6223  59.9400 1967         06     26       2.6
 19510   255499  6652819  10.6223  59.9400 1967         06     26       4.4
 19510   255499  6652819  10.6223  59.9400 1967         06     29        .2
 19510   255499  6652819  10.6223  59.9400 1967         06     29        .6
 19510   255499  6652819  10.6223  59.9400 1967         06     29       1.2
 19510   255499  6652819  10.6223  59.9400 1967         06     29       1.8
 19510   255499  6652819  10.6223  59.9400 1967         06     29       2.2
 19510   255499  6652819  10.6223  59.9400 1967         06     29       2.8
 19510   255499  6652819  10.6223  59.9400 1967         07     03        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     03       1.8
 19510   255499  6652819  10.6223  59.9400 1967         07     03       5.0
 19510   255499  6652819  10.6223  59.9400 1967         07     04        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     04        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     04        .6
 19510   255499  6652819  10.6223  59.9400 1967         07     04        .8
 19510   255499  6652819  10.6223  59.9400 1967         07     04       1.4
 19510   255499  6652819  10.6223  59.9400 1967         07     04       1.8
 19510   255499  6652819  10.6223  59.9400 1967         07     04       3.0
 19510   255499  6652819  10.6223  59.9400 1967         07     08        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     14        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     19        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     19        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     19        .6
 19510   255499  6652819  10.6223  59.9400 1967         07     19       1.0
 19510   255499  6652819  10.6223  59.9400 1967         07     19       1.4
 19510   255499  6652819  10.6223  59.9400 1967         07     19       3.4
 19510   255499  6652819  10.6223  59.9400 1967         07     20        .8
 19510   255499  6652819  10.6223  59.9400 1967         07     25        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     25        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     25       1.6
 19510   255499  6652819  10.6223  59.9400 1967         07     28        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     28        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     28        .6
 19510   255499  6652819  10.6223  59.9400 1967         07     28        .8
 19510   255499  6652819  10.6223  59.9400 1967         07     28       1.0
 19510   255499  6652819  10.6223  59.9400 1967         07     30        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     30       1.2
 19510   255499  6652819  10.6223  59.9400 1967         07     30       2.2
 19510   255499  6652819  10.6223  59.9400 1967         07     30       3.0
 19510   255499  6652819  10.6223  59.9400 1967         07     31        .2
 19510   255499  6652819  10.6223  59.9400 1967         07     31        .4
 19510   255499  6652819  10.6223  59.9400 1967         07     31        .6
 19510   255499  6652819  10.6223  59.9400 1967         07     31        .8
 19510   255499  6652819  10.6223  59.9400 1967         07     31       1.6
 19510   255499  6652819  10.6223  59.9400 1967         07     31       2.0
 19510   255499  6652819  10.6223  59.9400 1967         08     03        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     03        .6
 19510   255499  6652819  10.6223  59.9400 1967         08     03       1.2
 19510   255499  6652819  10.6223  59.9400 1967         08     03       2.6
 19510   255499  6652819  10.6223  59.9400 1967         08     03       8.8
 19510   255499  6652819  10.6223  59.9400 1967         08     04       2.4
 19510   255499  6652819  10.6223  59.9400 1967         08     05        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     10       1.2
 19510   255499  6652819  10.6223  59.9400 1967         08     11        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     11        .6
 19510   255499  6652819  10.6223  59.9400 1967         08     11       1.6
 19510   255499  6652819  10.6223  59.9400 1967         08     11       2.0
 19510   255499  6652819  10.6223  59.9400 1967         08     11       2.4
 19510   255499  6652819  10.6223  59.9400 1967         08     13        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     13        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     13        .6
 19510   255499  6652819  10.6223  59.9400 1967         08     13       1.2
 19510   255499  6652819  10.6223  59.9400 1967         08     13       1.4
 19510   255499  6652819  10.6223  59.9400 1967         08     13       1.6
 19510   255499  6652819  10.6223  59.9400 1967         08     13       2.0
 19510   255499  6652819  10.6223  59.9400 1967         08     14        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     14        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     14        .8
 19510   255499  6652819  10.6223  59.9400 1967         08     14       2.2
 19510   255499  6652819  10.6223  59.9400 1967         08     14       2.6
 19510   255499  6652819  10.6223  59.9400 1967         08     14       3.2
 19510   255499  6652819  10.6223  59.9400 1967         08     15        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     15        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     15       1.0
 19510   255499  6652819  10.6223  59.9400 1967         08     15       2.0
 19510   255499  6652819  10.6223  59.9400 1967         08     15       6.0
 19510   255499  6652819  10.6223  59.9400 1967         08     16        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     16        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     16        .8
 19510   255499  6652819  10.6223  59.9400 1967         08     16       1.0
 19510   255499  6652819  10.6223  59.9400 1967         08     16       1.4
 19510   255499  6652819  10.6223  59.9400 1967         08     16       1.8
 19510   255499  6652819  10.6223  59.9400 1967         08     16       3.4
 19510   255499  6652819  10.6223  59.9400 1967         08     16       3.8
 19510   255499  6652819  10.6223  59.9400 1967         08     16       5.4
 19510   255499  6652819  10.6223  59.9400 1967         08     16       6.0
 19510   255499  6652819  10.6223  59.9400 1967         08     17        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     17        .4
 19510   255499  6652819  10.6223  59.9400 1967         08     17        .6
 19510   255499  6652819  10.6223  59.9400 1967         08     17       1.0
 19510   255499  6652819  10.6223  59.9400 1967         08     17       1.2
 19510   255499  6652819  10.6223  59.9400 1967         08     17       3.2
 19510   255499  6652819  10.6223  59.9400 1967         08     17       3.4
 19510   255499  6652819  10.6223  59.9400 1967         08     18        .2
 19510   255499  6652819  10.6223  59.9400 1967         08     18       2.8
 19510   255499  6652819  10.6223  59.9400 1967         08     19        .2
