
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
 68170   272030  7040801  10.4303  63.4225 1967         08     01        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     01        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     01       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     01       1.2
 68170   272030  7040801  10.4303  63.4225 1967         08     03        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     04        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     04        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     04        .6
 68170   272030  7040801  10.4303  63.4225 1967         08     04        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     04       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     04       1.4
 68170   272030  7040801  10.4303  63.4225 1967         08     04       3.0
 68170   272030  7040801  10.4303  63.4225 1967         08     05        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     05        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     05        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     05       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     05       1.2
 68170   272030  7040801  10.4303  63.4225 1967         08     06        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     15        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     15       1.2
 68170   272030  7040801  10.4303  63.4225 1967         08     16        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     17        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     17        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     17       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     17       2.6
 68170   272030  7040801  10.4303  63.4225 1967         08     18        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     18       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     18       2.2
 68170   272030  7040801  10.4303  63.4225 1967         08     19        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     19        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     19        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     20        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     20        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     20        .6
 68170   272030  7040801  10.4303  63.4225 1967         08     21        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     21        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     21        .6
 68170   272030  7040801  10.4303  63.4225 1967         08     21        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     22        .4
 68170   272030  7040801  10.4303  63.4225 1967         08     23        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     30        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     30        .8
 68170   272030  7040801  10.4303  63.4225 1967         08     31        .2
 68170   272030  7040801  10.4303  63.4225 1967         08     31       1.0
 68170   272030  7040801  10.4303  63.4225 1967         08     31       1.8
 68170   272030  7040801  10.4303  63.4225 1967         09     01        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     01        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     01        .6
 68170   272030  7040801  10.4303  63.4225 1967         09     01        .8
 68170   272030  7040801  10.4303  63.4225 1967         09     01       2.6
 68170   272030  7040801  10.4303  63.4225 1967         09     02        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     03        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     03        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     08        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     10        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     10        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     15        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     16        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     17        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     25        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     26        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     26        .4
 68170   272030  7040801  10.4303  63.4225 1967         09     26        .8
 68170   272030  7040801  10.4303  63.4225 1967         09     26       1.8
 68170   272030  7040801  10.4303  63.4225 1967         09     27        .2
 68170   272030  7040801  10.4303  63.4225 1967         09     27        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     01        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     02        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     02        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     02       1.0
 68170   272030  7040801  10.4303  63.4225 1967         10     02       3.2
 68170   272030  7040801  10.4303  63.4225 1967         10     02       4.4
 68170   272030  7040801  10.4303  63.4225 1967         10     02       4.8
 68170   272030  7040801  10.4303  63.4225 1967         10     03        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     03        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     03        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     04        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     05        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     05        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     05        .6
 68170   272030  7040801  10.4303  63.4225 1967         10     05       1.0
 68170   272030  7040801  10.4303  63.4225 1967         10     05       1.2
 68170   272030  7040801  10.4303  63.4225 1967         10     06        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     06        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     06        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     06       1.2
 68170   272030  7040801  10.4303  63.4225 1967         10     08        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     09        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     10        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     10        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     11        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     11        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     12        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     14        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     14        .8
