V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
1983 NA 2.4 1.36 NA 2.32 2.67 3.11 NA NA 3.03 2.06 2.31 2.66 NA NA NA NA 2.57 NA NA 2.35 2.62 NA NA NA NA 2.75 NA NA 1.92 2.94 NA NA 2.79 3.38 2.63 2.72 3.77 3.65 NA 2.62 NA NA NA 2.69 NA 2.21 3.87 NA 3.06 2.14 2.52 2.51 NA 2.5 2.08 NA NA NA NA NA 1.55 NA 1.31 2.28
1984 2.68 2.6 2.86 NA 3.2 2.93 2.61 2.48 2.27 2.87 1.79 3.3 2.95 NA NA NA NA 2.76 NA NA 3.21 3.08 NA NA NA NA 2.95 3.22 3.46 2.46 3.2 NA NA 3 NA 3.7 3.6 2.53 2.18 NA 3.63 NA NA NA 2.84 2.81 2.22 3.66 2.88 3.01 1.89 2.11 2.13 NA 1.92 NA NA NA NA NA NA 1.83 NA 2.18 1.39
1985 2.95 2.68 3.34 NA 2.98 2.62 3.25 2.55 2.9 2.6 1.92 3.08 3.1 NA 3.27 NA NA 3.27 4.31 NA 3.08 3.54 NA NA NA 3.91 3.77 3.38 3.33 2.91 3.6 NA NA 3.69 3.93 3.75 3.44 3.93 3.84 NA 4.8 NA NA NA 2.76 2.23 2.54 3.13 2.98 2.86 2.09 2.08 2.9 1.69 NA NA NA NA NA NA NA 1.91 NA 1.9 1.78
1986 2.74 2.56 2.77 NA 2.57 2.63 2.68 2.32 2.2 2.07 1.71 2.95 2.67 NA 2.31 NA NA 2.81 2.79 NA 2.42 2.91 NA NA NA 3.18 3.17 2.96 NA 2.52 3.33 NA NA 4.08 3.47 3.45 2.81 4.52 4.53 NA 3.87 NA 2.76 NA 2.17 2.27 NA 2.69 2.75 1.82 1.71 1.77 2.94 NA NA 1.59 NA NA NA NA NA 1.39 NA 2.3 NA
1987 2.45 2.43 2.4 NA 2.45 NA 2.51 2.37 1.82 2.23 1.76 NA 2.62 NA 2.35 NA NA NA 2.36 NA 2.47 2.51 NA NA NA 2.85 2.6 2.19 2.79 1.88 2.7 NA NA 2.72 2.98 2.44 2.44 3.06 3.32 NA 4.24 NA 2.84 2.87 1.56 2.5 NA 2.69 2.76 2.68 2.14 2.23 NA 2.37 NA 2.21 2.05 2.06 NA NA 2.17 NA NA 1.94 1.76
1988 NA NA 5.15 NA 3.16 NA 3.5 3.53 3.59 3.28 NA 3.81 2.94 NA 3.26 NA NA NA 3.31 NA 3.6 3.58 3.59 NA NA 3.27 3.58 3.33 3.46 2.59 3.68 NA NA NA 3.45 3.75 NA 3.86 2.16 NA NA NA 3.16 2.65 2.72 NA 2.86 NA NA NA NA 2.38 NA NA NA 1.71 2.73 3.24 NA NA 2.8 NA 2.08 NA NA
1989 2.64 NA 3.37 NA 3.07 NA 3.19 2.5 NA 2.29 NA 3.55 3.26 NA NA NA NA NA 3.34 NA NA 3.65 3.48 NA NA 3.96 NA 3.16 3.19 2.03 2.97 NA NA NA 3.12 2.87 NA 2.98 2.87 NA NA NA 3.16 3.06 2.5 2.84 3.17 NA 3.44 NA NA 2.11 NA 2.24 NA 2.37 2.09 NA NA NA 2.36 NA 1.98 NA NA
1990 NA NA 3.31 NA 3.39 2.49 2.96 3.15 NA 2.65 NA 2.84 3.36 NA 2.78 NA NA NA NA NA NA 2.8 2.86 NA NA 3.43 NA 3.08 3.36 2.69 3.31 NA NA NA 2.88 3.01 NA 3.66 3.53 NA 5.04 NA NA 3.25 2.63 2.92 3.22 NA 2.99 NA NA 2.21 NA 2.39 NA 2.24 2.32 NA NA NA 2.68 NA 1.92 NA NA
1991 2.85 NA 2.71 NA 2.81 2.53 3.09 2.26 2.43 2.34 NA 3.27 NA NA 2.44 NA NA NA 2.23 NA NA 2.35 2.21 NA NA 2.53 2.28 2.57 3.68 1.8 NA NA NA NA 2.18 2.35 NA 3.47 3.73 NA 2.87 NA 2.88 2.67 2.75 2.9 2.39 NA 3.16 NA NA 2.37 NA 2.05 NA 2.83 2.16 2.13 NA NA 2 NA 1.79 NA NA
1992 2.86 NA 4.37 NA 2.67 NA 2.8 3.17 2.95 NA NA NA NA NA 2.95 NA NA NA 2.65 NA NA 2.87 2.63 NA NA 3.39 3.01 2.78 3.05 2.28 2.82 NA NA NA 2.99 2.71 NA 3.17 3.15 NA 3.25 NA 3.08 2.95 3.23 2.81 3.01 NA NA NA NA 2 NA 2.04 NA 1.59 1.96 1.87 NA NA 2.24 NA 1.77 NA NA
1993 NA NA NA NA 2.65 NA 2.76 NA NA NA NA 3.1 2.88 NA 2.69 NA NA NA NA NA NA 2.82 2.64 NA NA 3.13 NA NA 2.82 3.07 3.11 NA NA NA 3.83 NA NA NA 2.66 NA NA NA 2.26 NA NA 2.33 2.28 NA NA NA NA NA NA 2.11 NA 2.08 2.14 2.12 NA NA 2.26 NA NA NA NA
