Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 19.5
1975 11.6
1976 11.2
1977 13.2
1978 11.4
1979 10.8
1980 11.4
1981 12.8
1982 14.4
1983 18.6
1984 22.4
1985 14.8
1986 12.6
1987 17.2
1988 13.6
1989 13.6
1990 13.8
1991 NA
1992 NA
1993 16.8
1994 9.4
1995 39.4
1996 9.6
1997 23.4
1998 17.2
1999 17.6
2000 15
2001 25.8
2002 33.2
2003 18.4
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 20.4
2013 16.9
