V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
1984 13.6 15.6 18.6 NA 31.9 15.2 14.4 11.4 12 12.8 7.4 19.4 22.4 NA NA NA NA 19.2 NA NA 30 24.4 NA NA NA NA 18.4 23.2 22.6 18.6 21 NA NA 43.8 NA 29.7 19.4 11.2 10 NA 40.3 NA NA NA 14.2 15.4 15.6 30.4 10.7 21.4 13.4 12.2 15.2 NA 15.6 NA NA NA NA NA NA 18.2 NA 17 5.2
1985 19.7 19.2 18.8 NA 20.1 19.6 17.4 10.8 13.6 15.5 13 15.4 14.8 NA 16.5 NA NA 17.8 15 NA 9.8 17.4 NA NA NA 21.2 19.9 20 15.4 10.2 19.6 NA NA 27.7 28.4 34.8 19.6 28.6 40.2 NA 18.4 NA NA NA 18.2 7.9 12.8 26.8 16.3 34.4 11.1 13.6 16.4 7.8 NA NA NA NA NA NA NA 9.2 NA 8.4 10.1
1986 14.2 14.8 12.6 NA 11.4 13.4 14.9 10.6 11 12.8 7.6 24.6 12.6 NA 9.3 NA NA 16.6 19.9 NA 13.1 19.8 NA NA NA 15.1 14 14.5 NA 12.4 18.2 NA NA 24.2 19.6 14.8 13.2 21.2 20.4 NA 24 NA 15 NA 10.6 13.6 NA 13.2 18.9 7.2 7.4 NA 28.9 NA NA 5.6 NA NA NA NA NA 7 NA 9.6 NA
1987 12.6 12.6 10.8 NA 16.6 NA 13.4 13.2 7.8 15 7.2 NA 13.2 NA 10.9 NA NA NA 14.3 NA 15.2 15.4 NA NA NA 18.7 13.4 11.6 14.4 10.8 15.2 NA NA 12.6 11 13.6 15 27.4 34 NA 42.6 NA 9 20.1 7.4 20.4 NA 23.2 27.4 18.6 10.2 NA NA 10.6 NA 20.4 15.6 15.7 NA NA 19.9 NA NA 12 12.8
1988 NA NA 35.8 NA 17.2 NA 14 18.2 12.4 19.6 NA 42.9 13.6 NA 16.9 NA NA NA 22.7 NA 30 39.7 34.2 NA NA 23.2 15 17.2 15.4 18.8 19.8 NA NA NA 18.6 27.8 NA 18.8 8.4 NA NA NA 42.1 10.7 40.7 NA NA NA NA NA NA 13.8 NA NA NA 5.6 19.8 14.9 NA NA 23.4 NA 5.2 NA NA
1989 14.5 NA 12.8 NA 17.2 NA 13.4 8 NA 8.8 NA 19.2 13.6 NA NA NA NA NA 19.2 NA NA 20.8 20.6 NA NA 18.5 NA 11 12.8 9.2 13 NA NA NA 20.2 17 NA 12.4 14.1 NA NA NA 18.8 17.4 9 15.4 31.3 NA 26.6 NA NA 10.6 NA 12.6 NA 9.2 15.2 NA NA NA 15.3 NA 10.6 NA NA
1990 NA NA 14.6 NA 12.4 5.6 18.8 13 NA 13 NA 17 13.8 NA 10.7 NA NA NA NA NA NA 20.2 19.2 NA NA 27.5 NA 17.4 22.4 10 18.8 NA NA NA 17.8 15.2 NA 17.2 21.6 NA 28.4 NA NA 13.9 10.8 17.5 17.8 NA 23.6 NA NA 10.6 NA 12 NA 14 14.4 NA NA NA 12.3 NA 8.3 NA NA
1991 14.8 NA 15.6 NA 12.2 12.8 12.2 10.6 13.2 12.8 NA 9 NA NA 9.9 NA NA NA 18.1 NA NA 8.4 8 NA NA 10.3 9.6 17.2 44.6 11 NA NA NA NA 12.4 15.6 NA 12 9 NA NA NA 21.8 15.9 14.2 21 16.6 NA 23.3 NA NA 12.2 NA 12.8 NA 36 11.5 18.9 NA NA 7.5 NA 8.3 NA NA
1992 15.8 NA NA NA 11.9 NA 11.1 20 13 NA NA NA NA NA 11.6 NA NA NA 11.5 NA NA 30.8 10.8 NA NA 8.6 17.4 16.4 16.2 8.8 10 NA NA NA 15.2 13 NA 18.2 13.2 NA 21.6 NA 17 17.1 32.4 16.4 20.7 NA NA NA NA 13.4 NA 23 NA 5.4 10.2 12.2 NA NA 12.9 NA 16.6 NA NA
1993 NA NA NA NA 24 NA 15.2 NA NA NA NA 16.6 16.8 NA 12.9 NA NA NA NA NA NA 15.4 13.6 NA NA 19.4 NA NA 20 15.8 16 NA NA NA 33.9 NA NA NA 11 NA NA NA 11.4 NA NA 9.8 13.2 NA NA NA NA NA NA 12.8 NA 12.2 11 14.1 NA NA 9.8 NA NA NA NA
