Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 NA
1975 NA
1976 NA
1977 NA
1978 NA
1979 NA
1980 NA
1981 NA
1982 NA
1983 22.4
1984 22.6
1985 19.6
1986 NA
1987 18.6
1988 15.4
1989 12.8
1990 22.4
1991 44.6
1992 16.2
1993 20
1994 23.8
1995 16.2
1996 15
1997 30
1998 15.2
1999 34.6
2000 23.2
2001 24.4
2002 27.2
2003 17
2004 41.8
2005 11.2
2006 25.2
2007 16.2
2008 NA
2009 NA
2010 NA
2011 NA
2012 14.7
2013 37.6
