Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 11
1975 23.9
1976 25.8
1977 23.2
1978 15.4
1979 28
1980 19
1981 22.2
1982 NA
1983 14.8
1984 40.3
1985 18.4
1986 24
1987 52
1988 NA
1989 NA
1990 28.4
1991 13
1992 21.6
1993 NA
1994 16.6
1995 12.8
1996 37.8
1997 19.8
1998 14.6
1999 17
2000 25.2
2001 41.2
2002 21.2
2003 20.4
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 34.5
2013 34.8
