Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 NA
1975 NA
1976 NA
1977 NA
1978 NA
1979 NA
1980 NA
1981 NA
1982 NA
1983 NA
1984 28.1
1985 15
1986 19.9
1987 17.5
1988 22.7
1989 19.2
1990 NA
1991 18.1
1992 11.5
1993 NA
1994 15.1
1995 8.7
1996 19.5
1997 15
1998 11.4
1999 NA
2000 25.5
2001 17.3
2002 31.8
2003 14.4
2004 13.9
2005 10
2006 28.1
2007 16.3
2008 31.1
2009 21.1
2010 17.3
2011 20.1
2012 19.4
2013 11.6
