Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 NA
1975 NA
1976 NA
1977 NA
1978 NA
1979 NA
1980 NA
1981 NA
1982 NA
1983 NA
1984 NA
1985 16.5
1986 9.3
1987 10.9
1988 16.9
1989 NA
1990 13.2
1991 9.9
1992 11.6
1993 12.9
1994 15.5
1995 13.2
1996 24.9
1997 25.5
1998 7.7
1999 26.6
2000 13.8
2001 11.3
2002 24.7
2003 15.3
2004 14.9
2005 18.9
2006 31.7
2007 17
2008 28.7
2009 12.5
2010 34.6
2011 19.6
2012 11.7
2013 15.2
