Year pr
1970 28
1971 12.2
1972 10.4
1973 18.7
1974 13.6
1975 11.8
1976 11.4
1977 13
1978 11.8
1979 23.8
1980 18
1981 17.6
1982 33.1
1983 20.4
1984 29.7
1985 34.8
1986 14.8
1987 13.6
1988 27.8
1989 17
1990 15.2
1991 15.6
1992 18
1993 NA
1994 NA
1995 NA
1996 NA
1997 11.6
1998 22.6
1999 11.8
2000 29.1
2001 NA
2002 NA
2003 NA
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 NA
2013 NA
