Year pr
1970 19.4
1971 18
1972 18.2
1973 13
1974 21
1975 22.2
1976 20.8
1977 11.6
1978 13.8
1979 20.2
1980 19.8
1981 18.6
1982 17.6
1983 11.4
1984 15.6
1985 14.8
1986 NA
1987 NA
1988 11.8
1989 31.3
1990 17.8
1991 24.6
1992 20.7
1993 13.2
1994 14.6
1995 14.6
1996 20.8
1997 26.2
1998 15.8
1999 14
2000 19.6
2001 19
2002 15.4
2003 12.2
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 NA
2013 NA
