V1 V2 V3 V4 V5 V6 V7
0.0636448169595014 0.0573089624396897 0.126738910014183 0.0378603921570105 -0.0357830658685885 -0.0785145882256955 -0.0892940831063135
-0.00917145234692995 0.0707806333186096 0.121823301356316 0.00725004466509173 -0.0501066329432933 -0.0851306316407436 -0.0959336805864754
0.120749631396119 0.0710027715043403 0.0528153255466142 -0.0146186220637644 -0.0672164974592509 -0.0926509426712216 -0.100515578138766
0.0280384288544358 -0.0379920429856697 -0.0110542141061654 -0.0449056047876358 -0.0751447241484275 -0.102318585560375 -0.106291506012182
-0.0771446811839156 -0.0991814833173691 -0.0320289412250303 -0.0546434388570855 -0.0788895879145631 -0.1085438993567 -0.115332682431176
0.0214523736130248 0.0466063029771618 0.0595895110970511 0.0321415097723532 -0.0317239432020572 -0.0789972755121797 -0.0995660348700652
0.101990926917976 0.0724000563725763 0.0393565539447263 0.00421232246787691 -0.0470141462548207 -0.0901050198203467 -0.10849549249374
0.0536671536192001 0.00746277155338965 0.0175414687382356 -0.0235552133139835 -0.066651889146666 -0.102773569502234 -0.117663894369788
-0.0483650083757223 -0.0545849531754209 -0.0405581044790872 -0.0539175195706678 -0.0827098014932463 -0.113775012893467 -0.12442185759977
-0.106268810645455 -0.0903918729899369 -0.0565723962330094 -0.0719119060130518 -0.0904317357377039 -0.120048466319213 -0.131781269627029
-0.0504955881195808 -0.0399344382450678 0.00291182629176056 0.0215267796212586 -0.0322136404701214 -0.0740587239156262 -0.108528859120521
0.0270320831811052 -0.037228755659628 -0.0223188424582477 -0.00746231540314776 -0.0544874134393242 -0.0892470026472537 -0.119034980298693
-0.0445972759627065 -0.039493127181707 -0.0274758422323013 -0.0331051296380249 -0.0740003109092149 -0.106696262107744 -0.128753347790565
-0.048422451724652 -0.0634797099997747 -0.0599676562310424 -0.0580971206957485 -0.088629449600727 -0.120241301892106 -0.139456600922233
-0.0977060763693494 -0.0809880153027379 -0.075587700019783 -0.0778250504308602 -0.104586061275172 -0.128813975332134 -0.150843867876846
-0.0924425857293929 -0.176375247305927 -0.0424045501805347 -0.00889121254472973 -0.032446503336243 -0.0704643135731915 -0.113862635868541
-0.200054126628008 -0.147335303539845 -0.0553422172636732 -0.0232505805908719 -0.0503251069859013 -0.0939032226178813 -0.126356215758603
-0.0726544070610571 -0.0955583234128891 -0.0567590075059453 -0.0463307410599998 -0.0732055074970073 -0.110963273529739 -0.13716644702525
-0.014784604235084 -0.0646989118452902 -0.0748699561954755 -0.0675593724219901 -0.0961429935976716 -0.123937470140691 -0.146680163424065
-0.0201755132449132 -0.0731417253504817 -0.0887610121365897 -0.0854214614809308 -0.117936729917682 -0.137440162319723 -0.159025047780834
-0.140386493443004 -0.250048313052374 -0.0966007503710997 -0.0515213855189566 -0.0429881237234369 -0.0566542259764195 -0.104353677186183
-0.255597319981362 -0.221212950150249 -0.0780287924670363 -0.0566557174226131 -0.0522087240498017 -0.0811039168217993 -0.118431266568287
-0.146643712157764 -0.163243217833718 -0.0744225756412792 -0.0608917810748328 -0.074115469407517 -0.10519417048033 -0.13361922174054
-0.133235810173574 -0.104469770365711 -0.0817896999202105 -0.0727058670141928 -0.101735494868548 -0.12741857265773 -0.148085410370485
-0.134359246860967 -0.0946114403766408 -0.0999275686706032 -0.0938349612017192 -0.123192896277219 -0.140687479317715 -0.160654469362544
