Stnr	Year	RR
18700	1930	NA
18700	1931	NA
18700	1932	NA
18700	1933	NA
18700	1934	NA
18700	1935	NA
18700	1936	36.8
18700	1937	25
18700	1938	42.6
18700	1939	29.2
18700	1940	23.2
18700	1941	40.1
18700	1942	35
18700	1943	32.8
18700	1944	37.5
18700	1945	38.4
18700	1946	21.2
18700	1947	33.4
18700	1948	26.7
18700	1949	42.8
18700	1950	52
18700	1951	43.3
18700	1952	24.3
18700	1953	30.2
18700	1954	25.3
18700	1955	36
18700	1956	51.9
18700	1957	39.4
18700	1958	47.6
18700	1959	45.6
18700	1960	29.3
18700	1961	35.5
18700	1962	29.9
18700	1963	41
18700	1964	58.7
18700	1965	28.5
18700	1966	44
18700	1967	22.4
18700	1968	25.3
18700	1969	34.8
18700	1970	28.3
18700	1971	35.8
18700	1972	34.7
18700	1973	46.1
18700	1974	26.3
18700	1975	37.5
18700	1976	24.7
18700	1977	29.1
18700	1978	32
18700	1979	48.5
18700	1980	38.2
18700	1981	36.3
18700	1982	34.3
18700	1983	46.1
18700	1984	41.6
18700	1985	41.7
18700	1986	30.3
18700	1987	40.7
18700	1988	59.8
18700	1989	32.9
18700	1990	27.2
18700	1991	31.8
18700	1992	29.7
18700	1993	47.9
18700	1994	38.4
18700	1995	36
18700	1996	31.4
18700	1997	27
18700	1998	45.5
18700	1999	35.8
18700	2000	27.8
18700	2001	48.7
18700	2002	31.8
18700	2003	25.2
18700	2004	37.7
18700	2005	35.3
18700	2006	37.7
18700	2007	56
18700	2008	40.4
18700	2009	38
18700	2010	32.2
18700	2011	NA
