Stnr	Year	RR
11600	1957	NA
11600	1958	NA
11600	1959	NA
11600	1960	NA
11600	1961	NA
11600	1962	NA
11600	1963	NA
11600	1964	NA
11600	1965	NA
11600	1966	NA
11600	1967	NA
11600	1968	NA
11600	1969	NA
11600	1970	NA
11600	1971	NA
11600	1972	NA
11600	1973	NA
11600	1974	NA
11600	1975	NA
11600	1976	NA
11600	1977	NA
11600	1978	NA
11600	1979	NA
11600	1980	NA
11600	1981	NA
11600	1982	NA
11600	1983	NA
11600	1984	NA
11600	1985	NA
11600	1986	NA
11600	1987	NA
11600	1988	NA
11600	1989	NA
11600	1990	NA
11600	1991	NA
11600	1992	NA
11600	1993	NA
11600	1994	NA
11600	1995	NA
11600	1996	NA
11600	1997	NA
11600	1998	NA
11600	1999	NA
11600	2000	NA
11600	2001	NA
11600	2002	NA
11600	2003	NA
11600	2004	NA
11600	2005	NA
11600	2006	NA
11600	2007	NA
11600	2008	NA
11600	2009	NA
11600	2010	NA
11600	2011	NA
