Stnr	Year	RR
11610	1957	13.6
11610	1958	25.2
11610	1959	24.8
11610	1960	37.7
11610	1961	26
11610	1962	24.4
11610	1963	51.7
11610	1964	24.4
11610	1965	24
11610	1966	26
11610	1967	35.3
11610	1968	21
11610	1969	30.3
11610	1970	44.5
11610	1971	55.7
11610	1972	59.2
11610	1973	43.7
11610	1974	28
11610	1975	48.2
11610	1976	33
11610	1977	30
11610	1978	22
11610	1979	52
11610	1980	28.5
11610	1981	18
11610	1982	19.5
11610	1983	40.5
11610	1984	36
11610	1985	25.2
11610	1986	32
11610	1987	54.6
11610	1988	36.2
11610	1989	31
11610	1990	25.5
11610	1991	38.2
11610	1992	47.2
11610	1993	37.5
11610	1994	42.2
11610	1995	35.8
11610	1996	33.5
11610	1997	41
11610	1998	29.4
11610	1999	30.8
11610	2000	27
11610	2001	25
11610	2002	35
11610	2003	NA
11610	2004	NA
11610	2005	NA
11610	2006	NA
11610	2007	NA
11610	2008	NA
11610	2009	NA
11610	2010	NA
11610	2011	NA
