
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 18701   260972  6652714  10.7201  59.9423 1968                 06     19     05       4.2
 18701   260972  6652714  10.7201  59.9423 1968                 06     19     07       4.4
 18701   260972  6652714  10.7201  59.9423 1968                 07     09     03       3.8
 18701   260972  6652714  10.7201  59.9423 1968                 07     09     07       3.8
 18701   260972  6652714  10.7201  59.9423 1968                 07     09     08       5.8
 18701   260972  6652714  10.7201  59.9423 1968                 07     25     00       6.0
 18701   260972  6652714  10.7201  59.9423 1968                 09     05     21       4.0
 18701   260972  6652714  10.7201  59.9423 1968                 09     29     19       6.6
 18701   260972  6652714  10.7201  59.9423 1968                 10     12     19       3.8
 18701   260972  6652714  10.7201  59.9423 1968                 10     29     11       4.2
 18701   260972  6652714  10.7201  59.9423 1969                 06     01     10       3.4
 18701   260972  6652714  10.7201  59.9423 1969                 06     01     19      12.2
 18701   260972  6652714  10.7201  59.9423 1969                 07     08     00       3.4
 18701   260972  6652714  10.7201  59.9423 1969                 07     08     01       4.6
 18701   260972  6652714  10.7201  59.9423 1969                 07     08     16       6.2
 18701   260972  6652714  10.7201  59.9423 1969                 08     22     02       3.8
 18701   260972  6652714  10.7201  59.9423 1969                 08     25     14       4.2
 18701   260972  6652714  10.7201  59.9423 1969                 09     14     08       3.4
 18701   260972  6652714  10.7201  59.9423 1969                 09     25     14       5.2
 18701   260972  6652714  10.7201  59.9423 1969                 11     10     08       3.4
 18701   260972  6652714  10.7201  59.9423 1970                 06     25     11      11.4
 18701   260972  6652714  10.7201  59.9423 1970                 07     09     15       8.4
 18701   260972  6652714  10.7201  59.9423 1970                 07     10     06       8.2
 18701   260972  6652714  10.7201  59.9423 1970                 07     18     19       4.8
 18701   260972  6652714  10.7201  59.9423 1970                 07     24     06       4.8
 18701   260972  6652714  10.7201  59.9423 1970                 07     24     07       4.6
 18701   260972  6652714  10.7201  59.9423 1970                 07     25     22      11.6
 18701   260972  6652714  10.7201  59.9423 1970                 07     26     10       5.2
 18701   260972  6652714  10.7201  59.9423 1970                 08     18     17       4.6
 18701   260972  6652714  10.7201  59.9423 1970                 09     10     14       7.2
 18701   260972  6652714  10.7201  59.9423 1971                 05     16     01       3.4
 18701   260972  6652714  10.7201  59.9423 1971                 05     17     13       4.0
 18701   260972  6652714  10.7201  59.9423 1971                 05     17     14       4.8
 18701   260972  6652714  10.7201  59.9423 1971                 06     28     02       6.6
 18701   260972  6652714  10.7201  59.9423 1971                 07     24     10       3.8
 18701   260972  6652714  10.7201  59.9423 1971                 07     24     19       4.2
 18701   260972  6652714  10.7201  59.9423 1971                 07     30     23       3.6
 18701   260972  6652714  10.7201  59.9423 1971                 08     05     02       5.0
 18701   260972  6652714  10.7201  59.9423 1971                 08     28     19       3.8
 18701   260972  6652714  10.7201  59.9423 1971                 08     28     20       7.4
 18701   260972  6652714  10.7201  59.9423 1972                 05     25     13       3.8
 18701   260972  6652714  10.7201  59.9423 1972                 06     07     09       4.0
 18701   260972  6652714  10.7201  59.9423 1972                 06     07     10       3.0
 18701   260972  6652714  10.7201  59.9423 1972                 06     12     15       3.8
 18701   260972  6652714  10.7201  59.9423 1972                 06     30     03       3.2
 18701   260972  6652714  10.7201  59.9423 1972                 07     01     15       3.0
 18701   260972  6652714  10.7201  59.9423 1972                 07     02     01       3.8
 18701   260972  6652714  10.7201  59.9423 1972                 07     02     07       3.2
 18701   260972  6652714  10.7201  59.9423 1972                 07     02     08       4.0
 18701   260972  6652714  10.7201  59.9423 1972                 07     02     12       3.7
 18701   260972  6652714  10.7201  59.9423 1973                 05     06     00       4.6
 18701   260972  6652714  10.7201  59.9423 1973                 06     01     01       4.6
 18701   260972  6652714  10.7201  59.9423 1973                 07     07     18       5.9
 18701   260972  6652714  10.7201  59.9423 1973                 07     09     02       6.0
 18701   260972  6652714  10.7201  59.9423 1973                 07     09     03       8.4
 18701   260972  6652714  10.7201  59.9423 1973                 07     09     04       4.6
 18701   260972  6652714  10.7201  59.9423 1973                 07     17     08       3.6
 18701   260972  6652714  10.7201  59.9423 1973                 07     22     11       3.8
 18701   260972  6652714  10.7201  59.9423 1973                 08     04     09       3.8
 18701   260972  6652714  10.7201  59.9423 1973                 08     04     14       5.0
 18701   260972  6652714  10.7201  59.9423 1974                 07     12     14       8.2
 18701   260972  6652714  10.7201  59.9423 1974                 07     12     15       4.4
 18701   260972  6652714  10.7201  59.9423 1974                 07     14     16      10.4
 18701   260972  6652714  10.7201  59.9423 1974                 07     14     17      10.8
 18701   260972  6652714  10.7201  59.9423 1974                 08     27     11       7.0
 18701   260972  6652714  10.7201  59.9423 1974                 09     04     12       7.2
 18701   260972  6652714  10.7201  59.9423 1974                 09     04     13       7.0
 18701   260972  6652714  10.7201  59.9423 1974                 09     05     08       9.2
 18701   260972  6652714  10.7201  59.9423 1974                 09     28     07       5.4
 18701   260972  6652714  10.7201  59.9423 1974                 09     29     23       4.6
 18701   260972  6652714  10.7201  59.9423 1975                 06     16     14       6.8
 18701   260972  6652714  10.7201  59.9423 1975                 06     16     15       7.0
 18701   260972  6652714  10.7201  59.9423 1975                 06     16     17       6.2
 18701   260972  6652714  10.7201  59.9423 1975                 07     15     06       5.4
 18701   260972  6652714  10.7201  59.9423 1975                 07     15     07       6.4
 18701   260972  6652714  10.7201  59.9423 1975                 07     15     16      12.4
 18701   260972  6652714  10.7201  59.9423 1975                 08     31     02       7.2
 18701   260972  6652714  10.7201  59.9423 1975                 08     31     03       9.6
 18701   260972  6652714  10.7201  59.9423 1975                 09     09     18      10.0
 18701   260972  6652714  10.7201  59.9423 1975                 09     10     09      16.3
 18701   260972  6652714  10.7201  59.9423 1976                 06     02     08       3.4
 18701   260972  6652714  10.7201  59.9423 1976                 07     11     12       6.6
 18701   260972  6652714  10.7201  59.9423 1976                 07     11     13       4.6
 18701   260972  6652714  10.7201  59.9423 1976                 07     17     00       3.4
 18701   260972  6652714  10.7201  59.9423 1976                 09     14     07       3.4
 18701   260972  6652714  10.7201  59.9423 1976                 09     14     08       4.4
 18701   260972  6652714  10.7201  59.9423 1976                 09     14     18       3.2
 18701   260972  6652714  10.7201  59.9423 1976                 10     05     16       3.2
 18701   260972  6652714  10.7201  59.9423 1976                 10     16     00       3.0
 18701   260972  6652714  10.7201  59.9423 1976                 10     22     05       3.6
 18701   260972  6652714  10.7201  59.9423 1977                 06     11     05       4.8
 18701   260972  6652714  10.7201  59.9423 1977                 07     21     09       3.8
 18701   260972  6652714  10.7201  59.9423 1977                 07     24     14       4.0
 18701   260972  6652714  10.7201  59.9423 1977                 07     24     18       4.4
 18701   260972  6652714  10.7201  59.9423 1977                 07     25     21       5.2
 18701   260972  6652714  10.7201  59.9423 1977                 07     26     01       4.6
 18701   260972  6652714  10.7201  59.9423 1977                 08     31     09       3.8
 18701   260972  6652714  10.7201  59.9423 1977                 09     06     19       3.8
 18701   260972  6652714  10.7201  59.9423 1977                 09     06     22       6.0
 18701   260972  6652714  10.7201  59.9423 1977                 11     04     03       3.8
 18701   260972  6652714  10.7201  59.9423 1978                 05     19     14       7.2
 18701   260972  6652714  10.7201  59.9423 1978                 06     24     08       4.8
 18701   260972  6652714  10.7201  59.9423 1978                 07     02     09       4.0
 18701   260972  6652714  10.7201  59.9423 1978                 08     04     14      10.3
 18701   260972  6652714  10.7201  59.9423 1978                 08     16     03       5.0
 18701   260972  6652714  10.7201  59.9423 1978                 08     16     20       4.0
 18701   260972  6652714  10.7201  59.9423 1978                 08     16     22       5.4
 18701   260972  6652714  10.7201  59.9423 1978                 08     22     09       4.6
