
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 97250   908546  7741699  25.4817  69.4683 1968                 08     10     12       1.8
 97250   908546  7741699  25.4817  69.4683 1968                 08     14     16       1.4
 97250   908546  7741699  25.4817  69.4683 1968                 08     14     19       2.0
 97250   908546  7741699  25.4817  69.4683 1968                 08     17     19       3.4
 97250   908546  7741699  25.4817  69.4683 1968                 08     18     06       5.2
 97250   908546  7741699  25.4817  69.4683 1968                 08     21     18       2.2
 97250   908546  7741699  25.4817  69.4683 1968                 08     21     20       2.8
 97250   908546  7741699  25.4817  69.4683 1968                 08     21     21       3.6
 97250   908546  7741699  25.4817  69.4683 1968                 08     21     22       2.0
 97250   908546  7741699  25.4817  69.4683 1968                 08     27     01       2.4
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     01       2.0
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     02       2.6
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     04       2.0
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     05       5.0
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     06       4.4
 97250   908546  7741699  25.4817  69.4683 1969                 08     21     07       4.4
 97250   908546  7741699  25.4817  69.4683 1969                 08     28     17       1.8
 97250   908546  7741699  25.4817  69.4683 1969                 08     28     18       1.4
 97250   908546  7741699  25.4817  69.4683 1969                 08     31     03       1.6
 97250   908546  7741699  25.4817  69.4683 1969                 09     07     03       1.0
 97250   908546  7741699  25.4817  69.4683 1970                 06     27     21       5.0
 97250   908546  7741699  25.4817  69.4683 1970                 07     07     12       7.2
 97250   908546  7741699  25.4817  69.4683 1970                 07     07     13       3.6
 97250   908546  7741699  25.4817  69.4683 1970                 07     20     19      16.4
 97250   908546  7741699  25.4817  69.4683 1970                 07     21     18       4.0
 97250   908546  7741699  25.4817  69.4683 1970                 08     11     16       5.2
 97250   908546  7741699  25.4817  69.4683 1970                 08     11     22       3.8
 97250   908546  7741699  25.4817  69.4683 1970                 08     12     07       4.0
