
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 68863   273092  7039406  10.4535  63.4107 2005                 01     15     14       3.7
 68863   273092  7039406  10.4535  63.4107 2005                 01     30     14       3.0
 68863   273092  7039406  10.4535  63.4107 2005                 01     30     15       4.3
 68863   273092  7039406  10.4535  63.4107 2005                 01     30     16       3.7
 68863   273092  7039406  10.4535  63.4107 2005                 01     31     06       3.0
 68863   273092  7039406  10.4535  63.4107 2005                 02     19     15       3.5
 68863   273092  7039406  10.4535  63.4107 2005                 04     12     07       3.3
 68863   273092  7039406  10.4535  63.4107 2005                 04     12     08       3.6
 68863   273092  7039406  10.4535  63.4107 2005                 06     21     19       3.2
 68863   273092  7039406  10.4535  63.4107 2005                 06     21     21       4.7
 68863   273092  7039406  10.4535  63.4107 2006                 07     06     21       4.2
 68863   273092  7039406  10.4535  63.4107 2006                 07     06     22       7.7
 68863   273092  7039406  10.4535  63.4107 2006                 07     10     11       5.8
 68863   273092  7039406  10.4535  63.4107 2006                 08     17     05       4.8
 68863   273092  7039406  10.4535  63.4107 2006                 08     17     06       7.3
 68863   273092  7039406  10.4535  63.4107 2006                 09     19     17       5.1
 68863   273092  7039406  10.4535  63.4107 2006                 10     05     17       9.4
 68863   273092  7039406  10.4535  63.4107 2006                 10     05     18       7.7
 68863   273092  7039406  10.4535  63.4107 2006                 10     27     00       6.6
 68863   273092  7039406  10.4535  63.4107 2006                 10     27     01       5.4
 68863   273092  7039406  10.4535  63.4107 2007                 12     20     08        .6
 68863   273092  7039406  10.4535  63.4107 2007                 12     24     15        .7
 68863   273092  7039406  10.4535  63.4107 2007                 12     24     16       2.1
 68863   273092  7039406  10.4535  63.4107 2007                 12     24     17       1.3
 68863   273092  7039406  10.4535  63.4107 2007                 12     27     17        .9
 68863   273092  7039406  10.4535  63.4107 2007                 12     30     02        .7
 68863   273092  7039406  10.4535  63.4107 2007                 12     30     06        .6
 68863   273092  7039406  10.4535  63.4107 2007                 12     30     08       1.1
 68863   273092  7039406  10.4535  63.4107 2007                 12     30     16        .8
 68863   273092  7039406  10.4535  63.4107 2007                 12     30     17       1.1
 68863   273092  7039406  10.4535  63.4107 2008                 06     16     06       6.4
 68863   273092  7039406  10.4535  63.4107 2008                 06     16     18       6.4
 68863   273092  7039406  10.4535  63.4107 2008                 08     06     18       4.8
 68863   273092  7039406  10.4535  63.4107 2008                 08     14     06       3.3
 68863   273092  7039406  10.4535  63.4107 2008                 08     14     07       3.5
 68863   273092  7039406  10.4535  63.4107 2008                 08     27     23       5.5
 68863   273092  7039406  10.4535  63.4107 2008                 08     28     00      11.6
 68863   273092  7039406  10.4535  63.4107 2008                 10     20     17       3.0
 68863   273092  7039406  10.4535  63.4107 2008                 10     27     22       3.6
 68863   273092  7039406  10.4535  63.4107 2008                 11     15     04       3.0
 68863   273092  7039406  10.4535  63.4107 2009                 02     27     04       3.6
 68863   273092  7039406  10.4535  63.4107 2009                 06     30     05       3.6
 68863   273092  7039406  10.4535  63.4107 2009                 09     02     07       3.7
 68863   273092  7039406  10.4535  63.4107 2009                 09     04     10       3.8
 68863   273092  7039406  10.4535  63.4107 2009                 09     08     17       3.7
 68863   273092  7039406  10.4535  63.4107 2009                 09     11     17       4.7
 68863   273092  7039406  10.4535  63.4107 2009                 09     27     06       3.7
 68863   273092  7039406  10.4535  63.4107 2009                 09     30     04       5.3
 68863   273092  7039406  10.4535  63.4107 2009                 10     15     21       4.2
 68863   273092  7039406  10.4535  63.4107 2009                 11     22     22       4.0
 68863   273092  7039406  10.4535  63.4107 2010                 04     30     16       4.7
 68863   273092  7039406  10.4535  63.4107 2010                 05     30     02       3.3
 68863   273092  7039406  10.4535  63.4107 2010                 05     30     03       3.7
 68863   273092  7039406  10.4535  63.4107 2010                 06     28     16       6.9
 68863   273092  7039406  10.4535  63.4107 2010                 06     28     17       4.8
 68863   273092  7039406  10.4535  63.4107 2010                 07     08     12      10.6
 68863   273092  7039406  10.4535  63.4107 2010                 07     30     20       5.0
 68863   273092  7039406  10.4535  63.4107 2010                 08     01     12       5.1
 68863   273092  7039406  10.4535  63.4107 2010                 09     15     00       5.7
 68863   273092  7039406  10.4535  63.4107 2010                 09     20     18       3.7
 68863   273092  7039406  10.4535  63.4107 2011                 01     17     03       2.8
 68863   273092  7039406  10.4535  63.4107 2011                 02     02     22       3.7
 68863   273092  7039406  10.4535  63.4107 2011                 03     21     05       3.1
 68863   273092  7039406  10.4535  63.4107 2011                 03     21     14       3.3
 68863   273092  7039406  10.4535  63.4107 2011                 03     21     17       3.9
 68863   273092  7039406  10.4535  63.4107 2011                 03     21     18       3.7
 68863   273092  7039406  10.4535  63.4107 2011                 03     22     05       3.2
 68863   273092  7039406  10.4535  63.4107 2011                 03     27     13       2.8
 68863   273092  7039406  10.4535  63.4107 2011                 05     13     05       3.8
 68863   273092  7039406  10.4535  63.4107 2011                 05     13     13       4.1
 68863   273092  7039406  10.4535  63.4107 2012                 02     14     08        .0


