
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 40140    70940  6575336   7.5000  59.1000 1971                 07     24     14       3.2
 40140    70940  6575336   7.5000  59.1000 1971                 07     24     15       4.8
 40140    70940  6575336   7.5000  59.1000 1971                 07     27     00       5.0
 40140    70940  6575336   7.5000  59.1000 1971                 07     30     05       3.8
 40140    70940  6575336   7.5000  59.1000 1971                 07     30     18       3.4
 40140    70940  6575336   7.5000  59.1000 1971                 08     04     12       4.2
 40140    70940  6575336   7.5000  59.1000 1971                 08     05     08       5.2
 40140    70940  6575336   7.5000  59.1000 1971                 08     05     09       5.6
 40140    70940  6575336   7.5000  59.1000 1971                 08     06     00       3.6
 40140    70940  6575336   7.5000  59.1000 1971                 08     06     01       3.4
 40140    70940  6575336   7.5000  59.1000 1972                 06     05     22       5.0
 40140    70940  6575336   7.5000  59.1000 1972                 07     30     21      11.7
 40140    70940  6575336   7.5000  59.1000 1972                 07     31     07      11.7
 40140    70940  6575336   7.5000  59.1000 1972                 08     07     07       5.4
 40140    70940  6575336   7.5000  59.1000 1972                 08     07     14       5.6
 40140    70940  6575336   7.5000  59.1000 1972                 08     08     23       6.2
 40140    70940  6575336   7.5000  59.1000 1972                 08     09     01       7.8
 40140    70940  6575336   7.5000  59.1000 1972                 09     09     17       5.4
 40140    70940  6575336   7.5000  59.1000 1972                 10     23     10       7.0
 40140    70940  6575336   7.5000  59.1000 1972                 10     23     11      10.4
 40140    70940  6575336   7.5000  59.1000 1973                 05     24     17      10.8
 40140    70940  6575336   7.5000  59.1000 1973                 05     31     06       5.8
 40140    70940  6575336   7.5000  59.1000 1973                 05     31     07       5.8
 40140    70940  6575336   7.5000  59.1000 1973                 05     31     09       6.8
 40140    70940  6575336   7.5000  59.1000 1973                 05     31     21       4.2
 40140    70940  6575336   7.5000  59.1000 1973                 07     07     19      14.9
 40140    70940  6575336   7.5000  59.1000 1973                 07     17     19       4.8
 40140    70940  6575336   7.5000  59.1000 1973                 08     06     14       4.2
 40140    70940  6575336   7.5000  59.1000 1973                 08     06     15       4.4
 40140    70940  6575336   7.5000  59.1000 1973                 09     28     14       6.2
 40140    70940  6575336   7.5000  59.1000 1974                 08     27     04       6.2
 40140    70940  6575336   7.5000  59.1000 1974                 08     27     13       5.2
 40140    70940  6575336   7.5000  59.1000 1974                 09     02     04       9.8
 40140    70940  6575336   7.5000  59.1000 1974                 09     03     09       5.8
 40140    70940  6575336   7.5000  59.1000 1974                 09     03     10       4.4
 40140    70940  6575336   7.5000  59.1000 1974                 09     03     18       5.2
 40140    70940  6575336   7.5000  59.1000 1974                 09     07     23       4.0
 40140    70940  6575336   7.5000  59.1000 1974                 09     08     01       4.2
 40140    70940  6575336   7.5000  59.1000 1974                 09     16     06       4.8
 40140    70940  6575336   7.5000  59.1000 1974                 09     28     17       6.0
 40140    70940  6575336   7.5000  59.1000 1975                 07     15     01       3.6
 40140    70940  6575336   7.5000  59.1000 1975                 08     16     03       4.0
 40140    70940  6575336   7.5000  59.1000 1975                 08     16     05       5.4
 40140    70940  6575336   7.5000  59.1000 1975                 08     16     19       4.0
 40140    70940  6575336   7.5000  59.1000 1975                 09     11     13       4.2
