
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
  3190   278719  6578319  11.1148  59.2857 1984                 08     01     10        .6
  3190   278719  6578319  11.1148  59.2857 1984                 08     02     02       1.4
  3190   278719  6578319  11.1148  59.2857 1984                 08     02     03       1.4
  3190   278719  6578319  11.1148  59.2857 1984                 08     02     08        .6
  3190   278719  6578319  11.1148  59.2857 1984                 08     03     05       1.0
  3190   278719  6578319  11.1148  59.2857 1984                 08     03     06       2.4
  3190   278719  6578319  11.1148  59.2857 1984                 08     04     21        .8
  3190   278719  6578319  11.1148  59.2857 1984                 08     04     22        .8
  3190   278719  6578319  11.1148  59.2857 1984                 08     05     04        .6
  3190   278719  6578319  11.1148  59.2857 1984                 08     05     05        .8
  3190   278719  6578319  11.1148  59.2857 1985                 06     09     03       6.0
  3190   278719  6578319  11.1148  59.2857 1985                 07     14     19       8.4
  3190   278719  6578319  11.1148  59.2857 1985                 07     15     10      16.0
  3190   278719  6578319  11.1148  59.2857 1985                 07     15     17       5.8
  3190   278719  6578319  11.1148  59.2857 1985                 07     19     14       9.6
  3190   278719  6578319  11.1148  59.2857 1985                 07     30     05       5.0
  3190   278719  6578319  11.1148  59.2857 1985                 08     06     09       6.6
  3190   278719  6578319  11.1148  59.2857 1985                 08     06     10      13.8
  3190   278719  6578319  11.1148  59.2857 1985                 08     13     08      12.7
  3190   278719  6578319  11.1148  59.2857 1985                 11     02     00       5.0
  3190   278719  6578319  11.1148  59.2857 1986                 05     11     01       5.0
  3190   278719  6578319  11.1148  59.2857 1986                 05     21     15       6.2
  3190   278719  6578319  11.1148  59.2857 1986                 05     21     16       5.2
  3190   278719  6578319  11.1148  59.2857 1986                 06     07     06       6.0
  3190   278719  6578319  11.1148  59.2857 1986                 07     08     23       4.8
  3190   278719  6578319  11.1148  59.2857 1986                 07     17     16       4.9
  3190   278719  6578319  11.1148  59.2857 1986                 07     29     17      11.2
  3190   278719  6578319  11.1148  59.2857 1986                 07     29     18       7.0
  3190   278719  6578319  11.1148  59.2857 1986                 08     09     11       8.6
  3190   278719  6578319  11.1148  59.2857 1986                 08     16     14       7.0
  3190   278719  6578319  11.1148  59.2857 1987                 07     29     02       8.4
  3190   278719  6578319  11.1148  59.2857 1987                 07     30     13       8.6
  3190   278719  6578319  11.1148  59.2857 1987                 08     21     18       6.2
  3190   278719  6578319  11.1148  59.2857 1987                 10     06     15       7.4
  3190   278719  6578319  11.1148  59.2857 1987                 10     06     16       6.2
  3190   278719  6578319  11.1148  59.2857 1987                 10     12     17       7.0
  3190   278719  6578319  11.1148  59.2857 1987                 10     16     12       7.0
  3190   278719  6578319  11.1148  59.2857 1987                 10     16     13       6.6
  3190   278719  6578319  11.1148  59.2857 1987                 10     17     07       7.6
  3190   278719  6578319  11.1148  59.2857 1987                 10     17     08      10.2
  3190   278719  6578319  11.1148  59.2857 1988                 06     04     01       7.8
  3190   278719  6578319  11.1148  59.2857 1988                 06     19     18      12.7
  3190   278719  6578319  11.1148  59.2857 1988                 06     25     15       6.6
  3190   278719  6578319  11.1148  59.2857 1988                 06     27     16       7.2
  3190   278719  6578319  11.1148  59.2857 1988                 07     02     20      19.2
  3190   278719  6578319  11.1148  59.2857 1988                 07     04     02       7.0
  3190   278719  6578319  11.1148  59.2857 1988                 07     11     15      10.9
  3190   278719  6578319  11.1148  59.2857 1988                 07     22     18      19.6
  3190   278719  6578319  11.1148  59.2857 1988                 08     02     12       8.8
  3190   278719  6578319  11.1148  59.2857 1988                 08     20     14      11.0
  3190   278719  6578319  11.1148  59.2857 1989                 06     28     02      10.2
  3190   278719  6578319  11.1148  59.2857 1989                 07     31     06       4.4
  3190   278719  6578319  11.1148  59.2857 1989                 07     31     14       4.2
  3190   278719  6578319  11.1148  59.2857 1989                 07     31     15       9.0
  3190   278719  6578319  11.1148  59.2857 1989                 08     01     00       3.8
  3190   278719  6578319  11.1148  59.2857 1989                 08     01     03       4.4
  3190   278719  6578319  11.1148  59.2857 1989                 08     14     14       5.8
  3190   278719  6578319  11.1148  59.2857 1989                 08     15     14       4.0
  3190   278719  6578319  11.1148  59.2857 1989                 08     15     15       3.8
  3190   278719  6578319  11.1148  59.2857 1989                 09     19     14       4.4
  3190   278719  6578319  11.1148  59.2857 1990                 06     21     15       7.0
  3190   278719  6578319  11.1148  59.2857 1990                 06     21     17       6.6
  3190   278719  6578319  11.1148  59.2857 1990                 06     23     00      10.6
  3190   278719  6578319  11.1148  59.2857 1990                 07     01     14       6.0
  3190   278719  6578319  11.1148  59.2857 1990                 07     01     16       6.2
  3190   278719  6578319  11.1148  59.2857 1990                 07     08     15       5.8
  3190   278719  6578319  11.1148  59.2857 1990                 07     08     16       7.8
  3190   278719  6578319  11.1148  59.2857 1990                 08     16     20       5.4
  3190   278719  6578319  11.1148  59.2857 1990                 08     31     15       5.6
  3190   278719  6578319  11.1148  59.2857 1990                 09     19     05       5.6
  3190   278719  6578319  11.1148  59.2857 1991                 06     11     07       4.4
  3190   278719  6578319  11.1148  59.2857 1991                 06     11     10       8.4
  3190   278719  6578319  11.1148  59.2857 1991                 06     14     11       5.0
  3190   278719  6578319  11.1148  59.2857 1991                 06     20     02       3.6
  3190   278719  6578319  11.1148  59.2857 1991                 06     20     03       3.4
  3190   278719  6578319  11.1148  59.2857 1991                 06     20     04       6.2
  3190   278719  6578319  11.1148  59.2857 1991                 06     22     10       4.2
