
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 26890   230414  6631902  10.2020  59.7372 1968                 06     05     22       4.6
 26890   230414  6631902  10.2020  59.7372 1968                 06     05     23       5.0
 26890   230414  6631902  10.2020  59.7372 1968                 06     19     02       4.8
 26890   230414  6631902  10.2020  59.7372 1968                 06     23     05       5.0
 26890   230414  6631902  10.2020  59.7372 1968                 07     20     08       5.2
 26890   230414  6631902  10.2020  59.7372 1968                 09     01     00      10.8
 26890   230414  6631902  10.2020  59.7372 1968                 09     01     02       6.6
 26890   230414  6631902  10.2020  59.7372 1968                 09     01     08       5.0
 26890   230414  6631902  10.2020  59.7372 1968                 09     03     00       8.0
 26890   230414  6631902  10.2020  59.7372 1968                 09     28     14       4.6
 26890   230414  6631902  10.2020  59.7372 1969                 08     23     05       4.2
 26890   230414  6631902  10.2020  59.7372 1969                 08     25     19       4.0
 26890   230414  6631902  10.2020  59.7372 1969                 08     25     21       6.8
 26890   230414  6631902  10.2020  59.7372 1969                 08     25     22       9.4
 26890   230414  6631902  10.2020  59.7372 1969                 09     14     11       3.6
 26890   230414  6631902  10.2020  59.7372 1969                 09     22     02       4.0
 26890   230414  6631902  10.2020  59.7372 1969                 09     22     04       4.4
 26890   230414  6631902  10.2020  59.7372 1969                 10     24     11       4.2
 26890   230414  6631902  10.2020  59.7372 1969                 10     24     12       4.8
 26890   230414  6631902  10.2020  59.7372 1969                 11     10     06       3.6
 26890   230414  6631902  10.2020  59.7372 1970                 05     29     08       4.0
 26890   230414  6631902  10.2020  59.7372 1970                 06     25     05       4.0
 26890   230414  6631902  10.2020  59.7372 1970                 07     02     16       3.8
 26890   230414  6631902  10.2020  59.7372 1970                 07     02     18       5.2
 26890   230414  6631902  10.2020  59.7372 1970                 07     03     11       8.8
 26890   230414  6631902  10.2020  59.7372 1970                 07     10     14       9.0
 26890   230414  6631902  10.2020  59.7372 1970                 07     25     19       3.8
 26890   230414  6631902  10.2020  59.7372 1970                 08     17     14       4.2
 26890   230414  6631902  10.2020  59.7372 1970                 09     11     05       5.2
 26890   230414  6631902  10.2020  59.7372 1970                 10     01     04       4.0
 26890   230414  6631902  10.2020  59.7372 1971                 07     18     17       8.0
 26890   230414  6631902  10.2020  59.7372 1971                 07     20     01       6.0
 26890   230414  6631902  10.2020  59.7372 1971                 07     20     02       5.0
 26890   230414  6631902  10.2020  59.7372 1971                 07     24     18       3.8
 26890   230414  6631902  10.2020  59.7372 1971                 07     30     11       5.4
 26890   230414  6631902  10.2020  59.7372 1971                 07     30     18       3.8
 26890   230414  6631902  10.2020  59.7372 1971                 07     30     22       3.8
 26890   230414  6631902  10.2020  59.7372 1971                 08     04     16       6.8
 26890   230414  6631902  10.2020  59.7372 1971                 08     28     19       3.8
