
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 24880   178073  6729127   9.1220  60.5685 1977                 06     10     08       2.4
 24880   178073  6729127   9.1220  60.5685 1977                 06     11     07       2.6
 24880   178073  6729127   9.1220  60.5685 1977                 06     18     05       2.8
 24880   178073  6729127   9.1220  60.5685 1977                 07     19     01       2.4
 24880   178073  6729127   9.1220  60.5685 1977                 07     22     18       2.8
 24880   178073  6729127   9.1220  60.5685 1977                 07     27     16       4.4
 24880   178073  6729127   9.1220  60.5685 1977                 08     05     21       2.8
 24880   178073  6729127   9.1220  60.5685 1977                 08     19     09       3.6
 24880   178073  6729127   9.1220  60.5685 1977                 08     19     10       4.0
 24880   178073  6729127   9.1220  60.5685 1977                 08     27     17       2.6
 24880   178073  6729127   9.1220  60.5685 1978                 05     22     23       3.8
 24880   178073  6729127   9.1220  60.5685 1978                 05     23     00       3.4
 24880   178073  6729127   9.1220  60.5685 1978                 05     23     01       3.2
 24880   178073  6729127   9.1220  60.5685 1978                 06     06     06       2.6
 24880   178073  6729127   9.1220  60.5685 1978                 06     26     17       2.6
 24880   178073  6729127   9.1220  60.5685 1978                 07     01     06       3.4
 24880   178073  6729127   9.1220  60.5685 1978                 07     01     07       4.0
 24880   178073  6729127   9.1220  60.5685 1978                 07     01     10       3.0
 24880   178073  6729127   9.1220  60.5685 1978                 07     01     20       3.8
 24880   178073  6729127   9.1220  60.5685 1978                 07     25     14       3.2
 24880   178073  6729127   9.1220  60.5685 1979                 06     24     22      11.2
 24880   178073  6729127   9.1220  60.5685 1979                 06     24     23       5.0
 24880   178073  6729127   9.1220  60.5685 1979                 07     14     14       6.4
 24880   178073  6729127   9.1220  60.5685 1979                 07     19     04       4.0
 24880   178073  6729127   9.1220  60.5685 1979                 07     20     14       5.8
 24880   178073  6729127   9.1220  60.5685 1979                 07     20     20       5.8
 24880   178073  6729127   9.1220  60.5685 1979                 08     09     03       3.8
 24880   178073  6729127   9.1220  60.5685 1979                 08     09     05       6.4
 24880   178073  6729127   9.1220  60.5685 1979                 08     19     19       5.8
 24880   178073  6729127   9.1220  60.5685 1979                 09     03     07       4.8
 24880   178073  6729127   9.1220  60.5685 1980                 05     30     02       2.8
 24880   178073  6729127   9.1220  60.5685 1980                 06     06     18       5.8
 24880   178073  6729127   9.1220  60.5685 1980                 06     09     10       5.2
 24880   178073  6729127   9.1220  60.5685 1980                 06     11     21       3.0
 24880   178073  6729127   9.1220  60.5685 1980                 06     18     06       3.2
 24880   178073  6729127   9.1220  60.5685 1980                 07     15     06       3.6
 24880   178073  6729127   9.1220  60.5685 1980                 07     15     18       7.6
 24880   178073  6729127   9.1220  60.5685 1980                 08     19     18       6.2
 24880   178073  6729127   9.1220  60.5685 1980                 09     17     19       2.8
 24880   178073  6729127   9.1220  60.5685 1980                 10     07     08       4.2
 24880   178073  6729127   9.1220  60.5685 1981                 05     24     22       4.6
 24880   178073  6729127   9.1220  60.5685 1981                 06     16     00       3.2
 24880   178073  6729127   9.1220  60.5685 1981                 06     20     05       3.6
 24880   178073  6729127   9.1220  60.5685 1981                 06     25     19       6.2
 24880   178073  6729127   9.1220  60.5685 1981                 07     12     05       4.4
 24880   178073  6729127   9.1220  60.5685 1981                 07     12     12       9.6
 24880   178073  6729127   9.1220  60.5685 1981                 07     19     14       4.8
 24880   178073  6729127   9.1220  60.5685 1981                 07     24     17       3.4
 24880   178073  6729127   9.1220  60.5685 1981                 07     24     18       6.0
 24880   178073  6729127   9.1220  60.5685 1981                 09     28     01       3.4
 24880   178073  6729127   9.1220  60.5685 1982                 05     28     05       3.8
 24880   178073  6729127   9.1220  60.5685 1982                 06     20     20       3.2
 24880   178073  6729127   9.1220  60.5685 1982                 06     29     18       3.6
 24880   178073  6729127   9.1220  60.5685 1982                 07     03     17       7.8
 24880   178073  6729127   9.1220  60.5685 1982                 07     03     18      10.4
 24880   178073  6729127   9.1220  60.5685 1982                 07     16     05       5.8
 24880   178073  6729127   9.1220  60.5685 1982                 08     17     05       3.2
 24880   178073  6729127   9.1220  60.5685 1982                 09     30     14       5.8
 24880   178073  6729127   9.1220  60.5685 1982                 09     30     15       5.4
 24880   178073  6729127   9.1220  60.5685 1982                 09     30     16       4.8
 24880   178073  6729127   9.1220  60.5685 1983                 05     10     17       4.8
 24880   178073  6729127   9.1220  60.5685 1983                 05     11     21       2.4
 24880   178073  6729127   9.1220  60.5685 1983                 05     16     05       2.8
 24880   178073  6729127   9.1220  60.5685 1983                 05     22     11       4.6
 24880   178073  6729127   9.1220  60.5685 1983                 05     26     00       3.2
 24880   178073  6729127   9.1220  60.5685 1983                 09     03     10       5.6
 24880   178073  6729127   9.1220  60.5685 1983                 09     11     04       2.6
 24880   178073  6729127   9.1220  60.5685 1983                 09     11     05       3.8
 24880   178073  6729127   9.1220  60.5685 1983                 10     14     02       3.4
