
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 40500    40417  6609590   6.9000  59.3728 1975                 07     23     18       5.2
 40500    40417  6609590   6.9000  59.3728 1975                 08     16     20       4.6
 40500    40417  6609590   6.9000  59.3728 1975                 08     28     11       8.2
 40500    40417  6609590   6.9000  59.3728 1975                 08     28     12       6.0
 40500    40417  6609590   6.9000  59.3728 1975                 08     28     13      11.4
 40500    40417  6609590   6.9000  59.3728 1975                 08     28     14       6.4
 40500    40417  6609590   6.9000  59.3728 1975                 08     30     19       4.6
 40500    40417  6609590   6.9000  59.3728 1975                 09     18     12       6.0
 40500    40417  6609590   6.9000  59.3728 1975                 09     18     13       5.0
 40500    40417  6609590   6.9000  59.3728 1975                 09     23     01       4.6
 40500    40417  6609590   6.9000  59.3728 1977                 08     25     22       3.2
 40500    40417  6609590   6.9000  59.3728 1977                 08     26     05       5.6
 40500    40417  6609590   6.9000  59.3728 1977                 08     26     06       4.8
 40500    40417  6609590   6.9000  59.3728 1977                 08     26     09       3.8
 40500    40417  6609590   6.9000  59.3728 1977                 08     26     21       3.4
 40500    40417  6609590   6.9000  59.3728 1977                 09     05     17       4.0
 40500    40417  6609590   6.9000  59.3728 1977                 09     05     19       5.2
 40500    40417  6609590   6.9000  59.3728 1977                 09     05     20       4.8
 40500    40417  6609590   6.9000  59.3728 1977                 09     06     03       3.2
 40500    40417  6609590   6.9000  59.3728 1977                 09     06     17       3.8
 40500    40417  6609590   6.9000  59.3728 1978                 06     30     15       1.8
 40500    40417  6609590   6.9000  59.3728 1978                 06     30     16       2.4
 40500    40417  6609590   6.9000  59.3728 1978                 07     01     06       1.4
 40500    40417  6609590   6.9000  59.3728 1978                 07     01     16       5.0
 40500    40417  6609590   6.9000  59.3728 1978                 07     01     17       2.8
 40500    40417  6609590   6.9000  59.3728 1978                 07     01     19       1.4
 40500    40417  6609590   6.9000  59.3728 1978                 07     02     12       1.4
 40500    40417  6609590   6.9000  59.3728 1978                 07     03     23       4.6
 40500    40417  6609590   6.9000  59.3728 1978                 07     04     00       3.2
 40500    40417  6609590   6.9000  59.3728 1978                 07     04     01       4.0
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     14       5.0
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     15       5.4
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     16       5.2
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     17       7.6
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     18       7.2
 40500    40417  6609590   6.9000  59.3728 1979                 08     14     19       5.8
 40500    40417  6609590   6.9000  59.3728 1979                 08     17     13       4.6
 40500    40417  6609590   6.9000  59.3728 1979                 09     18     14       4.4
 40500    40417  6609590   6.9000  59.3728 1979                 09     19     07       5.8
 40500    40417  6609590   6.9000  59.3728 1979                 10     19     15       4.6
 40500    40417  6609590   6.9000  59.3728 1980                 07     04     15       7.2
 40500    40417  6609590   6.9000  59.3728 1980                 07     06     17      19.5
 40500    40417  6609590   6.9000  59.3728 1980                 07     10     18       4.2
 40500    40417  6609590   6.9000  59.3728 1980                 07     13     21       5.0
 40500    40417  6609590   6.9000  59.3728 1980                 07     14     15       8.4
 40500    40417  6609590   6.9000  59.3728 1980                 08     05     06       5.2
 40500    40417  6609590   6.9000  59.3728 1980                 08     05     13       4.2
 40500    40417  6609590   6.9000  59.3728 1980                 08     20     20       5.4
 40500    40417  6609590   6.9000  59.3728 1980                 08     21     08       7.2
 40500    40417  6609590   6.9000  59.3728 1980                 09     02     15       5.2
 40500    40417  6609590   6.9000  59.3728 1981                 07     11     15       4.8
 40500    40417  6609590   6.9000  59.3728 1981                 07     11     16       3.2
 40500    40417  6609590   6.9000  59.3728 1981                 07     12     06       3.8
 40500    40417  6609590   6.9000  59.3728 1981                 07     12     07       4.0
 40500    40417  6609590   6.9000  59.3728 1981                 07     12     08       3.8
 40500    40417  6609590   6.9000  59.3728 1981                 07     12     09       3.6
 40500    40417  6609590   6.9000  59.3728 1981                 07     24     16       4.4
 40500    40417  6609590   6.9000  59.3728 1981                 07     29     09       3.6
 40500    40417  6609590   6.9000  59.3728 1981                 09     05     16       5.4
 40500    40417  6609590   6.9000  59.3728 1981                 09     05     18       6.8
 40500    40417  6609590   6.9000  59.3728 1982                 08     07     21       6.2
 40500    40417  6609590   6.9000  59.3728 1982                 08     10     10       5.8
 40500    40417  6609590   6.9000  59.3728 1982                 08     12     18       5.4
 40500    40417  6609590   6.9000  59.3728 1982                 08     25     09       6.6
 40500    40417  6609590   6.9000  59.3728 1982                 09     02     15       5.8
 40500    40417  6609590   6.9000  59.3728 1982                 09     08     15       5.4
 40500    40417  6609590   6.9000  59.3728 1982                 09     19     00       5.4
 40500    40417  6609590   6.9000  59.3728 1982                 09     19     05       7.0
 40500    40417  6609590   6.9000  59.3728 1982                 09     24     05       5.4
 40500    40417  6609590   6.9000  59.3728 1982                 09     30     06       6.2
 40500    40417  6609590   6.9000  59.3728 1983                 10     18     22       9.8
 40500    40417  6609590   6.9000  59.3728 1983                 10     18     23       9.4
 40500    40417  6609590   6.9000  59.3728 1983                 10     25     22       7.4
 40500    40417  6609590   6.9000  59.3728 1983                 10     30     13       8.8
 40500    40417  6609590   6.9000  59.3728 1983                 10     30     14       9.4
 40500    40417  6609590   6.9000  59.3728 1983                 10     30     15       8.4
 40500    40417  6609590   6.9000  59.3728 1983                 10     30     16       7.6
 40500    40417  6609590   6.9000  59.3728 1983                 11     01     09       7.4
 40500    40417  6609590   6.9000  59.3728 1983                 11     01     10       9.6
 40500    40417  6609590   6.9000  59.3728 1983                 11     01     11       7.6
 40500    40417  6609590   6.9000  59.3728 1984                 05     18     07       2.0
 40500    40417  6609590   6.9000  59.3728 1984                 05     29     02       4.4
 40500    40417  6609590   6.9000  59.3728 1984                 06     02     05       4.0
 40500    40417  6609590   6.9000  59.3728 1984                 06     05     16       7.6
 40500    40417  6609590   6.9000  59.3728 1984                 06     13     09       2.2
 40500    40417  6609590   6.9000  59.3728 1984                 06     21     05       2.4
 40500    40417  6609590   6.9000  59.3728 1984                 06     21     07       3.8
 40500    40417  6609590   6.9000  59.3728 1984                 06     28     21       3.0
 40500    40417  6609590   6.9000  59.3728 1984                 06     29     22       2.8
 40500    40417  6609590   6.9000  59.3728 1984                 07     10     14       2.6


