Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 13.8
1975 12.8
1976 18.4
1977 22
1978 NA
1979 NA
1980 15.5
1981 24
1982 NA
1983 NA
1984 15.4
1985 15.2
1986 13.6
1987 20.4
1988 NA
1989 17.4
1990 17.5
1991 21
1992 16.4
1993 14.8
1994 23.8
1995 15.2
1996 29
1997 24.8
1998 12.2
1999 12.2
2000 19.6
2001 16.2
2002 27.9
2003 15.4
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 14
2013 14
