Year pr
1970 NA
1971 NA
1972 NA
1973 5.2
1974 9.2
1975 14.4
1976 8.8
1977 10.4
1978 21.8
1979 14.8
1980 NA
1981 NA
1982 NA
1983 NA
1984 11.5
1985 23.6
1986 NA
1987 10.6
1988 15
1989 16
1990 12.6
1991 12.8
1992 23
1993 12.8
1994 14
1995 12
1996 11.6
1997 18.8
1998 14.4
1999 23
2000 16.6
2001 16.8
2002 12.8
2003 4.4
2004 15
2005 13.6
2006 32.3
2007 18.1
2008 NA
2009 NA
2010 NA
2011 NA
2012 9.5
2013 9.7
