60.8010 11.0977 6746937 287708
Year pr
1970 24.7
1971 NA
1972 15.4
1973 15.6
1974 23.2
1975 15.6
1976 17.4
1977 13.2
1978 10.4
1979 13.8
1980 12
1981 12.4
1982 10.6
1983 NA
1984 12.4
1985 13.6
1986 12.8
1987 8.4
1988 12.4
1989 7.8
1990 8.8
1991 13.2
1992 13
1993 NA
1994 11.4
1995 23.5
1996 18.6
1997 NA
1998 8.8
1999 13.2
2000 17.8
2001 19.8
2002 21.5
2003 12
2004 8.4
2005 NA
2006 13.8
2007 13.8
2008 13.8
2009 13.8
2010 13.8
2011 25.3
2012 16.9
2013 12.5
