Year pr
1970 16.4
1971 11.4
1972 9.4
1973 14.8
1974 23
1975 20.7
1976 12.2
1977 11.4
1978 10.9
1979 14.8
1980 41.9
1981 23.8
1982 16.6
1983 14.6
1984 24.4
1985 17.4
1986 19.8
1987 15.4
1988 39.7
1989 20.8
1990 20.2
1991 8.4
1992 30.8
1993 15.4
1994 13
1995 26.9
1996 16.6
1997 18.5
1998 12.4
1999 28.2
2000 28
2001 18
2002 16.8
2003 18.3
2004 16.5
2005 11.3
2006 16.4
2007 19.9
2008 29.8
2009 19.4
2010 16.8
2011 31.7
2012 11.2
2013 21.8
