Year pr
1970 18.4
1971 NA
1972 18.6
1973 19
1974 21.6
1975 14.2
1976 14.5
1977 15.8
1978 9.6
1979 11.2
1980 24.6
1981 14.5
1982 12
1983 20.2
1984 14.4
1985 17.4
1986 14.9
1987 13.4
1988 14
1989 13.4
1990 18.8
1991 12.2
1992 11.1
1993 15.2
1994 13.6
1995 26.5
1996 22
1997 23.5
1998 12.8
1999 26.8
2000 14.6
2001 23.5
2002 12.8
2003 11.4
2004 28.8
2005 17.2
2006 16.4
2007 11.6
2008 NA
2009 16.8
2010 NA
2011 NA
2012 NA
2013 NA
