59.8562 10.4345 6644211 244377
Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 NA
1975 NA
1976 NA
1977 NA
1978 NA
1979 NA
1980 NA
1981 NA
1982 NA
1983 28.6
1984 23.6
1985 19.6
1986 NA
1987 19.2
1988 19
1989 15.6
1990 22.4
1991 57.9
1992 16.2
1993 21.2
1994 25
1995 19.6
1996 21.2
1997 37.8
1998 15.2
1999 39.6
2000 25.2
2001 33.6
2002 27.2
2003 20
2004 42.2
2005 15.4
2006 25.2
2007 18.2
2008 NA
2009 NA
2010 NA
2011 NA
2012 16
2013 37.8
