Year pr
1970 26
1971 12.8
1972 10.2
1973 59.9
1974 14.6
1975 12.4
1976 16.8
1977 12.8
1978 9
1979 14
1980 14.2
1981 16.6
1982 NA
1983 15.8
1984 18.4
1985 19.9
1986 14
1987 16.4
1988 15
1989 NA
1990 16.8
1991 9.6
1992 17.4
1993 NA
1994 NA
1995 19.6
1996 13.2
1997 NA
1998 NA
1999 NA
2000 NA
2001 NA
2002 NA
2003 NA
2004 NA
2005 NA
2006 24.1
2007 57.2
2008 NA
2009 NA
2010 NA
2011 NA
2012 NA
2013 NA
