58.1505 8.0527 6466542 91520
Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 11.2
1975 27
1976 30
1977 23.2
1978 19.2
1979 33.6
1980 19.4
1981 22.2
1982 NA
1983 15.2
1984 44.7
1985 18.4
1986 24.6
1987 52
1988 NA
1989 NA
1990 30
1991 13.4
1992 21.6
1993 NA
1994 21.2
1995 12.8
1996 48.4
1997 26.8
1998 14.8
1999 20.2
2000 27.4
2001 41.2
2002 21.2
2003 20.4
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 34.5
2013 34.8
