59.6667 10.8 6621780 263485
Year pr
1970 NA
1971 NA
1972 NA
1973 NA
1974 25.1
1975 12.4
1976 11.4
1977 21.2
1978 12.8
1979 12.8
1980 12.5
1981 17.2
1982 15.4
1983 18.6
1984 29.4
1985 17.8
1986 13.4
1987 21.2
1988 17.2
1989 13.6
1990 16
1991 NA
1992 NA
1993 17.4
1994 11
1995 39.4
1996 12.4
1997 23.4
1998 17.2
1999 17.6
2000 15
2001 25.8
2002 45.8
2003 18.4
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 20.4
2013 16.9
