59.2693 5.2632 6610633 -53742
Year pr
1970 21.4
1971 19.6
1972 19.2
1973 17
1974 21
1975 22.2
1976 20.8
1977 11.6
1978 18.6
1979 20.2
1980 19.8
1981 18.6
1982 17.6
1983 13.2
1984 15.6
1985 16.8
1986 NA
1987 NA
1988 15.4
1989 45.1
1990 22
1991 24.6
1992 21.1
1993 15.2
1994 16.6
1995 14.6
1996 20.8
1997 36.2
1998 15.8
1999 14
2000 22
2001 19.2
2002 18
2003 14.6
2004 NA
2005 NA
2006 NA
2007 NA
2008 NA
2009 NA
2010 NA
2011 NA
2012 NA
2013 NA
