Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 260164 E, 6654412 N

Elevation of grid point: 150 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-7.7	66 
1967	2	-3.9	64 
1967	3	1.1	62 
1967	4	3	46 
1967	5	7.6	96 
1967	6	13.7	78 
1967	7	15	62 
1967	8	14.8	130 
1967	9	10.9	71 
1967	10	5.9	155 
1967	11	2.7	108 
1967	12	-4.4	84 
1968	1	-7.3	57 
1968	2	-5.8	59 
1968	3	-0.8	43 
1968	4	4.7	21 
1968	5	7.9	65 
1968	6	15.1	97 
1968	7	14.8	85 
1968	8	15.5	30 
1968	9	10.9	80 
1968	10	4.1	118 
1968	11	-2.8	65 
1968	12	-4.3	25 
1969	1	-4.3	114 
1969	2	-8.6	24 
1969	3	-4.7	6 
1969	4	3.1	67 
1969	5	8.9	58 
1969	6	16.3	35 
1969	7	15.8	80 
1969	8	17.4	46 
1969	9	10.7	75 
1969	10	6.3	31 
1969	11	-2.2	74 
1969	12	-5.1	47 
1970	1	-8.3	34 
1970	2	-11.4	24 
1970	3	-2.7	51 
1970	4	0.9	71 
1970	5	10.3	11 
1970	6	17.3	80 
1970	7	13.4	182 
1970	8	15	47 
1970	9	9.1	84 
1970	10	5.4	111 
1970	11	-1.5	207 
1970	12	-2	29 
1971	1	-3.1	84 
1971	2	-1.6	61 
1971	3	-3.5	86 
1971	4	3.2	29 
1971	5	9.9	62 
1971	6	13.3	53 
1971	7	15.9	83 
1971	8	13.7	56 
1971	9	9.7	45 
1971	10	5.7	49 
1971	11	-1.5	94 
1971	12	0.2	42 
1972	1	-6.9	37 
1972	2	-4.2	44 
1972	3	-1.3	55 
1972	4	3.5	70 
1972	5	10	70 
1972	6	13	122 
1972	7	17.2	86 
1972	8	13.6	134 
1972	9	8.7	37 
1972	10	5.4	30 
1972	11	0.6	15 
1972	12	0.8	76 
1973	1	-0.7	47 
1973	2	-1.8	66 
1973	3	1.9	16 
1973	4	2.3	67 
1973	5	9	71 
1973	6	14.5	45 
1973	7	17.3	120 
1973	8	13.6	64 
1973	9	8.7	74 
1973	10	2.5	13 
1973	11	-1.6	42 
1973	12	-3.8	76 
1974	1	-1	107 
1974	2	-0.9	61 
1974	3	0.1	33 
1974	4	6.3	0 
1974	5	10.4	32 
1974	6	14	67 
1974	7	14.3	134 
1974	8	14.1	64 
1974	9	10.5	202 
1974	10	3.6	91 
1974	11	0.6	131 
1974	12	-1.5	58 
1975	1	-0.8	144 
1975	2	-3.7	20 
1975	3	-0.8	42 
1975	4	2.7	35 
1975	5	10.2	40 
1975	6	13	32 
1975	7	17.1	66 
1975	8	17.2	75 
1975	9	10.6	118 
1975	10	5.9	72 
1975	11	2	96 
1975	12	0	33 
1976	1	-5.2	35 
1976	2	-3.3	57 
1976	3	-2.9	8 
1976	4	3.6	25 
1976	5	10.4	50 
1976	6	14.7	22 
1976	7	17.5	35 
1976	8	16.9	12 
1976	9	8.6	48 
1976	10	4	212 
1976	11	0.2	107 
1976	12	-5	63 
1977	1	-5.1	85 
1977	2	-7.2	33 
1977	3	-0.3	60 
1977	4	1	97 
1977	5	10.3	26 
1977	6	14.5	93 
1977	7	15.5	77 
1977	8	14.6	43 
1977	9	8.9	58 
1977	10	6.2	75 
1977	11	1.2	106 
1977	12	-2.1	63 
1978	1	-3.1	84 
1978	2	-8.1	47 
1978	3	-2.4	115 
1978	4	2.9	26 
1978	5	10.3	20 
1978	6	15.3	36 
1978	7	14.3	154 
1978	8	14.2	97 
1978	9	8	88 
1978	10	5.5	27 
1978	11	3.3	35 
1978	12	-8.5	32 
1979	1	-8.8	18 
1979	2	-7.3	21 
1979	3	-1.8	131 
1979	4	2.9	92 
1979	5	7.3	71 
1979	6	15.3	45 
1979	7	14.7	98 
1979	8	13.1	126 
1979	9	9.3	88 
1979	10	3.8	79 
1979	11	-0.9	127 
1979	12	-4	72 
1980	1	-7	27 
1980	2	-8.1	29 
1980	3	-3.6	37 
1980	4	4.3	6 
1980	5	11.2	63 
1980	6	15.2	132 
1980	7	16.4	79 
1980	8	14.4	130 
1980	9	10.7	100 
1980	10	3.6	136 
1980	11	-2.5	45 
1980	12	-2.3	64 
1981	1	-4.8	21 
1981	2	-4.6	28 
1981	3	-3.5	73 
1981	4	3.9	11 
1981	5	11	70 
1981	6	12	92 
1981	7	15.2	117 
1981	8	14.3	10 
1981	9	11.1	78 
1981	10	4.3	102 
1981	11	-0.3	137 
1981	12	-9.1	45 
1982	1	-8.2	28 
1982	2	-4.3	30 
1982	3	0.4	113 
1982	4	4.1	43 
1982	5	8.6	81 
1982	6	13.2	38 
1982	7	16.9	35 
1982	8	15.5	87 
1982	9	10.6	134 
1982	10	5.4	82 
1982	11	1.9	151 
1982	12	-2.3	118 
1983	1	-0.1	33 
1983	2	-5	19 
1983	3	0.2	48 
1983	4	4.3	60 
1983	5	9.7	125 
1983	6	13.5	36 
1983	7	17	48 
1983	8	15.7	29 
1983	9	10.5	180 
1983	10	5.6	115 
1983	11	0.7	21 
1983	12	-2.3	53 
1984	1	-5.6	96 
1984	2	-3.7	33 
1984	3	-2.5	28 
1984	4	4.5	32 
1984	5	11.6	58 
1984	6	13.9	108 
1984	7	15.3	86 
1984	8	15.4	91 
1984	9	8.8	109 
1984	10	6.7	173 
1984	11	1.8	73 
1984	12	0	114 
1985	1	-9.2	48 
1985	2	-9.6	41 
1985	3	-1.8	84 
1985	4	1.5	85 
1985	5	10.6	39 
1985	6	13.6	102 
1985	7	15.4	138 
1985	8	13.7	185 
1985	9	7.9	125 
1985	10	6.9	38 
1985	11	-2	56 
1985	12	-6.4	80 
1986	1	-7.6	79 
1986	2	-7.9	2 
1986	3	-0.7	70 
1986	4	1.5	31 
1986	5	10.2	81 
1986	6	15.5	39 
1986	7	15.7	59 
1986	8	12.1	156 
1986	9	7.2	30 
1986	10	5.5	103 
1986	11	3	94 
1986	12	-2.3	130 
1987	1	-10.9	18 
1987	2	-4.6	33 
1987	3	-5.2	97 
1987	4	4.1	25 
1987	5	8.5	52 
1987	6	11	139 
1987	7	15.8	44 
1987	8	12.2	92 
1987	9	8.6	138 
1987	10	6.7	227 
1987	11	0.3	128 
1987	12	-2.6	25 
1988	1	-0.2	174 
