Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 191593 E, 6573765 N

Elevation of grid point: 10 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-9	76 
1967	2	-4.3	106 
1967	3	2.1	67 
1967	4	3.7	77 
1967	5	8.2	132 
1967	6	13.9	60 
1967	7	15.5	31 
1967	8	14.7	117 
1967	9	10.7	114 
1967	10	6.3	232 
1967	11	3.4	218 
1967	12	-4.1	97 
1968	1	-8.6	62 
1968	2	-7.3	65 
1968	3	-0.3	39 
1968	4	4.6	34 
1968	5	8.6	66 
1968	6	15.2	150 
1968	7	15.1	35 
1968	8	15.1	30 
1968	9	11.2	242 
1968	10	4.9	164 
1968	11	-2.1	63 
1968	12	-4.9	25 
1969	1	-3.5	162 
1969	2	-8.5	43 
1969	3	-5.9	5 
1969	4	3.2	80 
1969	5	9	57 
1969	6	16	72 
1969	7	16.2	76 
1969	8	16.5	105 
1969	9	11.3	73 
1969	10	6.7	31 
1969	11	-1.7	94 
1969	12	-5.1	63 
1970	1	-8.7	44 
1970	2	-12.8	42 
1970	3	-2.9	41 
1970	4	1.1	60 
1970	5	10.3	13 
1970	6	17.3	55 
1970	7	14.1	138 
1970	8	15	87 
1970	9	9.3	152 
1970	10	5.4	143 
1970	11	-0.9	275 
1970	12	-2.2	23 
1971	1	-3.3	70 
1971	2	-0.8	69 
1971	3	-2.7	44 
1971	4	3.6	25 
1971	5	9.9	51 
1971	6	13.7	56 
1971	7	16.5	71 
1971	8	14.1	69 
1971	9	10.3	24 
1971	10	5.8	43 
1971	11	-0.6	88 
1971	12	1	60 
1972	1	-6.6	33 
1972	2	-3.9	46 
1972	3	-1.2	105 
1972	4	4	91 
1972	5	10.3	63 
1972	6	13.2	95 
1972	7	17.2	80 
1972	8	14.1	147 
1972	9	9	71 
1972	10	5.8	25 
1972	11	0.8	14 
1972	12	1.6	96 
1973	1	-0.9	47 
1973	2	-0.9	26 
1973	3	2.4	27 
1973	4	3.7	33 
1973	5	9.3	82 
1973	6	14.5	63 
1973	7	17.6	105 
1973	8	13.9	63 
1973	9	9.8	113 
1973	10	2.7	8 
1973	11	-1	69 
1973	12	-3.3	84 
1974	1	-0.1	151 
1974	2	-0.3	57 
1974	3	0.1	53 
1974	4	6	0 
1974	5	10.2	25 
1974	6	14.4	47 
1974	7	14.7	100 
1974	8	14.4	58 
1974	9	11.2	278 
1974	10	5	128 
1974	11	1.7	143 
1974	12	-0.9	54 
1975	1	0.3	166 
1975	2	-4.1	29 
1975	3	-0.4	32 
1975	4	3.2	25 
1975	5	10	33 
1975	6	13.6	22 
1975	7	17.2	32 
1975	8	17.9	55 
1975	9	11.3	147 
1975	10	6.4	67 
1975	11	2.5	118 
1975	12	1.5	51 
1976	1	-4.5	32 
1976	2	-3.3	51 
1976	3	-2.2	11 
1976	4	4.4	19 
1976	5	9.9	62 
1976	6	14.9	35 
1976	7	17.7	43 
1976	8	16.3	5 
1976	9	9	57 
