Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 641289 E, 7664878 N

Elevation of grid point: 36 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-13.3	71 
1967	2	-9.8	28 
1967	3	-2.7	45 
1967	4	-1.2	24 
1967	5	5.4	6 
1967	6	9.3	71 
1967	7	11.4	112 
1967	8	11.3	73 
1967	9	8.6	60 
1967	10	-1	51 
1967	11	-0.5	46 
1967	12	-14.4	67 
1968	1	-17.3	37 
1968	2	-10.7	155 
1968	3	-6.2	74 
1968	4	-1.1	69 
1968	5	2.2	23 
1968	6	9.2	66 
1968	7	10.2	78 
1968	8	9	72 
1968	9	4.3	19 
1968	10	-4.7	49 
1968	11	-2.4	64 
1968	12	-2.6	58 
1969	1	-12.1	20 
1969	2	-12	6 
1969	3	-6.1	39 
1969	4	-1.8	36 
1969	5	4	14 
1969	6	11.4	40 
1969	7	13.6	74 
1969	8	13.2	44 
1969	9	5.4	60 
1969	10	2.2	127 
1969	11	-7.6	76 
1969	12	-8.6	51 
1970	1	-11.3	40 
1970	2	-16.7	68 
1970	3	-6.5	7 
1970	4	-3.4	20 
1970	5	5.3	13 
1970	6	12.1	52 
1970	7	14	70 
1970	8	11.8	58 
1970	9	5.2	56 
1970	10	2	51 
1970	11	-8.3	91 
1970	12	-5.7	106 
1971	1	-8.3	130 
1971	2	-11.1	69 
1971	3	-12.5	72 
1971	4	-2.2	35 
1971	5	3.3	21 
1971	6	11.9	11 
1971	7	11	65 
1971	8	11.1	142 
1971	9	5.5	65 
1971	10	-0.1	87 
1971	11	-8.3	92 
1971	12	-3.8	106 
1972	1	-5.6	16 
1972	2	-8.5	41 
1972	3	-5.5	81 
1972	4	-1.2	44 
1972	5	5.3	11 
1972	6	13.6	51 
1972	7	15.2	96 
1972	8	11.5	70 
1972	9	5.5	152 
1972	10	0.8	118 
1972	11	-5.1	83 
1972	12	-1.4	84 
1973	1	-4.6	111 
1973	2	-8.9	60 
1973	3	-5.3	113 
1973	4	-2.3	50 
1973	5	4.5	27 
1973	6	11	54 
1973	7	15.5	68 
1973	8	9.6	125 
1973	9	3.2	40 
1973	10	-3.3	83 
1973	11	-8.6	87 
1973	12	-12.1	74 
1974	1	-7.1	73 
1974	2	-7.7	59 
1974	3	-2.9	18 
1974	4	0.8	82 
1974	5	5.7	28 
1974	6	11.8	41 
1974	7	13.8	74 
1974	8	11.1	59 
1974	9	6.9	89 
1974	10	-1.4	16 
1974	11	-6.6	20 
1974	12	-6.7	32 
1975	1	-9.9	74 
1975	2	-3.1	149 
1975	3	-2.4	37 
1975	4	-1.9	28 
1975	5	4.9	57 
1975	6	6.9	72 
1975	7	9.9	63 
1975	8	8.9	90 
1975	9	6.1	115 
1975	10	1.6	145 
1975	11	-2.8	78 
1975	12	-8.2	179 
1976	1	-16.7	61 
1976	2	-6	58 
1976	3	-7.1	34 
1976	4	-1.7	63 
1976	5	6	20 
1976	6	9.5	18 
1976	7	11.7	59 
1976	8	10.8	60 
1976	9	3.1	100 
1976	10	-2.9	45 
1976	11	-6.9	82 
1976	12	-12.6	15 
1977	1	-11.8	40 
1977	2	-13	28 
1977	3	-5.6	127 
1977	4	-4.5	16 
1977	5	3	32 
1977	6	7.5	53 
1977	7	12.7	42 
1977	8	11.1	56 
1977	9	4.4	54 
1977	10	0.4	104 
1977	11	-4.8	51 
1977	12	-6.2	94 
1978	1	-13	82 
1978	2	-12	111 
1978	3	-10.4	37 
1978	4	-1.7	29 
1978	5	5	30 
1978	6	11.3	18 
1978	7	14.4	21 
1978	8	10.6	67 
1978	9	4.2	46 
1978	10	-1.5	128 
1978	11	-3.8	146 
1978	12	-14.8	96 
1979	1	-13	60 
1979	2	-10.4	58 
1979	3	-7.3	7 
1979	4	-1.4	20 
1979	5	4.5	48 
1979	6	10.8	48 
1979	7	14.7	20 
1979	8	11.7	79 
1979	9	5.7	92 
1979	10	-0.8	90 
1979	11	-6.2	43 
1979	12	-7.1	62 
1980	1	-10.8	96 
1980	2	-11.8	33 
1980	3	-8	9 
1980	4	1	39 
1980	5	5.5	31 
1980	6	12.6	63 
1980	7	14.4	15 
1980	8	12	31 
1980	9	5.7	68 
1980	10	-2	86 
1980	11	-8.5	75 
1980	12	-13.3	88 
1981	1	-12.5	174 
1981	2	-10.9	40 
1981	3	-12.6	69 
1981	4	-0.8	85 
1981	5	5.3	20 
1981	6	6.4	28 
1981	7	11.9	117 
1981	8	9.8	75 
1981	9	4.6	35 
1981	10	-0.7	57 
1981	11	-8.9	41 
1981	12	-14.6	31 
1982	1	-10.9	143 
1982	2	-4	73 
1982	3	-4.8	56 
1982	4	-0.7	66 
1982	5	4.4	38 
1982	6	6.1	51 
1982	7	12.8	52 
1982	8	10.2	75 
1982	9	3.6	124 
1982	10	0.6	62 
1982	11	-4.5	46 
1982	12	-6.8	88 
1983	1	-8.6	84 
1983	2	-8.4	121 
1983	3	-8	51 
1983	4	-0.1	6 
1983	5	6.9	39 
1983	6	9	60 
1983	7	12.2	74 
1983	8	8.6	154 
1983	9	7.1	57 
1983	10	-0.6	116 
1983	11	-8.2	204 
1983	12	-11.9	120 
1984	1	-12.8	36 
1984	2	-5.8	38 
1984	3	-7.7	30 
1984	4	0.5	39 
1984	5	8.4	24 
1984	6	11.1	73 
1984	7	10.4	97 
1984	8	10.3	118 
1984	9	3.8	51 
1984	10	-0.2	32 
1984	11	-5.6	35 
1984	12	-3.9	16 
1985	1	-10.3	128 
1985	2	-17.7	31 
1985	3	-6	17 
1985	4	-4.3	30 
1985	5	3.4	23 
1985	6	9.5	26 
1985	7	14.3	50 
1985	8	11.7	79 
1985	9	5.2	139 
1985	10	2.2	228 
1985	11	-6.6	44 
1985	12	-13.6	56 
1986	1	-15.2	16 
1986	2	-8.7	76 
1986	3	-2	38 
1986	4	-2.3	37 
1986	5	7	27 
1986	6	11.3	49 
1986	7	12.3	36 
1986	8	9.2	36 
1986	9	3	46 
1986	10	1.8	94 
1986	11	-3	78 
1986	12	-14.2	49 
1987	1	-13.2	51 
1987	2	-10.7	87 
1987	3	-10	5 
1987	4	-1.2	31 
1987	5	3.8	35 
1987	6	9.3	19 
1987	7	10.3	33 
1987	8	8.8	47 
1987	9	5.3	15 
1987	10	5.5	60 
1987	11	-6.6	83 
1987	12	-9.9	154 
1988	1	-11.5	47 
1988	2	-12.3	8 
1988	3	-10.2	14 
1988	4	-4.2	76 
1988	5	4.1	17 
1988	6	9.9	21 
1988	7	14.4	85 
1988	8	10.6	28 
1988	9	6.3	111 
1988	10	1.2	73 
1988	11	-5.5	174 
1988	12	-8.9	71 
1989	1	-4.4	126 
1989	2	-6.5	96 
1989	3	-3.7	19 
1989	4	1.5	18 
1989	5	5.1	55 
1989	6	10.6	20 
1989	7	11.1	85 
1989	8	11.7	41 
1989	9	6.6	87 
1989	10	-0.7	50 
1989	11	-3.6	49 
1989	12	-8.9	163 
1990	1	-7.3	35 
1990	2	-2.6	81 
1990	3	-4.9	87 
1990	4	0.5	44 
1990	5	3.7	66 
1990	6	11.3	41 
1990	7	13.6	52 
1990	8	12.5	106 
1990	9	5.8	29 
1990	10	2.5	107 
1990	11	-6	86 
1990	12	-1.3	116 
1991	1	-5.3	98 
1991	2	-10.1	9 
1991	3	-6.3	60 
1991	4	0.4	17 
1991	5	4.4	38 
1991	6	11.4	30 
1991	7	12.8	47 
1991	8	11.9	115 
1991	9	4.3	98 
1991	10	2.4	101 
1991	11	-3.5	91 
1991	12	-2.2	147 
1992	1	-4	136 
1992	2	-3.4	60 
1992	3	-1.7	42 
1992	4	-2.4	21 
1992	5	5.9	67 
1992	6	12.2	31 
1992	7	11.1	90 
1992	8	10	39 
1992	9	7.3	55 
1992	10	-5.5	62 
1992	11	-7	22 
1992	12	-2	147 
1993	1	-4.1	75 
1993	2	-4.1	138 
1993	3	-4.2	111 
1993	4	-1.5	21 
1993	5	4.9	59 
1993	6	7.9	18 
1993	7	14.9	104 
1993	8	11.7	74 
1993	9	4.1	44 
1993	10	-1.7	114 
1993	11	-2	22 
1993	12	-10	34 
1994	1	-13.5	51 
1994	2	-8.4	54 
1994	3	-5.1	33 
1994	4	2.1	26 
1994	5	4.3	31 
1994	6	9.5	35 
1994	7	12.5	65 
1994	8	11.9	66 
1994	9	5.4	61 
1994	10	1.3	130 
1994	11	-4.2	102 
1994	12	-3.2	100 
1995	1	-6.7	48 
1995	2	-7.9	66 
1995	3	-3.7	97 
1995	4	-1	17 
1995	5	4.2	43 
1995	6	10.7	36 
1995	7	11.2	54 
1995	8	10.8	128 
1995	9	6.5	34 
1995	10	0.5	138 
1995	11	-6.2	114 
1995	12	-9.3	112 
1996	1	-4.6	50 
1996	2	-12.7	45 
1996	3	-4.1	21 
1996	4	-1.5	55 
1996	5	3.1	13 
1996	6	9.9	86 
1996	7	12.6	21 
1996	8	13	93 
1996	9	5.8	54 
1996	10	2.9	110 
1996	11	-6.9	43 
1996	12	-10.9	55 
1997	1	-5.5	195 
1997	2	-9	57 
1997	3	-5.8	83 
1997	4	-4.1	74 
1997	5	4.1	40 
1997	6	11.7	4 
1997	7	14.9	63 
1997	8	13	53 
1997	9	8.4	101 
1997	10	-0.6	92 
1997	11	-5.3	42 
1997	12	-4.4	43 
1998	1	-7.5	98 
1998	2	-9.7	111 
1998	3	-7.5	17 
1998	4	-1.6	12 
1998	5	4.5	33 
1998	6	10.5	41 
1998	7	15.6	35 
1998	8	12	65 
1998	9	6.5	74 
1998	10	1.1	58 
1998	11	-7.3	18 
1998	12	-5.9	70 
1999	1	-10	50 
1999	2	-9.1	39 
1999	3	-5.4	32 
1999	4	0.4	68 
1999	5	4.8	25 
1999	6	11.7	58 
1999	7	12.2	156 
1999	8	9	85 
1999	9	8.2	88 
1999	10	2.7	71 
1999	11	1.3	147 
1999	12	-11.4	60 
2000	1	-5.1	185 
2000	2	-7.3	131 
2000	3	-5.3	179 
2000	4	-1.8	83 
2000	5	5.9	53 
2000	6	9.3	70 
2000	7	13.2	48 
2000	8	11	108 
2000	9	7.1	96 
2000	10	4.4	39 
2000	11	-3	8 
2000	12	-7.7	75 
2001	1	-6.8	68 
2001	2	-10.8	93 
2001	3	-11.1	16 
2001	4	-1.9	42 
2001	5	5	56 
2001	6	11.7	30 
2001	7	12.4	98 
2001	8	11.9	111 
2001	9	8.5	54 
2001	10	1.4	89 
2001	11	-3.8	124 
2001	12	-7.9	63 
2002	1	-8.7	178 
2002	2	-7.4	75 
2002	3	-5.4	35 
2002	4	2.5	24 
2002	5	8.1	40 
2002	6	13.1	20 
2002	7	14.3	62 
2002	8	13	63 
2002	9	5.9	134 
2002	10	-3.4	34 
2002	11	-9.6	19 
2002	12	-10.9	70 
2003	1	-15.7	85 
2003	2	-2.6	65 
2003	3	-2.1	160 
2003	4	0.1	30 
2003	5	6.1	52 
2003	6	10.3	45 
2003	7	15.5	83 
2003	8	12.3	49 
2003	9	6.1	163 
2003	10	-0.8	103 
2003	11	-2.8	29 
2003	12	-7.7	135 
2004	1	-13	19 
2004	2	-7.9	68 
2004	3	-4	21 
2004	4	2	13 
2004	5	6.3	18 
2004	6	9.2	58 
2004	7	15.2	137 
2004	8	12.3	60 
2004	9	7.2	140 
2004	10	0.3	45 
2004	11	-4.9	156 
2004	12	-3.7	89 
2005	1	-6.5	89 
2005	2	-6.1	55 
2005	3	-7.5	37 
2005	4	2.1	34 
2005	5	4.5	59 
2005	6	11	75 
2005	7	14.8	40 
2005	8	11.8	132 
2005	9	6.4	119 
2005	10	3.3	138 
2005	11	-1.5	62 
2005	12	-10.1	70 
2006	1	-3.6	86 
2006	2	-6.8	96 
2006	3	-10	30 
2006	4	1.5	6 
2006	5	7.8	21 
2006	6	10.4	64 
2006	7	12.6	74 
2006	8	12.9	46 
2006	9	7.9	123 
2006	10	-0.3	113 
2006	11	-4.1	51 
2006	12	-2.1	143 
2007	1	-9.8	94 
2007	2	-14.1	50 
2007	3	-1.6	44 
2007	4	1.2	93 
2007	5	6.1	60 
2007	6	11.2	38 
2007	7	15.3	52 
2007	8	12.4	105 
2007	9	5.7	82 
2007	10	4.7	85 
2007	11	-3.3	76 
2007	12	-2	89 
2008	1	-7.2	32 
2008	2	-4.2	81 
2008	3	-8.4	15 
2008	4	-0.3	36 
2008	5	5.1	46 
2008	6	10.5	65 
2008	7	12	52 
2008	8	10.6	21 
2008	9	6.5	89 
2008	10	1.7	49 
2008	11	-5.1	63 
2008	12	-5.8	90 
2009	1	-7.4	105 
2009	2	-9	34 
2009	3	-5.8	32 
2009	4	0	44 
2009	5	8.2	62 
2009	6	9.7	43 
2009	7	13.9	37 
2009	8	14	96 
2009	9	8.2	152 
2009	10	-0.5	77 
2009	11	-4.4	6 
2009	12	-10.8	22 
2010	1	-8.7	47 
2010	2	-12.8	70 
2010	3	-8.4	102 
2010	4	0.9	43 
2010	5	7.3	31 
2010	6	8.1	110 
2010	7	13.3	105 
2010	8	11	50 
2010	9	7.8	47 
2010	10	2.1	121 
2010	11	-8.7	33 
2010	12	-8.5	41 
2011	1	-9.9	73 
2011	2	-10	53 
2011	3	-3	152 
2011	4	3	63 
2011	5	6.9	34 
2011	6	13.3	34 
2011	7	13.2	62 
2011	8	13.1	51 
2011	9	10.4	45 
2011	10	4.4	121 
2011	11	1.8	128 
2011	12	-4.5	52 
2012	1	-10.6	15 
2012	2	-8.4	72 
2012	3	-1.9	137 
2012	4	-1.3	36 
2012	5	4.7	77 
2012	6	9.3	40 
2012	7	11.8	112 
2012	8	10.9	34 
2012	9	6.5	71 
2012	10	0.3	115 
2012	11	-3.2	65 
2012	12	-12.1	8 
2013	1	-6.6	121 
2013	2	-9.7	63 
2013	3	-6.9	72 
2013	4	0	47 
2013	5	9.6	11 
2013	6	13.4	76 
2013	7	13.3	113 
2013	8	12.9	75 
2013	9	9.7	32 
2013	10	1.1	79 
2013	11	-3.7	118 
2013	12	-5.9	114 
2014	1	-15.2	1 
2014	2	-4.6	18 
2014	3	-2.9	145 
2014	4	0.8	99 
2014	5	5.1	17 
2014	6	9.9	49 
2014	7	17.7	25 
2014	8	12.8	54 
2014	9	7.4	75 
2014	10	1.9	36 
