Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 231900 E, 6623928 N

Elevation of grid point: 80 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-8.5	95 
1967	2	-4.2	119 
1967	3	2	55 
1967	4	3.8	70 
1967	5	8.2	115 
1967	6	14.3	46 
1967	7	16.1	29 
1967	8	15.1	146 
1967	9	10.9	103 
1967	10	6.4	219 
1967	11	3.1	182 
1967	12	-4.1	101 
1968	1	-8.6	72 
1968	2	-7.4	99 
1968	3	-0.2	39 
1968	4	5.1	40 
1968	5	8.8	76 
1968	6	15.6	122 
1968	7	15.7	70 
1968	8	15.6	29 
1968	9	11.5	168 
1968	10	4.9	131 
1968	11	-3.4	74 
1968	12	-5.2	42 
1969	1	-3.6	201 
1969	2	-8.8	41 
1969	3	-5.3	4 
1969	4	3.6	109 
1969	5	9	72 
1969	6	16.4	32 
1969	7	16.8	78 
1969	8	17.1	72 
1969	9	11.2	73 
1969	10	6.8	33 
1969	11	-2.1	97 
1969	12	-5.5	38 
1970	1	-8.9	55 
1970	2	-12.9	50 
1970	3	-2.4	47 
1970	4	1.6	78 
1970	5	10.8	10 
1970	6	17.5	62 
1970	7	14.5	158 
1970	8	15.3	72 
1970	9	9.7	93 
1970	10	6	141 
1970	11	-1.7	279 
1970	12	-2.3	38 
1971	1	-3.4	77 
1971	2	-0.3	64 
1971	3	-2.7	65 
1971	4	3.9	35 
1971	5	10.5	65 
1971	6	13.6	69 
1971	7	16.4	119 
1971	8	14.2	66 
1971	9	10.5	26 
1971	10	6.1	44 
1971	11	-0.8	102 
1971	12	0.7	53 
1972	1	-7	41 
1972	2	-4.2	59 
1972	3	-1.2	114 
1972	4	4.1	88 
1972	5	10.4	66 
1972	6	13.1	126 
1972	7	17.8	87 
1972	8	13.9	113 
1972	9	9.2	71 
1972	10	5.8	19 
1972	11	1	12 
1972	12	0.9	79 
1973	1	-0.4	47 
1973	2	-0.6	40 
1973	3	2.7	20 
1973	4	3.5	58 
1973	5	9.7	93 
1973	6	14.9	40 
1973	7	17.8	75 
1973	8	14.3	78 
1973	9	9.8	129 
1973	10	2.8	10 
1973	11	-1.5	71 
1973	12	-3.6	77 
1974	1	-0.2	123 
1974	2	-0.3	54 
1974	3	-0.1	46 
1974	4	6.2	0 
1974	5	10.6	38 
1974	6	14.3	48 
1974	7	15	86 
1974	8	14.7	39 
1974	9	11	227 
1974	10	4.8	159 
1974	11	1.1	183 
1974	12	-1.6	63 
1975	1	0.1	175 
1975	2	-5.2	21 
1975	3	-0.3	40 
1975	4	3.4	31 
1975	5	10.4	34 
1975	6	13.7	29 
1975	7	17.8	35 
1975	8	18.1	116 
1975	9	11.3	139 
1975	10	6.2	85 
1975	11	2.3	84 
1975	12	0.9	47 
1976	1	-5.3	28 
1976	2	-3.8	66 
1976	3	-2	7 
1976	4	4.6	19 
1976	5	10.4	66 
1976	6	15.1	26 
1976	7	18.1	26 
1976	8	16.7	16 
1976	9	9	86 
1976	10	4.5	317 
1976	11	0.5	140 
1976	12	-5.4	79 
1977	1	-5.1	129 
1977	2	-8	96 
1977	3	-0.6	91 
1977	4	1.6	101 
1977	5	10.6	32 
1977	6	14.9	116 
1977	7	15.9	76 
1977	8	14.8	57 
1977	9	8.9	76 
1977	10	6.4	83 
1977	11	1.3	138 
1977	12	-2.6	91 
1978	1	-3.2	94 
1978	2	-8.3	64 
1978	3	-2.5	122 
1978	4	2.8	27 
1978	5	10.3	30 
1978	6	15.7	47 
1978	7	14.7	184 
1978	8	14.5	107 
1978	9	8.5	93 
1978	10	5.5	43 
1978	11	3.9	31 
1978	12	-8.7	32 
1979	1	-9.5	21 
1979	2	-8.3	14 
1979	3	-1.3	145 
1979	4	3.4	100 
1979	5	7.9	88 
1979	6	15.6	64 
1979	7	15.3	71 
1979	8	13.5	110 
1979	9	10.2	44 
1979	10	4	100 
1979	11	-0.9	140 
1979	12	-4.2	60 
1980	1	-8	36 
1980	2	-9.7	26 
1980	3	-3.7	40 
1980	4	4.2	9 
1980	5	11.6	113 
1980	6	15.4	105 
1980	7	16.4	48 
1980	8	14.7	69 
1980	9	10.9	75 
1980	10	4	150 
1980	11	-2.7	33 
1980	12	-2.4	58 
1981	1	-4.9	17 
1981	2	-4.4	20 
1981	3	-3	80 
1981	4	4	3 
1981	5	11.2	96 
1981	6	13	94 
1981	7	15.8	98 
1981	8	14.8	13 
1981	9	11.7	100 
1981	10	4.7	115 
1981	11	0.1	141 
1981	12	-10.1	76 
1982	1	-9	34 
1982	2	-5	33 
1982	3	0.7	129 
1982	4	4.8	28 
1982	5	9.3	112 
1982	6	14	34 
1982	7	17.3	42 
1982	8	15.9	86 
1982	9	11.4	145 
1982	10	5.9	148 
1982	11	1.8	161 
1982	12	-2.7	134 
1983	1	0.7	28 
1983	2	-6	26 
1983	3	1	78 
1983	4	4.6	66 
1983	5	9.7	148 
1983	6	13.9	36 
1983	7	17.7	34 
1983	8	16.1	21 
1983	9	11	229 
1983	10	6.3	114 
1983	11	1	23 
1983	12	-1.5	54 
1984	1	-5.9	131 
1984	2	-4.1	50 
1984	3	-2.4	37 
1984	4	4.4	38 
1984	5	11.7	79 
1984	6	14.7	137 
1984	7	16.1	73 
1984	8	16	57 
1984	9	9.6	116 
1984	10	6.9	202 
1984	11	2.9	138 
1984	12	0.7	89 
1985	1	-9.5	60 
1985	2	-10.9	36 
1985	3	-1	117 
1985	4	2.1	91 
1985	5	10.8	34 
1985	6	14.2	72 
1985	7	15.9	105 
1985	8	14.2	178 
1985	9	8.4	143 
1985	10	6.4	33 
1985	11	-1.7	82 
1985	12	-7.9	117 
1986	1	-9.7	114 
1986	2	-9.8	3 
1986	3	-0.4	82 
1986	4	2.3	37 
1986	5	10.5	96 
1986	6	15.7	61 
1986	7	16.5	38 
1986	8	12.9	260 
1986	9	8.3	22 
1986	10	5.8	125 
1986	11	3.6	99 
1986	12	-1.3	155 
1987	1	-13.3	40 
1987	2	-5.6	51 
1987	3	-6.1	132 
1987	4	3.8	39 
1987	5	9.1	56 
1987	6	11.6	126 
1987	7	16.5	76 
1987	8	12.8	104 
1987	9	8.6	97 
1987	10	7.1	259 
1987	11	0.5	97 
1987	12	-3.3	26 
