Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 264085 E, 6748310 N

Elevation of grid point: 123 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-11.6	64 
1967	2	-7.7	51 
1967	3	-0.4	48 
1967	4	2	33 
1967	5	6.2	95 
1967	6	12.3	89 
1967	7	14.2	64 
1967	8	13.6	96 
1967	9	9	91 
1967	10	4.8	160 
1967	11	1.2	102 
1967	12	-6.2	94 
1968	1	-12.2	42 
1968	2	-11.5	52 
1968	3	-4	51 
1968	4	1.7	33 
1968	5	6.6	73 
1968	6	14.9	111 
1968	7	14.3	84 
1968	8	14.5	18 
1968	9	9.8	86 
1968	10	2.8	103 
1968	11	-6.5	63 
1968	12	-7.4	26 
1969	1	-6.4	135 
1969	2	-13.2	33 
1969	3	-11.3	17 
1969	4	1.6	74 
1969	5	7.7	60 
1969	6	15.2	12 
1969	7	15.2	74 
1969	8	16.4	76 
1969	9	9.3	80 
1969	10	4.8	19 
1969	11	-5.3	87 
1969	12	-8.7	30 
1970	1	-13.6	49 
1970	2	-18.1	26 
1970	3	-6.2	51 
1970	4	-0.7	57 
1970	5	8.2	22 
1970	6	16.1	61 
1970	7	12.9	151 
1970	8	13.8	64 
1970	9	7.8	66 
1970	10	4.3	98 
1970	11	-3.7	140 
1970	12	-5.3	18 
1971	1	-5.5	57 
1971	2	-3.7	53 
1971	3	-6.4	65 
1971	4	1.5	44 
1971	5	8	87 
1971	6	11.9	65 
1971	7	14.6	129 
1971	8	13.1	22 
1971	9	8.2	92 
1971	10	3.8	52 
1971	11	-3	64 
1971	12	-3.2	35 
1972	1	-10.6	29 
1972	2	-8	44 
1972	3	-4.2	81 
1972	4	1.7	64 
1972	5	8.5	65 
1972	6	12.1	160 
1972	7	16.7	51 
1972	8	12.7	139 
1972	9	7.6	31 
1972	10	3.8	18 
1972	11	-0.8	27 
1972	12	-1.3	57 
1973	1	-1.6	30 
1973	2	-4	38 
1973	3	0	9 
1973	4	1.5	42 
1973	5	8.2	64 
1973	6	13.6	61 
1973	7	16.6	180 
1973	8	12.6	70 
1973	9	7.4	56 
1973	10	0.6	13 
1973	11	-3.2	46 
1973	12	-6.3	86 
1974	1	-3	75 
1974	2	-3.1	42 
1974	3	-3.3	36 
1974	4	3.6	0 
1974	5	8.9	38 
1974	6	12.4	108 
1974	7	13.7	94 
1974	8	13.1	93 
1974	9	9.5	169 
1974	10	3.5	110 
1974	11	-1	99 
1974	12	-4	55 
1975	1	-2.6	123 
1975	2	-8.5	17 
1975	3	-3.3	41 
1975	4	0.5	17 
1975	5	8.5	20 
1975	6	11.8	34 
1975	7	16.4	62 
1975	8	16.2	61 
1975	9	10.1	124 
1975	10	4.5	95 
1975	11	0.9	76 
1975	12	-2	14 
1976	1	-8.5	30 
1976	2	-6.4	53 
1976	3	-5.7	8 
1976	4	2.5	12 
1976	5	8.9	37 
1976	6	13.4	54 
1976	7	15.9	99 
1976	8	14.9	13 
1976	9	6.8	62 
1976	10	2.9	185 
1976	11	-1.6	104 
1976	12	-7.3	55 
1977	1	-8.2	97 
1977	2	-11.7	40 
1977	3	-3	43 
1977	4	-0.4	104 
1977	5	7.8	29 
1977	6	12.4	141 
1977	7	14	62 
1977	8	13.3	91 
1977	9	7.3	50 
1977	10	4.9	69 
1977	11	0.2	77 
1977	12	-4.2	65 
1978	1	-5.9	54 
1978	2	-12.1	55 
1978	3	-4.6	93 
1978	4	0.5	26 
1978	5	8.4	17 
1978	6	14.3	64 
1978	7	13.5	97 
1978	8	13.3	89 
1978	9	7	75 
1978	10	3.6	20 
1978	11	1.4	22 
1978	12	-11.2	57 
1979	1	-13.1	36 
1979	2	-12.3	13 
1979	3	-2.8	59 
