Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -53742 E, 6610633 N

Elevation of grid point: 40 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	1.5	142 
1967	2	2.8	114 
1967	3	3.7	260 
1967	4	4.3	169 
1967	5	7.7	154 
1967	6	10.3	156 
1967	7	13.5	116 
1967	8	13.9	252 
1967	9	12.6	199 
1967	10	9.2	350 
1967	11	7	227 
1967	12	3.4	367 
1968	1	0.9	246 
1968	2	0.8	123 
1968	3	3	184 
1968	4	5.1	101 
1968	5	7.9	82 
1968	6	12.7	104 
1968	7	13.2	18 
1968	8	13	11 
1968	9	13.5	215 
1968	10	8.7	221 
1968	11	4	118 
1968	12	2.2	86 
1969	1	2.6	206 
1969	2	-2.7	75 
1969	3	-0.1	78 
1969	4	4.9	91 
1969	5	8.3	44 
1969	6	12.7	75 
1969	7	13.4	164 
1969	8	16.7	62 
1969	9	11.7	244 
1969	10	9.1	179 
1969	11	3.5	269 
1969	12	1.2	104 
1970	1	0.1	120 
1970	2	-2.1	72 
1970	3	0.4	173 
1970	4	2.7	116 
1970	5	8.8	85 
1970	6	13.1	78 
1970	7	12.5	278 
1970	8	14.4	62 
1970	9	10.9	218 
1970	10	8.5	253 
1970	11	5	291 
1970	12	3.5	121 
1971	1	3.2	108 
1971	2	3	115 
1971	3	1.2	130 
1971	4	4.8	80 
1971	5	9	105 
1971	6	11.2	77 
1971	7	12.8	86 
1971	8	13.9	122 
1971	9	11.3	167 
1971	10	8.4	208 
1971	11	4.3	313 
1971	12	5.6	188 
1972	1	0.4	76 
1972	2	1.2	52 
1972	3	3.2	61 
1972	4	4.9	130 
1972	5	9.8	53 
1972	6	11.3	211 
1972	7	14.1	124 
1972	8	12.7	175 
1972	9	9.9	93 
1972	10	8.4	121 
1972	11	5.1	234 
1972	12	5.8	196 
1973	1	4.3	101 
1973	2	2.2	160 
1973	3	4.6	122 
1973	4	3.9	128 
1973	5	8.3	124 
1973	6	11.5	91 
1973	7	14.8	46 
1973	8	12.5	119 
1973	9	11.1	144 
1973	10	6.4	174 
1973	11	4.1	305 
1973	12	2.7	242 
1974	1	4.6	149 
