Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 260973 E, 6652759 N

Elevation of grid point: 84 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-7.7	60 
1967	2	-3.7	61 
1967	3	1.7	56 
1967	4	3.9	39 
1967	5	8.6	94 
1967	6	14.5	73 
1967	7	15.8	56 
1967	8	15.5	121 
1967	9	11.3	61 
1967	10	6.4	142 
1967	11	3.2	98 
1967	12	-4.1	81 
1968	1	-7.5	52 
1968	2	-6	50 
1968	3	-0.3	41 
1968	4	5.3	18 
1968	5	8.8	61 
1968	6	15.9	94 
1968	7	15.6	83 
1968	8	16.1	29 
1968	9	11.5	74 
1968	10	4.6	114 
1968	11	-2.7	63 
1968	12	-4.2	21 
1969	1	-3.7	106 
1969	2	-8.1	24 
1969	3	-4.8	7 
1969	4	3.8	60 
1969	5	9.7	59 
1969	6	17	43 
1969	7	16.6	73 
1969	8	18.1	41 
1969	9	11.3	78 
1969	10	6.7	25 
1969	11	-2	67 
1969	12	-4.9	44 
1970	1	-7.9	27 
1970	2	-11.7	18 
1970	3	-2.3	35 
1970	4	1.6	65 
1970	5	11.2	8 
1970	6	18	81 
1970	7	14.2	172 
1970	8	15.7	46 
1970	9	9.8	75 
1970	10	6	103 
1970	11	-1	186 
1970	12	-1.8	25 
1971	1	-2.8	64 
1971	2	-1.1	43 
1971	3	-3.1	75 
1971	4	4	24 
1971	5	10.7	58 
1971	6	14.1	52 
1971	7	16.7	80 
1971	8	14.4	59 
1971	9	10.3	44 
1971	10	6.2	43 
1971	11	-1.3	82 
1971	12	0.4	37 
1972	1	-6.5	27 
1972	2	-3.7	38 
1972	3	-0.9	45 
1972	4	4.3	62 
1972	5	10.8	59 
1972	6	13.8	103 
1972	7	18	82 
1972	8	14.4	116 
1972	9	9.2	31 
1972	10	5.8	24 
1972	11	1	12 
1972	12	1.3	66 
1973	1	-0.4	35 
1973	2	-1.3	56 
1973	3	2.3	14 
1973	4	3.2	56 
1973	5	9.9	63 
1973	6	15.2	43 
1973	7	18	102 
1973	8	14.3	55 
1973	9	9.4	73 
1973	10	2.7	13 
1973	11	-1.1	37 
1973	12	-3.3	71 
1974	1	-0.5	92 
1974	2	-0.4	48 
1974	3	0.4	29 
1974	4	6.8	0 
1974	5	11.1	29 
1974	6	14.7	57 
1974	7	15	116 
1974	8	14.8	58 
1974	9	11.3	185 
1974	10	4.5	83 
1974	11	1.2	121 
1974	12	-1.1	49 
1975	1	-0.2	113 
1975	2	-4.2	19 
1975	3	-0.3	36 
1975	4	3.4	31 
1975	5	11	39 
1975	6	13.7	40 
1975	7	17.8	62 
1975	8	17.9	73 
1975	9	11.3	117 
1975	10	6.5	68 
1975	11	2.5	86 
1975	12	0.3	28 
1976	1	-5.2	35 
1976	2	-3.3	41 
1976	3	-2.5	7 
1976	4	4.3	19 
1976	5	11	44 
1976	6	15.4	19 
1976	7	18.2	34 
1976	8	17.2	13 
1976	9	9.1	45 
1976	10	4.6	186 
1976	11	0.5	93 
1976	12	-4.6	52 
1977	1	-4.5	69 
1977	2	-6.9	26 
1977	3	0.1	55 
1977	4	1.8	81 
1977	5	11	28 
1977	6	15.2	84 
1977	7	16.2	71 
1977	8	15.2	40 
1977	9	9.4	58 
1977	10	6.8	66 
1977	11	1.6	85 
1977	12	-2	52 
1978	1	-2.9	71 
1978	2	-7.8	45 
1978	3	-1.9	107 
1978	4	3.4	21 
1978	5	10.9	19 
1978	6	15.9	37 
1978	7	14.9	132 
1978	8	14.8	92 
1978	9	8.5	82 
1978	10	5.7	23 
1978	11	3.8	31 
1978	12	-8.1	25 
1979	1	-8.7	13 
1979	2	-7.6	18 
1979	3	-1.1	117 
1979	4	3.6	84 
1979	5	8.1	64 
1979	6	15.9	42 
1979	7	15.4	85 
1979	8	13.8	108 
1979	9	9.9	85 
1979	10	4.1	77 
1979	11	-0.6	108 
1979	12	-3.6	60 
1980	1	-6.8	18 
1980	2	-8.5	28 
1980	3	-3.1	33 
1980	4	4.7	6 
1980	5	11.8	59 
1980	6	15.8	131 
1980	7	16.9	79 
1980	8	15	143 
1980	9	11.2	84 
1980	10	4.2	119 
1980	11	-2.4	39 
1980	12	-2	55 
1981	1	-4.7	20 
1981	2	-4.6	24 
1981	3	-3	66 
1981	4	4.2	12 
1981	5	11.5	69 
1981	6	12.7	96 
1981	7	15.8	112 
1981	8	14.9	14 
1981	9	11.8	75 
1981	10	4.7	89 
1981	11	0.2	119 
1981	12	-9.1	38 
1982	1	-8.3	28 
1982	2	-4.1	35 
1982	3	1	95 
1982	4	4.6	41 
1982	5	9.2	79 
1982	6	13.8	34 
1982	7	17.5	37 
1982	8	15.9	84 
1982	9	11.2	120 
1982	10	6	74 
1982	11	2.4	137 
1982	12	-2	108 
1983	1	0.3	29 
1983	2	-5	14 
1983	3	0.9	38 
1983	4	5	52 
1983	5	10.3	108 
1983	6	14.1	30 
1983	7	17.5	46 
1983	8	16.2	27 
1983	9	11.1	167 
1983	10	6.2	100 
1983	11	1.1	19 
1983	12	-1.9	47 
1984	1	-5.3	82 
1984	2	-3.2	22 
1984	3	-2	23 
1984	4	5	31 
1984	5	12.3	54 
1984	6	14.6	110 
1984	7	15.9	90 
1984	8	16	94 
1984	9	9.5	99 
1984	10	7.1	146 
1984	11	2.5	56 
1984	12	0.6	97 
1985	1	-9.1	41 
1985	2	-9.9	43 
