Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -36069 E, 6723546 N

Elevation of grid point: 40 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	0.1	173 
1967	2	2.4	167 
1967	3	3.3	392 
1967	4	3.8	200 
1967	5	7.9	127 
1967	6	10.8	177 
1967	7	13.4	254 
1967	8	13.3	227 
1967	9	11.6	200 
1967	10	7.9	528 
1967	11	5.8	304 
1967	12	1.6	359 
1968	1	-0.5	268 
1968	2	-0.7	120 
1968	3	2.1	249 
1968	4	4.8	85 
1968	5	8	79 
1968	6	12.6	126 
1968	7	13.2	70 
1968	8	12.2	8 
1968	9	12.3	190 
1968	10	6.9	341 
1968	11	1.5	85 
1968	12	0.9	61 
1969	1	1.8	229 
1969	2	-3.7	109 
1969	3	-1.6	117 
1969	4	4.7	115 
1969	5	9.1	54 
1969	6	13	94 
1969	7	12.9	280 
1969	8	16.7	66 
1969	9	10.4	371 
1969	10	8.5	267 
1969	11	1.7	266 
1969	12	-0.1	121 
1970	1	-1.1	125 
1970	2	-2.7	65 
1970	3	-0.4	190 
1970	4	2.1	165 
1970	5	9.3	124 
1970	6	13.6	83 
1970	7	12.1	245 
1970	8	13.8	70 
1970	9	9.7	287 
1970	10	7.2	328 
1970	11	3.5	242 
1970	12	1.8	192 
1971	1	2.1	173 
1971	2	2.4	214 
1971	3	0.8	137 
1971	4	4.8	100 
1971	5	9.4	132 
1971	6	11.3	79 
1971	7	13	143 
1971	8	13.2	180 
1971	9	10.3	242 
1971	10	7.1	304 
1971	11	2.4	377 
1971	12	4.5	335 
1972	1	-1.2	92 
1972	2	0.4	41 
1972	3	3	89 
1972	4	4.8	130 
1972	5	10.4	79 
1972	6	11.4	258 
1972	7	13.9	103 
1972	8	11.9	190 
1972	9	8.3	176 
1972	10	7.7	232 
1972	11	3.8	407 
1972	12	5	220 
1973	1	3.3	197 
1973	2	1	338 
1973	3	4.1	251 
1973	4	3.1	145 
1973	5	8.3	169 
1973	6	11.2	171 
1973	7	14.6	85 
1973	8	11.7	208 
1973	9	10	162 
1973	10	4.8	303 
1973	11	2.4	368 
1973	12	1	349 
1974	1	4.6	150 
1974	2	3.4	204 
1974	3	2.3	35 
1974	4	5.6	14 
1974	5	9.9	62 
1974	6	12.5	124 
1974	7	11.7	229 
1974	8	12.6	195 
1974	9	10.9	478 
1974	10	5.4	54 
1974	11	4	188 
1974	12	3.6	349 
1975	1	3.5	327 
1975	2	1.7	113 
1975	3	1.7	87 
1975	4	3.5	119 
1975	5	8.5	102 
1975	6	10.8	132 
1975	7	13.3	103 
1975	8	15.5	128 
1975	9	10.4	582 
1975	10	7.6	235 
1975	11	5.1	250 
1975	12	3.9	350 
1976	1	-0.2	202 
1976	2	0.6	170 
1976	3	0.3	71 
1976	4	4	200 
1976	5	9.7	82 
1976	6	12.2	132 
1976	7	15	121 
1976	8	13.1	27 
1976	9	8.4	63 
1976	10	7.9	123 
1976	11	4.7	202 
1976	12	-1.4	113 
1977	1	-0.5	96 
1977	2	-1.2	40 
1977	3	3.4	132 
1977	4	2.5	101 
1977	5	8.8	104 
1977	6	10.6	100 
1977	7	12.5	127 
1977	8	13.3	130 
1977	9	9.4	284 
1977	10	9.1	193 
1977	11	3.6	301 
1977	12	3.7	200 
1978	1	1.6	239 
1978	2	-2.2	71 
1978	3	2.1	153 
1978	4	3.5	29 
1978	5	9.2	41 
1978	6	12.9	120 
1978	7	12.9	144 
1978	8	13.8	180 
1978	9	9.2	205 
1978	10	7.9	276 
1978	11	5.6	291 
1978	12	-1.6	40 
1979	1	-3.3	129 
1979	2	-3	161 
1979	3	1.2	226 
1979	4	5.3	98 
1979	5	6.8	221 
1979	6	12.6	176 
1979	7	12.1	172 
1979	8	12.7	268 
1979	9	9.7	346 
1979	10	6.4	136 
1979	11	3.7	310 
1979	12	1.2	176 
1980	1	-0.8	53 
1980	2	-1.4	180 
1980	3	0.1	95 
1980	4	4.3	88 
1980	5	8.9	82 
1980	6	13	101 
1980	7	14.8	28 
1980	8	13.6	248 
1980	9	11.3	418 
1980	10	5	315 
1980	11	1.7	200 
1980	12	2.1	351 
1981	1	-0.4	266 
1981	2	-0.3	254 
1981	3	0.7	174 
1981	4	3.4	61 
1981	5	10.9	56 
1981	6	10.4	176 
1981	7	12.9	151 
1981	8	11.9	173 
1981	9	11.6	254 
1981	10	6.1	415 
1981	11	3.5	404 
1981	12	-5.1	67 
1982	1	-1.4	191 
