Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 9336 E, 6779009 N

Elevation of grid point: 137 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-3.4	190 
1967	2	0.7	318 
1967	3	1.7	814 
1967	4	2.1	189 
1967	5	7	114 
1967	6	10.4	306 
1967	7	11.6	331 
1967	8	12.3	211 
1967	9	10.2	271 
1967	10	5.7	825 
1967	11	3.8	364 
1967	12	-1.6	466 
1968	1	-4.3	446 
1968	2	-4.6	174 
1968	3	-1	496 
1968	4	1.2	105 
1968	5	6.4	70 
1968	6	12.1	214 
1968	7	13.5	72 
1968	8	13.6	21 
1968	9	11.3	139 
1968	10	5	510 
1968	11	-0.7	152 
1968	12	-2.1	79 
1969	1	-0.1	289 
1969	2	-6.2	153 
1969	3	-3.8	228 
1969	4	3	188 
1969	5	8.8	69 
1969	6	13.7	77 
1969	7	12.3	386 
1969	8	16.2	82 
1969	9	9.5	522 
1969	10	7.1	490 
1969	11	-0.8	342 
1969	12	-3.2	195 
1970	1	-3.5	125 
1970	2	-6.4	90 
1970	3	-2.2	279 
1970	4	0.3	151 
1970	5	7.7	189 
1970	6	14.5	80 
1970	7	11.9	354 
1970	8	13.4	100 
1970	9	8.6	338 
1970	10	5.4	438 
1970	11	0.8	298 
1970	12	-1.3	393 
1971	1	-0.1	450 
1971	2	0.3	358 
1971	3	-1.5	242 
1971	4	3.1	182 
1971	5	8.3	174 
1971	6	11	117 
1971	7	12.7	163 
1971	8	12.3	197 
1971	9	8.9	374 
1971	10	5	621 
1971	11	0	578 
1971	12	2.5	742 
1972	1	-2.7	107 
1972	2	-1.5	40 
1972	3	1.2	152 
1972	4	3.6	127 
1972	5	9.7	62 
1972	6	11.1	210 
1972	7	14.9	66 
1972	8	11.6	253 
1972	9	7.5	185 
1972	10	6.1	299 
1972	11	1.7	674 
1972	12	2.9	361 
1973	1	2.1	420 
1973	2	-1.1	488 
1973	3	1.8	427 
1973	4	1.7	222 
1973	5	7.4	281 
1973	6	10.8	253 
1973	7	15.1	115 
1973	8	11.1	302 
1973	9	8.8	387 
1973	10	3.2	299 
1973	11	-0.2	484 
1973	12	-1.7	594 
1974	1	2.8	402 
1974	2	1.2	305 
1974	3	1.4	24 
1974	4	4.7	15 
1974	5	8.9	58 
1974	6	12.3	121 
1974	7	11.4	291 
1974	8	11.8	318 
1974	9	9.8	544 
1974	10	3.9	105 
1974	11	1.8	335 
1974	12	1.4	690 
1975	1	1.3	652 
1975	2	-1.3	180 
1975	3	-0.3	116 
1975	4	2.1	156 
1975	5	8.1	124 
1975	6	10.7	190 
1975	7	13.9	145 
1975	8	14.6	124 
1975	9	8.8	742 
1975	10	5.2	341 
1975	11	2.4	377 
1975	12	1.2	846 
1976	1	-3.8	407 
1976	2	-3.2	311 
1976	3	-2.9	317 
1976	4	2.4	303 
1976	5	9	80 
1976	6	11.6	170 
1976	7	14.3	157 
1976	8	13	78 
1976	9	7.2	101 
1976	10	6	189 
1976	11	1.7	359 
1976	12	-4.5	134 
1977	1	-2.9	163 
1977	2	-4.4	30 
1977	3	1.1	167 
1977	4	1.1	155 
1977	5	8.9	90 
1977	6	11.4	114 
1977	7	13.7	128 
1977	8	12.7	162 
1977	9	7.4	415 
1977	10	7.2	380 
1977	11	1.6	435 
1977	12	1.3	330 
1978	1	-1	328 
1978	2	-5.7	100 
1978	3	0.2	207 
1978	4	2.8	80 
1978	5	8.8	48 
1978	6	13.2	164 
1978	7	13.3	136 
1978	8	13.2	270 
1978	9	7.9	382 
1978	10	6.2	474 
1978	11	3.6	819 
1978	12	-4.1	43 
1979	1	-8.1	202 
1979	2	-6.1	185 
1979	3	0	376 
1979	4	3.5	88 
1979	5	5.4	286 
1979	6	12.4	158 
1979	7	11.6	131 
1979	8	11.5	278 
1979	9	8.4	633 
1979	10	4.7	193 
1979	11	0.8	538 
1979	12	-1.5	325 
1980	1	-4.2	133 
1980	2	-3.8	165 
1980	3	-1.3	105 
1980	4	2.5	139 
1980	5	8.9	53 
1980	6	13.8	99 
1980	7	15	85 
1980	8	13	229 
1980	9	9.8	499 
1980	10	3.4	473 
1980	11	-1.9	410 
1980	12	-0.6	840 
1981	1	-3.4	484 
1981	2	-3.5	453 
1981	3	-0.8	179 
1981	4	1.9	107 
1981	5	9.4	75 
1981	6	10.6	234 
1981	7	12.7	142 
1981	8	11.6	260 
1981	9	10.6	300 
1981	10	4.7	332 
1981	11	1.1	545 
1981	12	-7.3	93 
1982	1	-4.1	233 
1982	2	-0.8	240 
1982	3	1.6	264 
1982	4	3.2	294 
1982	5	7.5	197 
1982	6	12.4	10 
1982	7	14.2	86 
1982	8	13.1	481 
1982	9	8.9	595 
1982	10	7	286 
1982	11	3.2	680 
1982	12	0.4	477 
1983	1	1.4	955 
1983	2	-3.8	83 
1983	3	0.4	320 
1983	4	3.8	124 
1983	5	8.6	176 
1983	6	10.9	109 
1983	7	13.8	147 
1983	8	12.3	235 
1983	9	9.4	431 
1983	10	5.2	972 
1983	11	2.4	503 
1983	12	0.6	442 
1984	1	-3.1	402 
1984	2	-1.7	198 
1984	3	-1.7	104 
1984	4	3.3	293 
1984	5	9.5	42 
1984	6	12.2	147 
1984	7	13.8	126 
1984	8	13.4	225 
1984	9	7.9	84 
1984	10	6.6	659 
1984	11	5.2	307 
1984	12	1.8	328 
1985	1	-5.6	174 
1985	2	-5	255 
1985	3	-0.1	298 
1985	4	2.1	84 
1985	5	9	86 
1985	6	12.2	89 
1985	7	13.6	211 
1985	8	12.4	349 
1985	9	7	341 
1985	10	7.2	466 
1985	11	-2.2	125 
1985	12	-2	472 
1986	1	-5.8	237 
1986	2	-8.2	15 
1986	3	1.7	436 
1986	4	1.6	25 
1986	5	8.1	323 
1986	6	13.4	93 
1986	7	12.9	216 
1986	8	11.8	101 
1986	9	6.3	469 
1986	10	6.2	544 
1986	11	3.7	883 
1986	12	0	628 
1987	1	-9.1	108 
1987	2	-2.6	291 
1987	3	-2.8	93 
1987	4	4.2	158 
1987	5	7.5	115 
1987	6	10.7	58 
1987	7	13.9	149 
1987	8	12.6	182 
1987	9	7.8	479 
1987	10	6.9	251 
1987	11	2.4	186 
1987	12	-0.6	349 
1988	1	1.4	316 
1988	2	-0.3	266 
1988	3	-2.4	97 
1988	4	1.6	235 
1988	5	9.9	100 
1988	6	15.2	23 
1988	7	14.5	288 
1988	8	13	283 
1988	9	10.5	431 
1988	10	5.1	282 
1988	11	1	323 
1988	12	-0.1	686 
1989	1	3.5	1181 
1989	2	2.5	680 
1989	3	2.3	435 
1989	4	5	65 
1989	5	7.4	357 
1989	6	12	306 
1989	7	13.3	162 
1989	8	11.5	371 
1989	9	9.8	406 
1989	10	5.9	430 
1989	11	2.2	257 
1989	12	-0.5	300 
1990	1	1.6	720 
1990	2	4	837 
1990	3	3.1	1023 
1990	4	4.2	386 
1990	5	9.1	36 
1990	6	13.2	185 
1990	7	13.6	164 
1990	8	12.8	258 
1990	9	8.4	373 
1990	10	6.1	372 
1990	11	0.9	228 
1990	12	0.9	591 
1991	1	-0.8	385 
1991	2	-3.6	227 
1991	3	2.5	226 
1991	4	4.8	246 
1991	5	7.3	164 
1991	6	9.6	146 
1991	7	15.7	85 
1991	8	13.6	288 
1991	9	9.2	463 
1991	10	4.3	175 
1991	11	2.3	575 
1991	12	1.5	587 
1992	1	1.2	602 
1992	2	0.8	543 
1992	3	1.7	436 
1992	4	3.2	180 
1992	5	9.4	251 
1992	6	14.5	86 
1992	7	12.8	271 
1992	8	11.4	317 
1992	9	9.6	315 
1992	10	2.9	86 
1992	11	1.1	479 
1992	12	1.4	763 
1993	1	0.6	867 
1993	2	0.3	413 
1993	3	0.2	406 
1993	4	4.7	140 
1993	5	10	62 
1993	6	10.3	108 
