Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 255652 E, 6598006 N

Elevation of grid point: 60 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-6	54 
1967	2	-2.9	75 
1967	3	2.4	70 
1967	4	4	42 
1967	5	8.4	126 
1967	6	13.9	74 
1967	7	16.2	40 
1967	8	15.5	141 
1967	9	11.6	97 
1967	10	7.7	267 
1967	11	4.5	118 
1967	12	-2.4	82 
1968	1	-5.6	40 
1968	2	-4.8	57 
1968	3	0.5	44 
1968	4	5	36 
1968	5	8.6	67 
1968	6	15.3	125 
1968	7	15.4	87 
1968	8	15.7	28 
1968	9	11.8	84 
1968	10	5.9	125 
1968	11	-1.7	71 
1968	12	-3.2	37 
1969	1	-2.8	122 
1969	2	-7.2	28 
1969	3	-4.1	6 
1969	4	3.6	82 
1969	5	9.1	67 
1969	6	16.2	27 
1969	7	16.3	67 
1969	8	17.6	118 
1969	9	12	101 
1969	10	8	44 
1969	11	0.2	104 
1969	12	-3.2	27 
1970	1	-6.6	29 
1970	2	-12.1	29 
1970	3	-2.2	34 
1970	4	1.5	68 
1970	5	10.8	14 
1970	6	17.2	62 
1970	7	14.4	115 
1970	8	15.4	30 
1970	9	10.3	89 
1970	10	7	127 
1970	11	0.4	229 
1970	12	-0.4	31 
1971	1	-1.3	73 
1971	2	0.2	49 
1971	3	-1.9	53 
1971	4	3.8	25 
1971	5	10.1	70 
1971	6	13.7	61 
1971	7	16.6	72 
1971	8	14.6	77 
1971	9	11.1	35 
1971	10	7.4	35 
1971	11	1.1	83 
1971	12	2.9	39 
1972	1	-5.5	23 
1972	2	-3.2	34 
1972	3	-0.9	56 
1972	4	4.3	74 
1972	5	10.3	75 
1972	6	13.6	136 
1972	7	17.7	120 
1972	8	14.6	125 
1972	9	10.1	57 
1972	10	6.6	23 
1972	11	2.5	18 
1972	12	3.1	99 
1973	1	0.1	48 
1973	2	0.1	52 
1973	3	2.7	22 
1973	4	3.8	53 
1973	5	9.7	89 
1973	6	14.9	49 
1973	7	17.8	89 
1973	8	14.3	53 
1973	9	10.2	102 
1973	10	4	9 
1973	11	0.8	49 
1973	12	-1.3	73 
1974	1	0.9	113 
1974	2	0.8	63 
1974	3	0.7	40 
1974	4	6.3	0 
1974	5	10.9	34 
1974	6	14.6	92 
1974	7	14.9	79 
1974	8	14.9	57 
1974	9	12	245 
1974	10	5.1	102 
1974	11	2.5	129 
1974	12	1	55 
1975	1	1.4	146 
1975	2	-2.6	24 
1975	3	0.2	34 
1975	4	3.7	23 
1975	5	10.6	39 
1975	6	13.5	18 
1975	7	17	30 
1975	8	18.1	54 
1975	9	12.3	128 
1975	10	7.3	61 
1975	11	3.5	107 
1975	12	2.5	41 
1976	1	-2.8	29 
1976	2	-2.6	53 
1976	3	-2.2	6 
1976	4	4	22 
1976	5	10.2	63 
1976	6	14.6	36 
1976	7	17.9	13 
1976	8	16.5	14 
1976	9	9.7	78 
1976	10	5.3	264 
1976	11	1.9	150 
1976	12	-3.2	58 
1977	1	-3.4	102 
1977	2	-6.4	57 
1977	3	-0.2	69 
1977	4	2.1	103 
1977	5	10.4	38 
1977	6	14.6	82 
1977	7	15.6	79 
1977	8	15.1	34 
1977	9	9.9	77 
1977	10	7.7	79 
1977	11	2.8	131 
1977	12	-0.6	71 
1978	1	-1	78 
1978	2	-6.8	63 
1978	3	-1.8	140 
1978	4	3.1	28 
1978	5	10	19 
1978	6	15.2	54 
1978	7	14.8	111 
1978	8	14.8	85 
1978	9	9.2	100 
1978	10	7	29 
1978	11	5.3	26 
1978	12	-7.2	28 
1979	1	-7.2	22 
1979	2	-7.1	13 
1979	3	-1	150 
1979	4	3.2	77 
1979	5	7.6	79 
1979	6	15	63 
1979	7	14.9	96 
1979	8	13.8	103 
1979	9	10.7	46 
1979	10	4.6	87 
1979	11	1.1	157 
1979	12	-2.2	85 
1980	1	-5.8	37 
1980	2	-7.9	39 
1980	3	-3.1	53 
1980	4	3.7	17 
1980	5	11.3	66 
1980	6	15.2	108 
1980	7	16.7	49 
1980	8	15.1	109 
1980	9	11.5	76 
1980	10	5.2	189 
1980	11	-0.6	53 
1980	12	0.1	56 
1981	1	-2.5	15 
1981	2	-3.1	22 
1981	3	-2.7	75 
1981	4	3.4	9 
1981	5	11.1	63 
1981	6	12.7	119 
1981	7	15.8	163 
1981	8	14.7	29 
1981	9	11.8	90 
1981	10	5.7	119 
1981	11	2.2	151 
1981	12	-7.4	52 
1982	1	-7.4	33 
1982	2	-3.4	46 
1982	3	1	118 
1982	4	4.8	29 
1982	5	9	113 
1982	6	13.6	29 
1982	7	17.3	16 
1982	8	16.5	123 
1982	9	12	91 
1982	10	6.8	114 
1982	11	3.8	194 
1982	12	0.4	145 
1983	1	2.5	46 
1983	2	-3.9	26 
1983	3	1	63 
1983	4	4.9	60 
1983	5	9.8	110 
1983	6	13.6	33 
1983	7	17.4	44 
1983	8	15.8	31 
1983	9	11.8	189 
1983	10	7.4	114 
1983	11	2.7	16 
1983	12	-0.1	63 
