Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 170518 E, 6965858 N

Elevation of grid point: 18 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-4.5	124 
1967	2	-1	76 
1967	3	2.3	134 
1967	4	2.5	95 
1967	5	7.9	53 
1967	6	11	60 
1967	7	12.9	89 
1967	8	12.8	67 
1967	9	10.3	11 
1967	10	5.6	130 
1967	11	3.7	112 
1967	12	-2.1	246 
1968	1	-3.9	178 
1968	2	-3.7	120 
1968	3	-0.2	112 
1968	4	2.1	85 
1968	5	6.4	58 
1968	6	11.8	67 
1968	7	13.1	29 
1968	8	13	11 
1968	9	10.6	48 
1968	10	4.1	175 
1968	11	-2.8	15 
1968	12	-3	43 
1969	1	-2	36 
1969	2	-7	54 
1969	3	-3.4	66 
1969	4	4.5	41 
1969	5	9.1	43 
1969	6	14	43 
1969	7	14	105 
1969	8	16.6	42 
1969	9	9	174 
1969	10	6.6	173 
1969	11	-1.3	141 
1969	12	-3	89 
1970	1	-4.1	81 
1970	2	-6.6	44 
1970	3	-1.4	78 
1970	4	0.6	47 
1970	5	8.9	34 
1970	6	14.5	33 
1970	7	12.9	203 
1970	8	13.7	89 
1970	9	8.8	111 
1970	10	6.1	173 
1970	11	-0.8	59 
1970	12	-0.6	105 
1971	1	-1.6	70 
1971	2	0.1	97 
1971	3	-1.7	102 
1971	4	3.2	31 
1971	5	9.9	18 
1971	6	11	99 
1971	7	13.1	125 
1971	8	13.2	53 
1971	9	9.1	164 
1971	10	5.6	200 
1971	11	0.2	189 
1971	12	2.2	172 
1972	1	-3.8	0 
1972	2	-2.4	1 
1972	3	1.8	64 
1972	4	3.8	105 
1972	5	9.5	33 
1972	6	12.9	106 
1972	7	15.6	44 
1972	8	13	81 
1972	9	7.7	89 
1972	10	5.4	160 
1972	11	1.4	97 
1972	12	2.4	7 
1973	1	1.5	33 
1973	2	-2.7	122 
1973	3	3	140 
1973	4	1.1	175 
1973	5	7.9	109 
1973	6	12.5	58 
1973	7	14.9	92 
1973	8	12	99 
1973	9	8.8	145 
1973	10	3.4	151 
1973	11	-0.9	234 
1973	12	-1.9	151 
1974	1	1.2	47 
1974	2	-0.6	28 
1974	3	0	10 
1974	4	4.5	51 
1974	5	9.3	72 
1974	6	12.6	46 
1974	7	12.4	105 
1974	8	12.6	116 
1974	9	10.5	49 
1974	10	3.5	94 
1974	11	0.4	19 
1974	12	0.2	112 
1975	1	-0.1	114 
1975	2	-0.9	50 
1975	3	-0.1	33 
1975	4	2.1	82 
1975	5	7.9	189 
1975	6	10.6	61 
1975	7	14.2	73 
1975	8	14.5	48 
1975	9	9.8	124 
1975	10	6.2	160 
1975	11	3.1	63 
1975	12	0.5	420 
1976	1	-4.7	220 
1976	2	-2	64 
1976	3	-2.3	82 
1976	4	2	133 
1976	5	10.2	32 
1976	6	12	93 
1976	7	14.2	99 
1976	8	13.1	77 
1976	9	5.8	142 
1976	10	5.8	15 
1976	11	1.7	90 
1976	12	-5	65 
1977	1	-6.7	34 
1977	2	-6.4	20 
1977	3	0.7	45 
1977	4	1.1	81 
1977	5	7.9	56 
1977	6	11.1	65 
1977	7	13	99 
1977	8	13	38 
1977	9	7.1	133 
1977	10	7	54 
1977	11	1.5	75 
1977	12	1	85 
1978	1	-3.1	79 
1978	2	-6.9	65 
1978	3	-0.2	71 
1978	4	2.3	54 
1978	5	9.4	9 
1978	6	13.5	87 
1978	7	14	108 
1978	8	13.1	190 
1978	9	7.6	232 
1978	10	5.2	173 
1978	11	1.7	193 
1978	12	-7.4	18 
1979	1	-7.9	15 
1979	2	-4.6	76 
1979	3	0.2	63 
1979	4	3.6	32 
1979	5	7.4	53 
1979	6	13.9	74 
1979	7	12.2	128 
1979	8	12.7	104 
1979	9	8.1	160 
1979	10	4.2	72 
1979	11	0	68 
1979	12	-3.2	74 
1980	1	-5.3	56 
1980	2	-4.4	36 
1980	3	-1.1	89 
1980	4	3.9	103 
1980	5	9	44 
1980	6	14.7	90 
1980	7	15.4	69 
1980	8	13.7	143 
1980	9	10.2	94 
1980	10	3	114 
1980	11	-2.8	105 
1980	12	-2.5	177 
1981	1	-3.5	190 
1981	2	-4.6	82 
1981	3	-1.8	39 
1981	4	2.7	83 
1981	5	10.9	17 
1981	6	10.5	87 
1981	7	13.2	72 
1981	8	12.2	80 
1981	9	11	12 
