Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -32116 E, 6576971 N

Elevation of grid point: 10 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	0.7	82 
1967	2	2.2	101 
1967	3	3.6	228 
1967	4	4.5	122 
1967	5	8.6	122 
1967	6	11.6	116 
1967	7	14.1	93 
1967	8	14.1	253 
1967	9	12.3	148 
1967	10	8.3	297 
1967	11	6.2	198 
1967	12	1.8	215 
1968	1	-0.1	128 
1968	2	-0.1	65 
1968	3	2.9	168 
1968	4	5.9	57 
1968	5	8.4	51 
1968	6	13.7	91 
1968	7	14.2	37 
1968	8	14.1	6 
1968	9	13.6	192 
1968	10	8.2	222 
1968	11	3.2	81 
1968	12	1.1	65 
1969	1	2.3	128 
1969	2	-3.4	91 
1969	3	-0.4	64 
1969	4	5.5	55 
1969	5	9.4	42 
1969	6	13.7	53 
1969	7	14.1	157 
1969	8	17.8	45 
1969	9	11.9	245 
1969	10	9.1	129 
1969	11	2.9	222 
1969	12	0.4	55 
1970	1	-0.6	57 
1970	2	-2.8	37 
1970	3	0.3	147 
1970	4	3.5	65 
1970	5	10	58 
1970	6	14.5	104 
1970	7	13.2	264 
1970	8	15.1	59 
1970	9	11.2	204 
1970	10	8.1	228 
1970	11	4.5	212 
1970	12	2.7	102 
1971	1	2.7	80 
1971	2	2.9	102 
1971	3	1	81 
1971	4	5.5	64 
1971	5	10	119 
1971	6	12.2	67 
1971	7	13.7	98 
1971	8	14.4	103 
1971	9	11.4	126 
1971	10	7.7	196 
1971	11	3.6	261 
1971	12	5	157 
1972	1	-0.6	50 
1972	2	1	31 
1972	3	3.1	59 
1972	4	5.4	104 
1972	5	10.8	68 
1972	6	11.7	175 
1972	7	14.7	111 
1972	8	13.1	158 
1972	9	9.8	99 
1972	10	7.7	88 
1972	11	4.5	230 
1972	12	5.3	157 
1973	1	3.3	65 
1973	2	1.6	147 
1973	3	4.3	88 
1973	4	4.2	85 
1973	5	9	116 
1973	6	12.4	85 
1973	7	15.8	53 
1973	8	13.1	86 
1973	9	11.2	124 
1973	10	5.8	108 
1973	11	3.4	223 
1973	12	2	163 
1974	1	4.1	102 
1974	2	3.8	95 
1974	3	3.7	23 
1974	4	6.6	3 
1974	5	10.7	48 
1974	6	13.4	71 
1974	7	12.6	170 
1974	8	13.7	87 
1974	9	12	313 
1974	10	7	55 
1974	11	4.7	140 
1974	12	4.3	209 
1975	1	4.2	296 
1975	2	2.1	34 
1975	3	2.5	39 
1975	4	4.3	48 
1975	5	9.4	58 
1975	6	11.7	61 
1975	7	14.1	85 
1975	8	17	72 
1975	9	11.5	284 
1975	10	8.2	99 
1975	11	5.4	147 
1975	12	4.3	177 
1976	1	0.6	130 
1976	2	1	62 
1976	3	-0.5	50 
1976	4	4.7	83 
1976	5	10.1	92 
1976	6	13.1	64 
1976	7	15.8	84 
1976	8	14.7	12 
1976	9	10	66 
1976	10	8.4	147 
1976	11	4.9	129 
1976	12	-0.6	39 
1977	1	0	66 
1977	2	-0.5	52 
1977	3	3.7	92 
1977	4	3.3	71 
1977	5	9.6	33 
1977	6	11.1	57 
1977	7	13	86 
1977	8	13.8	88 
1977	9	10.3	209 
1977	10	9.5	154 
1977	11	3.8	239 
1977	12	3.6	123 
1978	1	2	94 
1978	2	-1.7	37 
1978	3	2.2	95 
1978	4	4.4	52 
1978	5	10.3	75 
1978	6	13.7	70 
1978	7	13.6	145 
1978	8	14.9	129 
1978	9	10.3	167 
1978	10	8.7	178 
1978	11	6.1	203 
1978	12	-0.3	12 
1979	1	-3.2	45 
1979	2	-2.6	67 
1979	3	1.8	124 
1979	4	5.1	43 
1979	5	7.2	91 
1979	6	12.6	139 
1979	7	12.2	68 
1979	8	13.4	217 
1979	9	10.9	206 
1979	10	8.2	87 
1979	11	4.2	187 
1979	12	2	126 
1980	1	-0.6	17 
1980	2	-0.8	51 
