Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 92666 E, 6891186 N

Elevation of grid point: 333 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-3.1	161 
1967	2	0.6	169 
1967	3	0.7	397 
1967	4	1.5	87 
1967	5	7	50 
1967	6	9.3	98 
1967	7	10.9	157 
1967	8	10.9	70 
1967	9	10	33 
1967	10	5.4	207 
1967	11	4.5	182 
1967	12	-1	445 
1968	1	-2.5	255 
1968	2	-3.1	159 
1968	3	-1.2	287 
1968	4	1.3	88 
1968	5	5.7	40 
1968	6	11.1	52 
1968	7	12.6	38 
1968	8	12.9	23 
1968	9	10.9	43 
1968	10	4.7	220 
1968	11	0.1	25 
1968	12	-1.2	39 
1969	1	0.8	70 
1969	2	-4.4	29 
1969	3	-2.6	142 
1969	4	3.1	82 
1969	5	8.7	38 
1969	6	13	30 
1969	7	12.1	156 
1969	8	15.5	49 
1969	9	8.1	286 
1969	10	6.1	309 
1969	11	-0.7	222 
1969	12	-1.5	103 
1970	1	-1.8	82 
1970	2	-4.5	76 
1970	3	-1.8	127 
1970	4	0.4	27 
1970	5	8.5	51 
1970	6	14	40 
1970	7	10.8	142 
1970	8	12.6	67 
1970	9	8.1	149 
1970	10	5.3	217 
1970	11	1.1	97 
1970	12	-0.7	234 
1971	1	0.4	168 
1971	2	0.9	216 
1971	3	-1.6	124 
1971	4	2.2	112 
1971	5	8	73 
1971	6	9.8	104 
1971	7	11.5	113 
1971	8	11.2	77 
1971	9	7.6	178 
1971	10	4.5	345 
1971	11	-0.1	402 
1971	12	1.9	433 
1972	1	-1.6	1 
1972	2	-0.8	19 
1972	3	1.5	123 
1972	4	3.2	52 
1972	5	9.2	17 
1972	6	11.5	63 
1972	7	14.3	37 
1972	8	10.7	85 
1972	9	6	94 
1972	10	5.1	269 
1972	11	1	354 
1972	12	3.4	103 
1973	1	3	151 
1973	2	-1.2	312 
1973	3	1.7	204 
1973	4	0	133 
1973	5	6.5	95 
1973	6	10	93 
1973	7	13.2	95 
1973	8	10	115 
1973	9	8.1	228 
1973	10	2.2	190 
1973	11	-0.4	273 
1973	12	-0.7	329 
1974	1	3.4	115 
1974	2	1.8	97 
1974	3	2.1	6 
1974	4	4.3	58 
1974	5	8.7	51 
1974	6	11.2	65 
1974	7	10.4	217 
1974	8	11	146 
1974	9	9.5	154 
1974	10	3.8	42 
1974	11	2.6	58 
1974	12	1	355 
1975	1	2.1	266 
1975	2	-0.3	73 
1975	3	0.1	64 
1975	4	1.3	79 
1975	5	6.8	81 
1975	6	8.9	112 
1975	7	12.9	60 
1975	8	13.4	44 
1975	9	7.9	230 
1975	10	5.6	205 
1975	11	3	101 
1975	12	0.6	707 
1976	1	-3.2	292 
1976	2	-0.7	128 
1976	3	-2	199 
1976	4	0.8	128 
1976	5	8.6	42 
1976	6	10.2	97 
1976	7	12.9	156 
1976	8	11.7	90 
1976	9	6.1	129 
1976	10	6.9	37 
1976	11	2.7	128 
1976	12	-2.4	81 
1977	1	-2.2	78 
1977	2	-2.4	13 
1977	3	1.5	47 
1977	4	0.3	85 
1977	5	7.8	56 
1977	6	9.9	55 
1977	7	12.1	104 
1977	8	11.8	46 
1977	9	6.3	196 
1977	10	7.3	121 
1977	11	1.7	118 
1977	12	2.2	149 
1978	1	-0.7	181 
1978	2	-3.4	75 
1978	3	0.7	55 
1978	4	2	36 
1978	5	8.6	14 
1978	6	12.2	64 
1978	7	13	67 
1978	8	12.1	132 
1978	9	7.2	282 
1978	10	4.8	358 
1978	11	2.8	413 
1978	12	-3.5	27 
1979	1	-4.8	69 
1979	2	-3.2	143 
1979	3	-0.1	170 
1979	4	3.1	36 
1979	5	5.5	133 
1979	6	12.3	69 
1979	7	10.7	137 
1979	8	11.3	123 
1979	9	6.8	297 
1979	10	5.4	107 
1979	11	1.6	175 
1979	12	-1.3	182 
1980	1	-2.5	100 
1980	2	-1.3	72 
1980	3	-1	82 
1980	4	2.3	127 
1980	5	8.1	19 
1980	6	13.1	62 
1980	7	14.1	72 
1980	8	12.8	111 
1980	9	9.1	188 
1980	10	3.3	115 
1980	11	-0.9	152 
1980	12	-1.4	465 
1981	1	-2.8	440 
1981	2	-2.3	218 
1981	3	-0.5	37 
1981	4	1.1	94 
1981	5	9.1	29 
1981	6	8.8	92 
1981	7	11.8	55 
1981	8	10	108 
1981	9	10.7	103 
1981	10	4.8	82 
1981	11	0.9	226 
1981	12	-5.6	82 
1982	1	-2.7	103 
1982	2	1.5	45 
1982	3	2.4	77 
1982	4	1.7	255 
1982	5	7.1	42 
1982	6	10.8	11 
1982	7	13.4	39 
1982	8	13	90 
1982	9	8.1	270 
1982	10	7.3	53 
1982	11	3.5	163 
1982	12	0.4	216 
1983	1	0.7	528 
1983	2	-2.7	92 
1983	3	0.5	235 
1983	4	2.9	56 
1983	5	8	58 
1983	6	9.5	82 
1983	7	12.2	72 
1983	8	10.8	131 
1983	9	8.9	190 
1983	10	4.5	504 
1983	11	1	388 
1983	12	0.8	245 
1984	1	-2.2	189 
1984	2	0.3	64 
1984	3	-1.4	105 
1984	4	3.3	71 
1984	5	8.9	23 
1984	6	10.3	78 
1984	7	11.6	82 
1984	8	11.8	122 
1984	9	7.9	74 
1984	10	5.9	329 
1984	11	5.7	94 
1984	12	2.8	162 
1985	1	-3.8	103 
1985	2	-2.7	152 
1985	3	0.3	96 
1985	4	1.9	58 
1985	5	9.1	31 
1985	6	11.3	88 
1985	7	12.6	128 
1985	8	11.8	144 
1985	9	6	257 
1985	10	6.5	253 
1985	11	-1.7	154 
1985	12	-1.5	113 
1986	1	-3.7	113 
1986	2	-5.8	19 
1986	3	2.3	66 
1986	4	1.2	48 
1986	5	8.8	96 
1986	6	12.3	90 
1986	7	12.3	55 
1986	8	10.9	117 
1986	9	5.4	237 
1986	10	6	197 
1986	11	3.9	305 
1986	12	0.7	254 
1987	1	-5.8	216 
1987	2	-1.8	280 
1987	3	-1.9	31 
1987	4	4.3	73 
1987	5	6.7	59 
1987	6	9.6	69 
1987	7	12.3	156 
1987	8	11	120 
1987	9	7.5	132 
1987	10	8.6	54 
1987	11	2.9	43 
1987	12	0.1	284 
1988	1	2.3	39 
1988	2	1.2	151 
1988	3	-1	25 
1988	4	0.5	194 
1988	5	9.3	37 
1988	6	13.4	42 
1988	7	14.5	130 
1988	8	12.1	111 
1988	9	9.7	195 
1988	10	5.3	113 
1988	11	1.2	237 
1988	12	0.1	369 
1989	1	2.7	506 
1989	2	2.3	315 
1989	3	2.4	124 
1989	4	4.5	22 
1989	5	6.7	158 
1989	6	10.6	66 
1989	7	11.9	69 
1989	8	10.3	128 
1989	9	8.7	164 
1989	10	5.2	224 
1989	11	3.8	135 
1989	12	0.6	162 
1990	1	1.9	307 
1990	2	3.9	288 
1990	3	0.9	745 
1990	4	3	175 
1990	5	7.7	44 
1990	6	12.1	45 
1990	7	11.8	155 
1990	8	11.6	144 
1990	9	8	128 
1990	10	6.4	164 
1990	11	1.5	83 
1990	12	1.1	228 
1991	1	1	98 
1991	2	-3.9	90 
1991	3	1.9	61 
1991	4	3.1	131 
1991	5	6	102 
1991	6	8.8	122 
1991	7	14.1	50 
1991	8	12.3	105 
1991	9	7.3	228 
1991	10	3.4	101 
1991	11	1.9	255 
1991	12	1.3	289 
1992	1	0.9	364 
1992	2	-0.1	192 
1992	3	0.9	180 
1992	4	1.3	61 
1992	5	8.5	84 
1992	6	12.8	63 
1992	7	11.3	128 
1992	8	9.9	147 
1992	9	8.4	88 
1992	10	0.2	107 
1992	11	-0.3	208 
1992	12	0.7	292 
1993	1	-0.4	475 
1993	2	-0.3	264 
1993	3	-1.3	218 
1993	4	2.1	66 
1993	5	7.5	81 
1993	6	8.7	50 
1993	7	11	139 
1993	8	9.5	102 
1993	9	5.9	50 
1993	10	2.8	83 
1993	11	-1.7	17 
1993	12	-4.5	225 
1994	1	-3.8	315 
1994	2	-7.6	12 
1994	3	-2.2	279 
1994	4	3.1	124 
1994	5	6	22 
1994	6	8.2	155 
1994	7	14.1	65 
1994	8	11.9	102 
1994	9	7	74 
1994	10	2.9	209 
1994	11	2.1	246 
1994	12	0.5	233 
1995	1	-1.1	213 
1995	2	-1.7	352 
1995	3	-0.9	177 
1995	4	0.7	161 
1995	5	5.6	72 
1995	6	10.9	76 
1995	7	12.1	81 
1995	8	12	107 
1995	9	8.8	130 
1995	10	6.4	335 
1995	11	-1.4	180 
1995	12	-4.6	125 
1996	1	-3.3	13 
1996	2	-5.2	135 
1996	3	-2.8	92 
1996	4	2.7	52 
1996	5	5.8	60 
1996	6	10.1	97 
1996	7	10.7	144 
1996	8	13.8	65 
1996	9	7	52 
1996	10	5.9	128 
1996	11	-3.9	156 
1996	12	-3.4	150 
1997	1	-2	164 
1997	2	-1.5	292 
1997	3	-0.7	461 
1997	4	0	276 
1997	5	5.4	75 
1997	6	12.1	35 
1997	7	14.9	63 
1997	8	15	89 
1997	9	7.9	224 
1997	10	1.9	310 
1997	11	0.6	48 
1997	12	-1.5	79 
1998	1	-0.8	192 
1998	2	0	333 
1998	3	-2.4	258 
1998	4	2.4	24 
1998	5	7.1	77 
1998	6	10	109 
1998	7	11.9	93 
1998	8	10.6	157 
1998	9	10	55 
1998	10	2.6	203 
1998	11	-1.7	61 
1998	12	-0.2	254 
1999	1	-2.4	154 
1999	2	-2.2	282 
1999	3	0.4	91 
1999	4	3.8	103 
1999	5	6.4	78 
1999	6	10.8	113 
1999	7	12.7	84 
1999	8	12.2	15 
1999	9	11.5	58 
1999	10	3.6	192 
1999	11	3.7	267 
1999	12	-4.1	261 
2000	1	-0.5	453 
2000	2	-1.9	291 
2000	3	-1.1	346 
2000	4	3	79 
2000	5	8.3	63 
2000	6	8.7	222 
2000	7	13.3	62 
2000	8	11.1	123 
2000	9	8.9	142 
2000	10	7.8	71 
2000	11	4.5	38 
2000	12	-0.2	104 
2001	1	-2.5	81 
2001	2	-5.9	160 
2001	3	-3.8	46 
2001	4	2.1	79 
2001	5	7.7	60 
2001	6	10.5	72 
2001	7	13.1	121 
2001	8	11.3	154 
2001	9	8.5	65 
2001	10	5.8	166 
2001	11	0.8	448 
2001	12	-2.7	174 
2002	1	-1.2	194 
2002	2	-0.6	235 
2002	3	-0.7	317 
2002	4	5	23 
2002	5	9.6	53 
2002	6	12.8	72 
2002	7	13.4	99 
2002	8	16	55 
2002	9	9	129 
2002	10	1.6	117 
2002	11	-2.7	75 
2002	12	-4.6	95 
2003	1	-2.2	317 
2003	2	-2.2	38 
2003	3	1.5	57 
2003	4	4.1	41 
2003	5	7	143 
2003	6	12	46 
2003	7	15.8	51 
2003	8	12.8	207 
2003	9	8.3	241 
2003	10	1.6	108 
2003	11	3	36 
2003	12	-0.5	396 
2004	1	-4.1	74 
2004	2	-1.3	249 
2004	3	-0.2	68 
2004	4	4.9	56 
2004	5	7.8	135 
2004	6	10.6	116 
2004	7	12	67 
2004	8	13.7	75 
2004	9	8.6	222 
2004	10	4.5	41 
2004	11	0.2	383 
2004	12	0.5	301 
2005	1	-0.1	548 
2005	2	-3	139 
2005	3	-2	52 
2005	4	3.4	101 
2005	5	5.9	78 
2005	6	9.4	71 
2005	7	14.6	28 
2005	8	11.3	114 
2005	9	8.9	191 
2005	10	6	98 
2005	11	2.7	269 
2005	12	-2	242 
2006	1	-1.8	77 
2006	2	-2.1	98 
2006	3	-5.2	53 
2006	4	2.1	44 
2006	5	8.1	34 
2006	6	11.1	52 
2006	7	15.2	98 
2006	8	14.8	54 
2006	9	11.1	109 
2006	10	5.6	109 
2006	11	2.6	239 
2006	12	3.1	278 
2007	1	-1.4	314 
2007	2	-4.6	98 
2007	3	1.8	166 
2007	4	3.5	103 
2007	5	7	98 
2007	6	13	29 
2007	7	13.7	120 
2007	8	11.8	123 
2007	9	6.6	256 
2007	10	5.1	175 
2007	11	-0.4	284 
2007	12	-2.1	151 
2008	1	-1.1	243 
2008	2	-0.7	236 
2008	3	-2.2	110 
2008	4	2.9	44 
2008	5	8.4	35 
2008	6	11.2	105 
2008	7	14.8	43 
2008	8	12.6	70 
2008	9	8.9	70 
2008	10	3.9	218 
2008	11	0.1	232 
2008	12	-2.6	98 
2009	1	-1.5	124 
2009	2	-4.7	83 
2009	3	0.1	85 
2009	4	5.4	24 
2009	5	8.2	77 
2009	6	10.6	37 
2009	7	14.5	68 
2009	8	12.6	130 
2009	9	8.9	214 
2009	10	1.4	81 
2009	11	1.5	63 
2009	12	-4.6	40 
2010	1	-9.7	55 
2010	2	-9.3	17 
2010	3	-1.1	110 
2010	4	2.6	75 
2010	5	5.7	34 
2010	6	10	74 
2010	7	13.7	105 
2010	8	13	55 
2010	9	8.2	82 
2010	10	4.4	82 
2010	11	-4.9	49 
2010	12	-9.4	90 
2011	1	-2.6	174 
2011	2	-4.8	127 
2011	3	-1.1	193 
2011	4	5	96 
2011	5	7.5	81 
2011	6	10.9	110 
2011	7	13.8	84 
2011	8	12.8	92 
2011	9	9.7	96 
2011	10	5.7	237 
2011	11	3.9	164 
2011	12	-1.1	273 
2012	1	-3.2	166 
2012	2	-2.6	181 
2012	3	2.7	184 
2012	4	0.8	73 
2012	5	6.7	36 
2012	6	9.4	17 
2012	7	12.1	66 
2012	8	12.2	59 
2012	9	6.7	133 
2012	10	2.2	131 
2012	11	1.9	116 
2012	12	-7	53 
2013	1	-6.8	69 
2013	2	-5.6	53 
2013	3	-5.6	52 
2013	4	0.8	108 
2013	5	8.7	107 
2013	6	11	109 
2013	7	13.6	79 
2013	8	12.1	112 
2013	9	8.9	58 
2013	10	5	132 
2013	11	1.3	211 
2013	12	1.5	275 
2014	1	-2.3	43 
2014	2	1.4	65 
2014	3	1.8	184 
2014	4	4.2	70 
2014	5	8	37 
2014	6	11.3	63 
2014	7	17	75 
2014	8	12.8	96 
2014	9	9.7	97 
2014	10	6.6	178 
